,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 19:49:48 +0000 2017,8.66E+17,2,32,My bipartisan bill w @SenatorCollins to strengthen apprenticeship programs would help bridge the #skillsgap https://t.co/IG2SIL0GER,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
1,Sun May 21 17:15:40 +0000 2017,8.66E+17,8,96,"Happy birthday to my friend, @SenFranken! Hope you have a great day!",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
2,Sat May 20 17:59:09 +0000 2017,8.66E+17,29,38,Must make it harder to bring these drugs into our country &amp; easier to prosecute those who distribute them. https://t.co/pwb0H44arc,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
3,Sat May 20 15:35:35 +0000 2017,8.66E+17,2,23,"Congrats on your big win, @GopherSoftball. Good luck today! https://t.co/8yo7IxO4vT",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
4,Fri May 19 21:37:17 +0000 2017,8.66E+17,4,9,"Good having St Cloud Chief Blair Anderson, Hennepin Co Sheriff @stanekmn at this week's Steering Committee mtg for #NationalPoliceWeek2017.",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
5,Fri May 19 19:22:03 +0000 2017,8.66E+17,34,57,My bill w @JohnCornyn to help vets get good jobs as law enforcement officers will be signed into law.,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
6,Fri May 19 16:54:31 +0000 2017,8.66E+17,6,17,"Small businesses are the backbone of our country, and these crafty business leaders help boost Duluth's economy. https://t.co/OliWd4rJDi",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
7,Thu May 18 22:08:41 +0000 2017,8.65E+17,20,83,They are the same thing.  It is called a special counsel under the law but a lot of people refer to the job as a sp… https://t.co/OL4bGBbLcq,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
8,Thu May 18 19:43:11 +0000 2017,8.65E+17,6,42,Introduced bill w @ChuckGrassley &amp; @SenCoryGardner to strengthen support of rural hospitals that millions depend on. https://t.co/OAas98oxGd,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
9,Thu May 18 19:13:22 +0000 2017,8.65E+17,45,182,Violence against peaceful protesters in U.S. violates constitutional rights. Admin must raise w Turkish government. https://t.co/LRr8bTzoV4,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
10,Thu May 18 16:51:38 +0000 2017,8.65E+17,33,140,"As I told @Lawrence, appt of Mueller brought back the rule of law. Still need ind commission to set rules of road. https://t.co/fiypgQKIqy",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
11,Thu May 18 13:45:36 +0000 2017,8.65E+17,162,694,This is a truth hunt. https://t.co/elItfIPkam,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
12,Thu May 18 10:26:12 +0000 2017,8.65E+17,6,26,I see that @MPRnews @CathyWurzer is up listening to my @NPR @MorningEdition interview at 5 am central..but then she… https://t.co/rNv0Xpd0YE,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
13,Wed May 17 22:53:11 +0000 2017,8.65E+17,24,139,Reminder: Rosenstein can define scope of special prosecutor work. I asked him about this at his confirmation hearing https://t.co/ZLRjOfYtoN,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
14,Wed May 17 22:14:57 +0000 2017,8.65E+17,22,109,BREAKING: Justice Dept. to appoint special prosecutor. https://t.co/agRlJ8n62Y,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
15,Wed May 17 19:39:33 +0000 2017,8.65E+17,13,53,Spoke to state/local officials from across US about importance of bipartisan efforts to strengthen infrastructure. Critical for our economy.,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
16,Wed May 17 16:36:32 +0000 2017,8.65E+17,66,745,Agree w @preetbharara - Need to restore faith in the rule of law. Independent commission &amp; special prosecutor now. https://t.co/Q8NIp8zieo,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
17,Tue May 16 23:42:16 +0000 2017,8.65E+17,12,49,My friend @maziehirono is a fighter and - as always - we stand with her. https://t.co/emDnjQoio7,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
18,Tue May 16 22:37:02 +0000 2017,8.65E+17,59,319,As I have said before: Congress has subpoena power. Time to use it. https://t.co/I4cm8kYP5p,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
19,Tue May 16 19:35:43 +0000 2017,8.65E+17,4,26,"Congrats, Esther. MN is lucky to have you &amp; I'm honored to call you a fellow Wayzata HS grad. https://t.co/SNJWlS6w8v",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
20,Tue May 16 16:35:30 +0000 2017,8.65E+17,17,17,Great to be at #CAPIdeas talking about everything from how we can support rural America to how we can take on Russian interference.,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
21,Tue May 16 14:29:25 +0000 2017,8.64E+17,42,138,Sharing highly classified info with Russian officials empowers Russia. Watch interview w @donlemon: https://t.co/zaGHicPz9n,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
22,Mon May 15 22:53:53 +0000 2017,8.64E+17,223,338,This should not have happened. https://t.co/6qsWMoKPXc,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
23,Mon May 15 19:24:05 +0000 2017,8.64E+17,10,69,"For now, some good news for voters. But we have to keep working to knock down barriers to voting. https://t.co/CQ1p9tLdUM",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
24,Mon May 15 16:11:38 +0000 2017,8.64E+17,65,271,"Agree: If there are tapes, WH should hand them over. Need all the facts. https://t.co/420Uwff9kl",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
25,Mon May 15 00:06:29 +0000 2017,8.64E+17,1,17,Cheers to you @StarTribune! https://t.co/2yW58AAyx2,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
26,Sun May 14 21:29:25 +0000 2017,8.64E+17,7,26,Thank you for everything you do to help families affected by mental illnesses. https://t.co/rJXUMUnwQ7,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
27,Sun May 14 19:25:11 +0000 2017,8.64E+17,1,8,Congrats to Plymouth's Miranda &amp; Excelsior's Ariana on recognition for service work helping young cancer patients. https://t.co/OvMxVXnUYy,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
28,Sun May 14 17:20:30 +0000 2017,8.64E+17,13,19,Happy Mother's Day! Abigail took over my Facebook page today... https://t.co/gknWKzS61N https://t.co/eqv4lLbIfd,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
29,Sun May 14 02:21:43 +0000 2017,8.64E+17,7,27,Good to join @PACERCenter annual benefit. Their work improves lives for parents &amp; kids w disabilities. Proud to have served on their board!,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
30,Sat May 13 23:03:08 +0000 2017,8.64E+17,4,17,Spoke w @HHHSchool grads today. Their optimism &amp; commitment to public service is inspiring.,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
31,Sat May 13 20:20:40 +0000 2017,8.63E+17,9,46,.@Macalester is a world-class school. Has prepared students to lead for 140 yrs. I know today's grads will follow suit &amp; make all MN proud!,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
32,Sat May 13 17:16:24 +0000 2017,8.63E+17,55,127,Good to be on @Maddow. It all comes down to the rule of law. https://t.co/EL3qLWOjo1,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
33,Sat May 13 02:12:05 +0000 2017,8.63E+17,8,23,St. Cloud really made a splash their first time hosting the Fishing Opener. Thanks to all the MN anglers who joined! https://t.co/JGPTAFwWiP,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
34,Sat May 13 00:10:13 +0000 2017,8.63E+17,5,32,"Great time at @UMN food, ag, nat resource commencement. Today's grads are tmw's farmers, nutritionists &amp; ag experts… https://t.co/0IL5h49fa9",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
35,Fri May 12 21:36:24 +0000 2017,8.63E+17,2,13,Congrats to newest members of @StPaulFireDept! Was an honor to join you for today’s graduation ceremony. Thanks for all you do &amp; will do.,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
36,Fri May 12 19:49:04 +0000 2017,8.63E+17,8,19,Good mtg w @Target employees. MN staple that stands on 55 years of biz success &amp; doing right by communities.,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
37,Fri May 12 16:54:48 +0000 2017,8.63E+17,44,134,"No evidence of widespread voter fraud in last election. Should be helping more eligible Americans vote, not fewer. https://t.co/ExxysmXF8j",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
38,Fri May 12 04:06:17 +0000 2017,8.63E+17,37,164,The Comey firing reminds us of a bigger danger https://t.co/lHyYiLdnRO,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
39,Fri May 12 01:02:17 +0000 2017,8.63E+17,121,696,"I'd say this is surreal but it's so real. Need special prosecutor &amp; independent commission now.
https://t.co/cZKH8744Wx",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
40,Thu May 11 23:56:39 +0000 2017,8.63E+17,24,122,"With 7 other senators, called on fed agencies to investigate potential RFS-related insider trading by WH adviser. https://t.co/du1IlHgdGF",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
41,Thu May 11 21:08:59 +0000 2017,8.63E+17,69,150,"!!! Trump Bars U.S. Press, but Not Russia’s, at Meeting With Russian Officials,  https://t.co/TnGKa0fWnb",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
42,Thu May 11 19:05:29 +0000 2017,8.63E+17,22,95,ICYMI - Senate Democrats &amp; Republicans stopped attempt to repeal rule on harmful methane emissions. https://t.co/9uzRK78Qnm,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
43,Thu May 11 17:19:31 +0000 2017,8.63E+17,52,29,"To be clear, this isn't going to happen. I RTed bc it's a good idea for Rs to think about consensus FBI candidates. https://t.co/K9NBWXcAfz",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
44,Thu May 11 14:56:49 +0000 2017,8.63E+17,12,21,The govt declared Adam dead for 29 years. (He's alive.) That's absurd so we helped him fix it. https://t.co/a4B7Q4SDcJ,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
45,Thu May 11 13:44:20 +0000 2017,8.63E+17,771,975,"Good idea @SenMikeLee. Former prosecutor Merrick Garland for FBI Director is great idea. Need special prosecutor too
https://t.co/HjMdwIGxAq",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
46,Wed May 10 18:31:34 +0000 2017,8.62E+17,43,449,"Breaking:While Comey's firing meant he couldn't testify as planned tomorrow, Burr &amp;Warner have invited him to testify as a citizen next week",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
47,Wed May 10 14:41:51 +0000 2017,8.62E+17,188,1238,Comey was to appear tomorrow before senate intel committee. Russia would have been discussed. Instead he was fired. Need special prosecutor,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
48,Tue May 09 23:47:08 +0000 2017,8.62E+17,274,1539,Really? Firing Jim Comey smack in the middle of a major Russia investigation is very suspect. We need independent prosecutor &amp; commission,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
49,Tue May 09 21:33:02 +0000 2017,8.62E+17,25,94,18 days was too long to keep Flynn on payroll. Watch this clip of my interview on @CNNtonight: https://t.co/V3gy3YLln1,amyklobuchar,Amy Klobuchar,Minnesota,Democratic
50,Tue May 09 18:53:54 +0000 2017,8.62E+17,5,47,"It's #NationalTeachersDay! Special shout out to Corey Bulman, MN Teacher of the Year. Thanks to all teachers for guiding our future leaders.",amyklobuchar,Amy Klobuchar,Minnesota,Democratic
