,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 22:20:41 +0000 2017,8.65E+17,0,10,"@Interior Let @Interior know your opinion on the review HERE https://t.co/ykO3oKl4jS 

If you have trouble submitti… https://t.co/vxP9ETOiwY",SenAngusKing,Angus King,Maine,Independent
1,Thu May 18 22:15:21 +0000 2017,8.65E+17,6,19,I questioned nominee for Deputy Secretary of @Interior about review of Katahdin Woods and Waters National Monument… https://t.co/DqvOjECQMo,SenAngusKing,Angus King,Maine,Independent
2,Thu May 18 20:19:09 +0000 2017,8.65E+17,2,2,Proud to join my colleagues to honor law enforcement across the US with National Police Week Resolution #PoliceWeek #PoliceWeek17,SenAngusKing,Angus King,Maine,Independent
3,Wed May 17 23:47:33 +0000 2017,8.65E+17,19,45,Please see my statement on former FBI Director Robert Mueller's appointment as special counsel to oversee Russia in… https://t.co/vVpQPDmx3P,SenAngusKing,Angus King,Maine,Independent
4,Wed May 17 22:08:37 +0000 2017,8.65E+17,5,9,3/ What happens to Lidia? What happens to Dan? Who will speak for them? I will – and I hope this body will. https://t.co/bRnByenV1Y,SenAngusKing,Angus King,Maine,Independent
5,Wed May 17 21:56:17 +0000 2017,8.65E+17,9,16,2/ I took to the Senate floor to share their stories with the nation and speak out against the House-passed health care bill,SenAngusKing,Angus King,Maine,Independent
6,Wed May 17 21:55:52 +0000 2017,8.65E+17,2,14,"1/ After hearing from the mothers of Daniel Humphrey of Lewiston and Lidia Woofenden of Bowdoinham, two young adults with disabilities",SenAngusKing,Angus King,Maine,Independent
7,Wed May 17 21:02:10 +0000 2017,8.65E+17,1,15,Funding for @jacksonlab will help to better understand Alzheimer’s &amp; develop strategies that will help find a cure: https://t.co/qyuxLBuwem,SenAngusKing,Angus King,Maine,Independent
8,Wed May 17 15:13:51 +0000 2017,8.65E+17,3,6,This bill would help law enforcement stop illegal drugs from entering US &amp; fight off the grip of addiction before it begins. #mepolitics,SenAngusKing,Angus King,Maine,Independent
9,Wed May 17 15:13:12 +0000 2017,8.65E+17,4,6,Protecting communities in ME from the influx of powerful opioids like fentanyl is a critical part of strategy to co… https://t.co/rWU8CxXO3T,SenAngusKing,Angus King,Maine,Independent
10,Wed May 17 00:24:53 +0000 2017,8.65E+17,82,64,"I view this as a very serious matter, and it is my intention to obtain the facts before arriving at any conclusions. https://t.co/rdJGq6GYVu",SenAngusKing,Angus King,Maine,Independent
11,Tue May 16 22:01:08 +0000 2017,8.65E+17,44,14,HAPPENING SOON: I'll join @wolfblitzer in the @CNNSitRoom. Hope you can tune in!,SenAngusKing,Angus King,Maine,Independent
12,Tue May 16 01:20:39 +0000 2017,8.64E+17,46,74,"(3/3) Furthermore, it could result in the loss of important intelligence sources and the cooperation of partners.",SenAngusKing,Angus King,Maine,Independent
13,Tue May 16 01:20:13 +0000 2017,8.64E+17,16,84,"(2/3) Jeopardizing the sources and methods that support our intelligence gathering apparatus or those of an ally, are of grave concern.",SenAngusKing,Angus King,Maine,Independent
14,Tue May 16 01:19:46 +0000 2017,8.64E+17,54,79,"(1/3) If true, this report is very troubling.",SenAngusKing,Angus King,Maine,Independent
15,Mon May 15 22:40:43 +0000 2017,8.64E+17,7,7,"Great to meet with members of the Maine Warden Service, who were in town for National Peace Officers Memorial Day https://t.co/4PtxN1Gnn9",SenAngusKing,Angus King,Maine,Independent
16,Mon May 15 21:24:30 +0000 2017,8.64E+17,2,15,Funding for @islandinstitute critical to address threats resulting from climate change #mepolitics @PenBayPilot: https://t.co/INrCEbjocu,SenAngusKing,Angus King,Maine,Independent
17,Sat May 13 15:07:39 +0000 2017,8.63E+17,15,26,Worldwide cyber-attacks underscore need for U.S. to develop comprehensive cyber strategy to strengthen our national security,SenAngusKing,Angus King,Maine,Independent
