,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 18:35:07 +0000 2017,8.65275E+17,4,51,"#NetNeutrality is about equal access to the web &gt; big broadband profits. Period.

If you agree, tell @FCC: stop pla… https://t.co/abmPGdrro1",SenatorCardin,Ben Cardin,Maryland,Democratic
1,Thu May 18 18:29:16 +0000 2017,8.65273E+17,2,58,"#NetNeutrality is CRITICAL to freedom of expression, equal access to information &amp; ability of small businesses to c… https://t.co/amqxZfWSbx",SenatorCardin,Ben Cardin,Maryland,Democratic
2,Thu May 18 18:25:59 +0000 2017,8.65272E+17,3,40,"Rolling back #TitleII #NetNeutrality protections helps no one but large broadband companies, who've been lobbying h… https://t.co/LW2MjylaXI",SenatorCardin,Ben Cardin,Maryland,Democratic
3,Thu May 18 18:23:32 +0000 2017,8.65272E+17,0,77,"If broadband cos. get to control access to websites, they can control access to information, businesses, etc, in th… https://t.co/LY1esInBhG",SenatorCardin,Ben Cardin,Maryland,Democratic
4,Thu May 18 18:22:00 +0000 2017,8.65271E+17,3,101,Today @FCC voted to begin creating an #internet where broadband companies can choose different speeds for different websites. Unacceptable.,SenatorCardin,Ben Cardin,Maryland,Democratic
5,Thu May 18 18:20:01 +0000 2017,8.65271E+17,10,119,"Shameful. This is a direct attack on open internet and our right to equal access to the web. #NetNeutrality 

https://t.co/QDwL8jGWtF",SenatorCardin,Ben Cardin,Maryland,Democratic
6,Thu May 18 16:08:02 +0000 2017,8.65238E+17,43,52,#SpecialCounsel is a necessary first step. Next step: an independent commission to provide a public review of… https://t.co/S75758A5d3,SenatorCardin,Ben Cardin,Maryland,Democratic
7,Thu May 18 16:05:52 +0000 2017,8.65237E+17,2,13,"Deputy AG Rosenstein's decision to appoint #SpecialCounsel is a critical one, and much needed. Grateful he's taking… https://t.co/9bY0B6RmNY",SenatorCardin,Ben Cardin,Maryland,Democratic
8,Wed May 17 23:04:51 +0000 2017,8.6498E+17,32,89,"Rather than ‘make this go away’, Rosenstein took an important step toward restoring credibility of DOJ/FBI… https://t.co/jGMwpZr7cP",SenatorCardin,Ben Cardin,Maryland,Democratic
9,Wed May 17 23:01:59 +0000 2017,8.64979E+17,11,97,Much needed. Choice of Robert Mueller was solid and shows the seriousness Mr. Rosenstein brought to this decision.… https://t.co/6zQl0oCQM7,SenatorCardin,Ben Cardin,Maryland,Democratic
