,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 21:58:33 +0000 2017,8.66413E+17,2,2,this is not our move https://t.co/zHRyhkBVj1,BenSasse,Ben Sasse,Nebraska,Republican
1,Sun May 21 21:57:21 +0000 2017,8.66413E+17,12,10,Ok https://t.co/LMLkiHlpKC,BenSasse,Ben Sasse,Nebraska,Republican
2,Sun May 21 21:54:34 +0000 2017,8.66412E+17,32,38,"My 6y/old: Can we go to Scheel's? [sporting goods store]
Me: Why?
Him: I need stuff
Me: What?
Him: Candy, Legos &amp; especially dangerous stuff",BenSasse,Ben Sasse,Nebraska,Republican
3,Sun May 21 21:51:24 +0000 2017,8.66411E+17,6,33,"To quote my team: ""Same."" https://t.co/Rh402L1Age",BenSasse,Ben Sasse,Nebraska,Republican
4,Sun May 21 21:50:14 +0000 2017,8.66411E+17,13,8,#WorkoutToNotDie https://t.co/UUBoBlzlf2,BenSasse,Ben Sasse,Nebraska,Republican
5,Sun May 21 21:49:33 +0000 2017,8.66411E+17,5,4,"yep, all Nebraskans. Push-up Months -- it's our move https://t.co/gLpY6luRNs",BenSasse,Ben Sasse,Nebraska,Republican
6,Sun May 21 21:48:46 +0000 2017,8.6641E+17,49,105,#TooSoon https://t.co/P7NzE1Prad,BenSasse,Ben Sasse,Nebraska,Republican
7,Sun May 21 21:35:40 +0000 2017,8.66407E+17,28,32,same https://t.co/wEuH0PfnZL,BenSasse,Ben Sasse,Nebraska,Republican
8,Sun May 21 21:31:12 +0000 2017,8.66406E+17,8,5,"Only when we declare a ""push-ups month"" -- usually two or three times per year https://t.co/NaE0kVHiU6",BenSasse,Ben Sasse,Nebraska,Republican
9,Sun May 21 21:28:21 +0000 2017,8.66405E+17,22,37,sorry -- will try to do worse https://t.co/lgNSx26XYV,BenSasse,Ben Sasse,Nebraska,Republican
10,Sun May 21 21:26:20 +0000 2017,8.66405E+17,8,19,(planning to stick at two) https://t.co/2GpDysqFbv,BenSasse,Ben Sasse,Nebraska,Republican
11,Sun May 21 21:22:28 +0000 2017,8.66404E+17,3,5,high praise. Thanks https://t.co/clhw8JbdEt,BenSasse,Ben Sasse,Nebraska,Republican
12,Sat May 20 23:03:55 +0000 2017,8.66067E+17,26,16,"Omaha: college baseball capital of the world.

https://t.co/j7XJEaMvrG",BenSasse,Ben Sasse,Nebraska,Republican
13,Sat May 20 19:38:49 +0000 2017,8.66015E+17,3,6,"""Team: Let's go get an insurance run -- or 18.""

https://t.co/eIOwBV1Yd1",BenSasse,Ben Sasse,Nebraska,Republican
14,Sat May 20 18:34:01 +0000 2017,8.65999E+17,25,9,I love your mother https://t.co/BIHkfDuY81,BenSasse,Ben Sasse,Nebraska,Republican
15,Sat May 20 17:52:29 +0000 2017,8.65989E+17,12,5,"Yep, tough on the family. But yes, many have lots worse, real deployments, etc. (I also often take kids w/ me to mi… https://t.co/3kyZchLH3U",BenSasse,Ben Sasse,Nebraska,Republican
16,Sat May 20 17:13:58 +0000 2017,8.65979E+17,25,10,we can all come together around Cindy Crawford https://t.co/jcOzlSi8YC,BenSasse,Ben Sasse,Nebraska,Republican
17,Sat May 20 17:10:10 +0000 2017,8.65978E+17,24,8,Live in Nebr; work in DC workweeks. Current rhythm is: fly to DC on Mon morns; back to Nebr on Fri's (for the 40+ w… https://t.co/VmuxARI7ue,BenSasse,Ben Sasse,Nebraska,Republican
18,Sat May 20 16:56:29 +0000 2017,8.65975E+17,4,12,#MissionAccomplished https://t.co/dco8aTEsZ8,BenSasse,Ben Sasse,Nebraska,Republican
19,Sat May 20 16:54:15 +0000 2017,8.65974E+17,6,13,"when ""placenta"" is a repeat answer option, life is good https://t.co/BG5Ii6uz9I",BenSasse,Ben Sasse,Nebraska,Republican
20,Sat May 20 16:52:43 +0000 2017,8.65974E+17,6,6,(wrong socks) https://t.co/C1Z5C6uF5o,BenSasse,Ben Sasse,Nebraska,Republican
21,Sat May 20 16:51:21 +0000 2017,8.65973E+17,10,7,peaches are naturally hilarious subject matter https://t.co/V9cHyF8u3I,BenSasse,Ben Sasse,Nebraska,Republican
22,Sat May 20 16:50:35 +0000 2017,8.65973E+17,8,9,"I only* uber drive in Nebr 

*(and one lost bet in Iowa) https://t.co/g4PdJ5D7Re",BenSasse,Ben Sasse,Nebraska,Republican
23,Sat May 20 16:47:02 +0000 2017,8.65972E+17,21,56,https://t.co/i2Wfeef3r3,BenSasse,Ben Sasse,Nebraska,Republican
24,Sat May 20 16:35:27 +0000 2017,8.65969E+17,56,78,"Just gave a commencement address. Asked my 13yr-old her thoughts...

""Good, Dad. But some people might prefer some, uh...actual structure.""",BenSasse,Ben Sasse,Nebraska,Republican
25,Sat May 20 01:08:19 +0000 2017,8.65736E+17,15,13,3333333333333333 https://t.co/JU5RlG7FJR,BenSasse,Ben Sasse,Nebraska,Republican
26,Fri May 19 20:14:15 +0000 2017,8.65662E+17,1,1,@bethanyshondark she says yes,BenSasse,Ben Sasse,Nebraska,Republican
27,Fri May 19 19:39:06 +0000 2017,8.65653E+17,71,45,okay... https://t.co/ii0c723d5M,BenSasse,Ben Sasse,Nebraska,Republican
28,Fri May 19 19:22:55 +0000 2017,8.65649E+17,19,12,"To clarify: I think opportunities ARE big--but not tightly correlated to ""graduation"" markers.
More imp:
experience… https://t.co/r6DfZrEYuc",BenSasse,Ben Sasse,Nebraska,Republican
29,Fri May 19 19:18:14 +0000 2017,8.65648E+17,11,7,#LoveYourPassion https://t.co/9bOAoaTXdo,BenSasse,Ben Sasse,Nebraska,Republican
30,Fri May 19 14:45:47 +0000 2017,8.65579E+17,4,2,we've apparently been at different reggae concerts https://t.co/d5OochSiOz,BenSasse,Ben Sasse,Nebraska,Republican
31,Fri May 19 14:35:49 +0000 2017,8.65577E+17,77,150,"Amen.
And we can play sports together.
And watch sports together.
And volunteer.
And shovel snow.
And sing.
And quo… https://t.co/cJRyhseqUH",BenSasse,Ben Sasse,Nebraska,Republican
32,Fri May 19 14:12:39 +0000 2017,8.65571E+17,12,1,I feel so used https://t.co/0dHRgjcPU6,BenSasse,Ben Sasse,Nebraska,Republican
33,Fri May 19 14:11:49 +0000 2017,8.65571E+17,92,285,He and I definitely have different views on the role of govt. But play out your theory for me: What's Chess Move Tw… https://t.co/P4hx1qGuuS,BenSasse,Ben Sasse,Nebraska,Republican
34,Fri May 19 11:51:23 +0000 2017,8.65535E+17,5,10,You're welcome https://t.co/azqKlU99kV,BenSasse,Ben Sasse,Nebraska,Republican
35,Fri May 19 11:50:24 +0000 2017,8.65535E+17,7,6,#America https://t.co/YydR3HC9Hu,BenSasse,Ben Sasse,Nebraska,Republican
36,Fri May 19 10:25:09 +0000 2017,8.65514E+17,26,29,s'up https://t.co/TpmPZB1Qpt,BenSasse,Ben Sasse,Nebraska,Republican
37,Fri May 19 10:18:43 +0000 2017,8.65512E+17,103,143,U.S. adult obesity rate passes 38% https://t.co/e1JwPif3RW,BenSasse,Ben Sasse,Nebraska,Republican
38,Fri May 19 02:07:31 +0000 2017,8.65388E+17,7,3,thanks for the kind words https://t.co/zmpXA9EWBv,BenSasse,Ben Sasse,Nebraska,Republican
39,Fri May 19 01:57:24 +0000 2017,8.65386E+17,73,128,I bought 5 https://t.co/go7m791Tl9,BenSasse,Ben Sasse,Nebraska,Republican
40,Fri May 19 01:32:17 +0000 2017,8.6538E+17,5,9,there have been a whole lotta changes in the law... https://t.co/Ccm9agpJIP,BenSasse,Ben Sasse,Nebraska,Republican
41,Fri May 19 01:26:48 +0000 2017,8.65378E+17,12,15,this was truly the only thing we said throughout 1985. https://t.co/A6Z9CR5P8a,BenSasse,Ben Sasse,Nebraska,Republican
42,Fri May 19 01:25:50 +0000 2017,8.65378E+17,26,49,(need more toe movement) https://t.co/i8qpZYGsWC,BenSasse,Ben Sasse,Nebraska,Republican
43,Fri May 19 01:24:12 +0000 2017,8.65378E+17,37,210,#FakeNews https://t.co/YwtTNIdov0,BenSasse,Ben Sasse,Nebraska,Republican
44,Thu May 18 23:22:14 +0000 2017,8.65347E+17,70,195,looks like Orrin wants more Nickelback lyrics... https://t.co/ZPRVkKFQEK,BenSasse,Ben Sasse,Nebraska,Republican
45,Thu May 18 22:53:33 +0000 2017,8.6534E+17,13,43,"""We just decided to let go and love her with abandon.""
-friends experiencing bumps getting to legal finality adopting their foster daughter",BenSasse,Ben Sasse,Nebraska,Republican
46,Thu May 18 21:56:46 +0000 2017,8.65325E+17,27,44,"hadn't thought of my post-workout early morning perch as office hours, but I like it... https://t.co/BeesOU1JvF",BenSasse,Ben Sasse,Nebraska,Republican
47,Thu May 18 20:54:22 +0000 2017,8.6531E+17,14,17,I'm still hunting for him too https://t.co/tzSiAUlJ8P,BenSasse,Ben Sasse,Nebraska,Republican
48,Thu May 18 20:15:29 +0000 2017,8.653E+17,30,29,"little man is with me in DC this week--&amp; he just mastered the balance board while I was in a hearing
#TimeManagement https://t.co/FUCThFuOvv",BenSasse,Ben Sasse,Nebraska,Republican
49,Thu May 18 15:23:01 +0000 2017,8.65226E+17,14,30,cya https://t.co/n9k4E5p80L,BenSasse,Ben Sasse,Nebraska,Republican
50,Thu May 18 14:56:05 +0000 2017,8.65219E+17,70,342,I thought we were off the record https://t.co/GRcEX6SOQp,BenSasse,Ben Sasse,Nebraska,Republican
51,Thu May 18 14:43:33 +0000 2017,8.65216E+17,1879,7005,"holy moly - it looks like @SenSchumer and I are smoking reefer outside a wedding...

 https://t.co/gUucsKYvmm",BenSasse,Ben Sasse,Nebraska,Republican
52,Thu May 18 12:11:30 +0000 2017,8.65178E+17,7,21,Amen. https://t.co/0K55t9aqkc,BenSasse,Ben Sasse,Nebraska,Republican
53,Thu May 18 12:00:22 +0000 2017,8.65175E+17,5,16,"thanks, Dana https://t.co/W9NTKdhTUl",BenSasse,Ben Sasse,Nebraska,Republican
54,Thu May 18 11:59:11 +0000 2017,8.65175E+17,5,30,me neither https://t.co/yyuuB9ADDB,BenSasse,Ben Sasse,Nebraska,Republican
55,Thu May 18 11:06:15 +0000 2017,8.65162E+17,0,1,"@AutumnDawnPrice
 Nice. Done.",BenSasse,Ben Sasse,Nebraska,Republican
56,Thu May 18 11:04:50 +0000 2017,8.65161E+17,5,13,#tbt https://t.co/uEurJ1ER3i,BenSasse,Ben Sasse,Nebraska,Republican
57,Thu May 18 10:59:58 +0000 2017,8.6516E+17,2,4,"or better: ""Dude plays basketball like a wrestler..."" https://t.co/N1SSoqoczI",BenSasse,Ben Sasse,Nebraska,Republican
58,Thu May 18 10:50:58 +0000 2017,8.65158E+17,9,3,24. https://t.co/Frgm7nmRfU,BenSasse,Ben Sasse,Nebraska,Republican
