,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 16:35:33 +0000 2017,8.65244E+17,1,2,Following the situation in #TimesSquare as more details are reported. Praying that those injured will be ok. https://t.co/cGjoDQkexO,BillCassidy,Bill cassidy,Louisiana,Republican
1,Wed May 17 13:10:21 +0000 2017,8.6483E+17,7,10,Please keep my friend @SenThomTillis in your prayers. https://t.co/AY5oSaRFwf,BillCassidy,Bill cassidy,Louisiana,Republican
2,Mon May 15 20:24:13 +0000 2017,8.64215E+17,64,9,"To fulfill Trump's goals, we need to create not a Republican or Democrat plan, but an American plan. #KimmelTest https://t.co/H0vGDRuSM8",BillCassidy,Bill cassidy,Louisiana,Republican
3,Mon May 15 20:03:43 +0000 2017,8.6421E+17,8,5,"Interesting read from Judd Greg, former Republican governor and senator. https://t.co/ut7p5uxTx3",BillCassidy,Bill cassidy,Louisiana,Republican
4,Sat May 13 17:05:10 +0000 2017,8.6344E+17,15,10,Watch my and @SenatorCollins' interview with @chucktodd on what the Senate needs to do on health care. https://t.co/eG6BumWfm6,BillCassidy,Bill cassidy,Louisiana,Republican
5,Fri May 12 23:05:28 +0000 2017,8.63168E+17,7,4,An honor to speak at the @lsuscience graduation ceremony. Wishing these graduates luck in their bright futures. https://t.co/KXVRk97Yxk,BillCassidy,Bill cassidy,Louisiana,Republican
6,Fri May 12 20:37:39 +0000 2017,8.63131E+17,37,9,Tune in tonight to Meet the Press Daily to watch the second half of our interview #healthcare #KimmelTest… https://t.co/ztnwNezA2r,BillCassidy,Bill cassidy,Louisiana,Republican
7,Fri May 12 13:40:57 +0000 2017,8.63026E+17,13,4,Thanks to @OMBPress Director Mulvaney for supporting the #KimmelTest. We can make President Trump's goals a reality. https://t.co/WWx0Hl7Nhv,BillCassidy,Bill cassidy,Louisiana,Republican
8,Thu May 11 22:27:50 +0000 2017,8.62796E+17,2,1,.@CustomsBorder notice on #JonesAct letter rulings needs to provide legal clarity for all. One side worse off. Need to fix ASAP.,BillCassidy,Bill cassidy,Louisiana,Republican
9,Thu May 11 21:41:11 +0000 2017,8.62785E+17,13,4,On now with @chucktodd on @MSNBC talking on Comey and the FBI.,BillCassidy,Bill cassidy,Louisiana,Republican
10,Thu May 11 17:36:24 +0000 2017,8.62723E+17,28,8,If we ensure each person is able to afford their insurance-but has an adequate level of coverage-we will succeed in health care. #KimmelTest,BillCassidy,Bill cassidy,Louisiana,Republican
11,Thu May 11 16:36:33 +0000 2017,8.62708E+17,1,2,Thank you to @stjamesparishla passing a resolution in support of my draft legislation to renew the National Flood I… https://t.co/hgEmRYrwOy,BillCassidy,Bill cassidy,Louisiana,Republican
