,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 23:23:18 +0000 2017,8.65E+17,71,186,Bob Mueller has the experience to conduct a thorough investigation. Must be given independent authority to follow facts wherever they lead.,SenBillNelson,Bill Nelson,Florida,Democratic
1,Tue May 16 22:25:38 +0000 2017,8.65E+17,96,71,"If true, this is another piece to the puzzle and it does not look good for the White House. https://t.co/wo2ZG8QsPi",SenBillNelson,Bill Nelson,Florida,Democratic
2,Tue May 09 22:30:41 +0000 2017,8.62E+17,371,1141,Now it is more clear than ever that we need an independent commission to get to the truth of Russia’s interference with our election.,SenBillNelson,Bill Nelson,Florida,Democratic
3,Fri May 05 21:19:20 +0000 2017,8.61E+17,35,80,Working on legislation to speed up Everglades restoration and build new reservoir south of Lake O. Will introduce later this month.,SenBillNelson,Bill Nelson,Florida,Democratic
4,Thu May 04 20:38:35 +0000 2017,8.60E+17,367,406,This GOP healthcare plan will make it nearly impossible for anyone with a pre-existing condition to get health insurance. I won’t support it,SenBillNelson,Bill Nelson,Florida,Democratic
5,Tue May 02 21:42:07 +0000 2017,8.60E+17,26,80,The Pentagon agrees: expanding oil drilling in the Gulf of Mexico could threaten our nation’s military readiness.… https://t.co/IgtC8IwOOx,SenBillNelson,Bill Nelson,Florida,Democratic
6,Wed Apr 26 18:21:40 +0000 2017,8.57E+17,40,126,Gutting the FCC’s net neutrality rules robs Americans of protections that preserve their access to the open and free internet,SenBillNelson,Bill Nelson,Florida,Democratic
7,Tue Apr 25 20:50:40 +0000 2017,8.57E+17,18,32,Just sent this letter to State Dept urging it to open a temporary passport office in Miami while repairs being made: https://t.co/hp7xnkzCNm,SenBillNelson,Bill Nelson,Florida,Democratic
8,Fri Apr 07 02:12:36 +0000 2017,8.50E+17,289,288,I support the admin’s strike on the air base that launched the chemical attack. I hope this teaches Assad not to use chemical weapons again.,SenBillNelson,Bill Nelson,Florida,Democratic
9,Mon Apr 03 14:20:07 +0000 2017,8.49E+17,51,37,I had a great time yesterday speaking at Rep. Val Demings’ church in Orlando along with Sen. Cory Booker (D-NJ). https://t.co/VEkDVc4MrZ,SenBillNelson,Bill Nelson,Florida,Democratic
