,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Mon May 22 00:13:41 +0000 2017,8.66447E+17,39,202,"These cuts will harm seniors, families, children &amp; individuals with disabilities. I won't stand by as @realDonaldTrump turns his back on PA.",SenBobCasey,Bob Casey,Pennsylvania,Democratic
1,Mon May 22 00:11:17 +0000 2017,8.66446E+17,70,623,"From reports it seems @realDonaldTrump's budget will decimate Medicaid. Obviously, I will oppose these cuts. https://t.co/9KXhvOARac",SenBobCasey,Bob Casey,Pennsylvania,Democratic
2,Fri May 19 21:39:05 +0000 2017,8.65683E+17,68,322,Taking this step would cause premiums to skyrocket for PA families- unacceptable. https://t.co/xF8GMbgYH3,SenBobCasey,Bob Casey,Pennsylvania,Democratic
3,Fri May 19 19:53:03 +0000 2017,8.65657E+17,86,441,Well. Oiled. Machine. https://t.co/JjQlgcBYim,SenBobCasey,Bob Casey,Pennsylvania,Democratic
4,Fri May 19 19:24:19 +0000 2017,8.65649E+17,172,1811,"If there was any question as to why Comey was really fired, @realDonaldTrump just answered it. As I said, Nixonian. https://t.co/r4f1RHdR1p",SenBobCasey,Bob Casey,Pennsylvania,Democratic
5,Fri May 19 16:01:33 +0000 2017,8.65598E+17,31,202,The AHCA will decimate Medicaid and Pennsylvania schools will pay the price.  https://t.co/XBMVGGIfNK,SenBobCasey,Bob Casey,Pennsylvania,Democratic
6,Fri May 19 15:44:58 +0000 2017,8.65594E+17,94,324,I will fight @realDonaldTrump’s attempts to cut funding for PA public schools &amp; colleges every step of the way. https://t.co/xa8jFQS4CI,SenBobCasey,Bob Casey,Pennsylvania,Democratic
7,Fri May 19 15:18:53 +0000 2017,8.65588E+17,38,280,Shame on this Admin. Holding the health care of millions hostage to use as a bargaining chip is unacceptable. https://t.co/ObziaEoLsL,SenBobCasey,Bob Casey,Pennsylvania,Democratic
8,Fri May 19 14:44:42 +0000 2017,8.65579E+17,0,16,Philly’s own @SMaryPhilly will give the commencement address at @Georgetown tomorrow. Follow along with @ProjectHOME https://t.co/tT0BUeSmxo,SenBobCasey,Bob Casey,Pennsylvania,Democratic
9,Fri May 19 13:49:18 +0000 2017,8.65565E+17,92,322,"Hey, sometimes I rise to the level of an impassioned librarian... https://t.co/FiTwKcqkXa",SenBobCasey,Bob Casey,Pennsylvania,Democratic
10,Thu May 18 21:10:19 +0000 2017,8.65314E+17,91,666,.@realDonaldTrump is undermining our health care system and causing premiums to rise. https://t.co/ObziaEGmRl,SenBobCasey,Bob Casey,Pennsylvania,Democratic
11,Thu May 18 17:59:45 +0000 2017,8.65266E+17,53,163,"Headed to the Senate floor to speak out about @realDonaldTrump, Russia and the @FBI. Watch live at https://t.co/dAwNV6f5IO",SenBobCasey,Bob Casey,Pennsylvania,Democratic
12,Wed May 17 22:20:09 +0000 2017,8.64969E+17,63,262,I commend @TheJusticeDept for taking the appropriate step of appointing a special counsel. https://t.co/tBgRzNrMGO,SenBobCasey,Bob Casey,Pennsylvania,Democratic
13,Wed May 17 20:43:54 +0000 2017,8.64945E+17,77,222,This hateful group doesn’t represent Lancaster or the people of PA. It’s their right to speak and ours to call out… https://t.co/2xvoiwHXYD,SenBobCasey,Bob Casey,Pennsylvania,Democratic
14,Wed May 17 18:40:45 +0000 2017,8.64914E+17,16,176,"Two thirds of school districts use Medicaid dollars for nurses, speech pathologists, psychologists or social worker… https://t.co/1PRrKaemdC",SenBobCasey,Bob Casey,Pennsylvania,Democratic
15,Wed May 17 18:37:37 +0000 2017,8.64913E+17,3,48,90% of school-based health centers access #Medicaid in some way. #SchoolsNeedMedicaid https://t.co/HCtaS0wbIs,SenBobCasey,Bob Casey,Pennsylvania,Democratic
16,Wed May 17 18:05:13 +0000 2017,8.64905E+17,21,90,Live Now: The devastating effects of Medicaid cuts on children and schools under AHCA https://t.co/wVXDnpJoz3 #SchoolsNeedMedicaid,SenBobCasey,Bob Casey,Pennsylvania,Democratic
17,Wed May 17 15:18:48 +0000 2017,8.64863E+17,19,175,"New Study from @KaiserFamFound: ""People with pre-existing conditions would likely face large premium surcharges und… https://t.co/h7e2MNzEIM",SenBobCasey,Bob Casey,Pennsylvania,Democratic
18,Tue May 16 22:37:46 +0000 2017,8.64611E+17,44,165,"No one, not even the President, is above the law and the American people deserve answers about President Trump’s conduct.",SenBobCasey,Bob Casey,Pennsylvania,Democratic
19,Tue May 16 22:37:28 +0000 2017,8.64611E+17,9,80,It is vital that Congress obtain these memos and hear public testimony from former Director Comey.,SenBobCasey,Bob Casey,Pennsylvania,Democratic
