,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Fri May 19 17:08:52 +0000 2017,8.65615E+17,11,5,"Last year, Tennessee lost six officers in the line of duty. Proud to honor their lives and other officers who made the ultimate sacrifice.",SenBobCorker,Bob Corker,Tennessee,Republican
1,Fri May 19 17:07:57 +0000 2017,8.65615E+17,11,9,"Yesterday, we unanimously passed a resolution honoring our fallen law enforcement officers: https://t.co/8HfU1s1Zbh #NationalPoliceWeek",SenBobCorker,Bob Corker,Tennessee,Republican
2,Fri May 19 16:14:19 +0000 2017,8.65602E+17,46,16,#GSEreform should be done through bipartisan congressional action. Watch my exchange yesterday with @stevenmnuchin1: https://t.co/jS89gxnw3J,SenBobCorker,Bob Corker,Tennessee,Republican
3,Fri May 19 15:25:37 +0000 2017,8.65589E+17,17,6,Started off my day yesterday by welcoming 8th graders and parents from Rockwood Middle School to Capitol Hill. https://t.co/mNkHwHwaYY,SenBobCorker,Bob Corker,Tennessee,Republican
4,Thu May 18 20:06:18 +0000 2017,8.65298E+17,12,6,"Enjoyed meeting with Memphis-based @IntlPaperCo, which employs nearly 2,800 across the region. Appreciate their inv… https://t.co/aLumiDMKi1",SenBobCorker,Bob Corker,Tennessee,Republican
5,Thu May 18 16:17:40 +0000 2017,8.6524E+17,10,17,My friend and fellow Tennessean Bill Hagerty will represent the very best of our country as ambassador to Japan. https://t.co/InWNrvduNf,SenBobCorker,Bob Corker,Tennessee,Republican
6,Thu May 18 16:00:16 +0000 2017,8.65236E+17,5,9,"Great to talk with @ChancellorDav, @UTKnoxville’s new chancellor, while she was in D.C. this week. https://t.co/tUPiWjKQPn",SenBobCorker,Bob Corker,Tennessee,Republican
7,Thu May 18 14:55:51 +0000 2017,8.65219E+17,22,7,Discussed a number of important issues with @TNAOR earlier this week. It was great to hear what’s on their minds. https://t.co/D85HfTMJcF,SenBobCorker,Bob Corker,Tennessee,Republican
8,Thu May 18 13:34:13 +0000 2017,8.65199E+17,7,7,Glad to welcome the Hagerty family to Capitol Hill ahead of this morning’s #SFRC hearing. Bill will serve our count… https://t.co/8xaasHAJxG,SenBobCorker,Bob Corker,Tennessee,Republican
9,Thu May 18 13:18:35 +0000 2017,8.65195E+17,4,5,WATCH: #SFRC hearing at 9:30 a.m. ET on the nomination of Bill Hagerty to be the next U.S. ambassador to Japan. https://t.co/gECP2fNqFO,SenBobCorker,Bob Corker,Tennessee,Republican
