,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Mon May 22 00:01:07 +0000 2017,8.66444E+17,0,6,We can create a direct jobs pipeline between community colleges &amp; local businesses. Unveiling legislation at… https://t.co/GJ2KNXfbvg,SenatorMenendez,Bob Menendez,New Jersey,Democratic
1,Sun May 21 21:51:16 +0000 2017,8.66411E+17,2,6,First stops on my #JerseyJobsTour are tomorrow! I'll be at @UCCweb to talk skills training &amp; @KearnyPoint to tour t… https://t.co/CALw95Yie3,SenatorMenendez,Bob Menendez,New Jersey,Democratic
2,Sat May 20 21:04:13 +0000 2017,8.66037E+17,6,9,"My #JerseyJobsTour is about meeting business leaders, entrepreneurs &amp; workers face-to-face to learn what they need… https://t.co/ouq2tdHGfG",SenatorMenendez,Bob Menendez,New Jersey,Democratic
3,Sat May 20 17:01:20 +0000 2017,8.65976E+17,4,8,NJ's economy is poised for success but only if we make smart investments &amp; implement policies that create good-paying jobs. #JerseyJobsTour,SenatorMenendez,Bob Menendez,New Jersey,Democratic
4,Sat May 20 16:18:08 +0000 2017,8.65965E+17,10,19,We can't grow our economy if politicians don't get out there and listen. So excited to visit all 21 counties on my… https://t.co/3bCzD5N1ff,SenatorMenendez,Bob Menendez,New Jersey,Democratic
5,Sat May 20 14:50:24 +0000 2017,8.65943E+17,1,48,"Today on #ArmedForcesDay, we honor the brave men and women serving in our military. We owe them, we honor them, and… https://t.co/9Jt7Ag4ui9",SenatorMenendez,Bob Menendez,New Jersey,Democratic
6,Thu May 18 20:52:45 +0000 2017,8.65309E+17,0,7,"I voted against NAFTA &amp; I support renegotiating, but we shouldn't use TPP as a blueprint. We need clear policy goal… https://t.co/TTYoDbGmuJ",SenatorMenendez,Bob Menendez,New Jersey,Democratic
7,Wed May 17 23:19:20 +0000 2017,8.64984E+17,3,43,#Breaking: Read my statement on appointment of #SpecialCounsel to investigate Russian Interference in our election… https://t.co/TejA3Gx5G1,SenatorMenendez,Bob Menendez,New Jersey,Democratic
8,Wed May 17 21:37:03 +0000 2017,8.64958E+17,18,32,$1.4 trillion of student loan debt is crushing young people's purchasing power &amp; holding back the economy. We want… https://t.co/27rVSYoQAX,SenatorMenendez,Bob Menendez,New Jersey,Democratic
9,Wed May 17 20:56:44 +0000 2017,8.64948E+17,2,30,LGBTQ folks deserve equal access to credit. Proud to support this bill with @RepJoshG... https://t.co/vdonMgdDAq https://t.co/PvsomNGk8O,SenatorMenendez,Bob Menendez,New Jersey,Democratic
