,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 02:11:55 +0000 2017,8.64665E+17,40,489,"Let today be the day for Republican courage — because it wasn't yesterday, and we can't wait until tomorrow. https://t.co/h8V7DXNJ6t",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
1,Thu May 04 15:51:43 +0000 2017,8.6016E+17,7,18,This is about people’s health care. This is about people’s lives. They must be stopped. #VoteNoAHCA,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
2,Thu May 04 15:49:30 +0000 2017,8.60159E+17,4,13,Trumpcare allows insurance companies to charge people more for pre-existing conditions.,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
3,Thu May 04 15:46:28 +0000 2017,8.60159E+17,4,10,"Trumpcare cuts funding from Medicaid, leaving  people who need it most without health care.",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
4,Thu May 04 15:45:00 +0000 2017,8.60158E+17,1,9,"Trumpcare strips health care from 24 million people, if not more. The GOP is moving so fast, no one knows exactly how many will be hurt.",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
5,Thu May 04 15:44:26 +0000 2017,8.60158E+17,1,8,The House is voting on #Trumpcare today. Here’s what you need to know.,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
6,Wed Apr 26 18:12:50 +0000 2017,8.57296E+17,2,23,#netneutrality supports free speech and gives any concerned citizen a platform to speak up and make their voice heard.,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
7,Wed Apr 26 18:09:44 +0000 2017,8.57296E+17,1,9,The difference between the privacy CRA and #netneutrality rollback: public comment period. #resist,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
8,Wed Apr 26 18:07:39 +0000 2017,8.57295E+17,1,14,.@FCC will release the notice of public rulemaking on #netneutrality tomorrow. Get your comments ready. Be heard.,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
9,Wed Apr 26 18:05:34 +0000 2017,8.57295E+17,6,60,"Republicans voted away your online privacy, now Trump’s FCC wants to take away your ability to use the internet how you want. #netneutrality",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
10,Wed Apr 26 18:04:30 +0000 2017,8.57294E+17,1,13,.@AjitPaiFCC Repealing the rules will limit your access to parts of the internet &amp; give your internet provider cont… https://t.co/ru2T7pjSIV,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
11,Wed Apr 26 17:59:02 +0000 2017,8.57293E+17,1,13,Trump's FCC Chair @AjitPaiFCC claims the current rules aren't working. He's wrong. Here's why: https://t.co/HF1DpHZE9W,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
12,Wed Apr 26 17:57:42 +0000 2017,8.57293E+17,3,10,"No, @AjitPaiFCC. You’re wrong. #netneutrality didn’t hurt broadband investment. https://t.co/0eC0HgBQAb",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
13,Wed Apr 26 17:56:28 +0000 2017,8.57292E+17,1,18,"A free and open internet is not a left-right issue, it’s a consumer vs. telecom lobbyist issue. #netneutrality",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
14,Wed Apr 26 17:52:05 +0000 2017,8.57291E+17,2,24,"Let’s be clear – the internet is not broken. There is nothing for the FCC to ""fix."" #netneutrality",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
15,Wed Apr 26 17:31:41 +0000 2017,8.57286E+17,4,33,Trump’s FCC is about to announce their plan to take away your access to the internet and give it to big corporations.  #netneutrality,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
16,Mon Apr 24 22:10:34 +0000 2017,8.56631E+17,23,548,"This week, the fight to protect the free and open internet begins again. Make your voices heard on #netneutrality. https://t.co/ose0Qe2ele",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
17,Wed Apr 19 23:03:20 +0000 2017,8.54833E+17,16,11,Mahalo to all who came to my town hall meeting in Hilo yesterday. https://t.co/RF20oFZsyI,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
18,Fri Apr 07 04:00:47 +0000 2017,8.50197E+17,87,438,"The Assad regime’s use of chemical weapons is abhorrent, but a military response is not the answer. My full stateme… https://t.co/ISt9cj1ZCt",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
19,Thu Apr 06 00:32:47 +0000 2017,8.49782E+17,78,288,"If @SenateGOP can't get to 60, they should change the nominee, not the rules. Heading to the floor to speak out: https://t.co/Grt0WVhBNZ",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
20,Wed Apr 05 16:12:24 +0000 2017,8.49656E+17,20,35,Heading to the Senate floor to talk about why I'm voting NO on Neil Gorusch. WATCH LIVE: https://t.co/Grt0WVhBNZ,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
21,Tue Apr 04 17:58:58 +0000 2017,8.4932E+17,3,13,"On #EqualPayDay, we’re reminded that gender inequality costs women, families &amp; our economy far too much. Time to close the gender pay gap.",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
22,Wed Mar 29 22:35:12 +0000 2017,8.47216E+17,2,5,"Proud to work with @SenatorRisch, @SenJohnThune, @SenatorCantwell, and @SenBillNelson to protect small businesses a… https://t.co/NvonLeAwoJ",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
23,Wed Mar 29 22:33:59 +0000 2017,8.47215E+17,1,7,60% of small biz that suffer a cyberattack are out of business in 6 months. I intro'd a bill to help them fight back https://t.co/S5Qu0jkiYe,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
24,Thu Mar 23 14:47:58 +0000 2017,8.44924E+17,12,144,Republicans are trying to take away the few online privacy protections we have. It’s irresponsible. Here’s why: https://t.co/7czh8Kebol,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
25,Thu Mar 23 14:36:35 +0000 2017,8.44921E+17,22,247,"If the @SenateGOP gets their way today, your personal online info will be sold to the highest bidder. We need to protect #BroadbandPrivacy.",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
26,Wed Mar 22 21:36:13 +0000 2017,8.44664E+17,0,13,"While the FCC has made progress on protecting #BroadbandPrivacy, Republicans want to roll it back and put big business before Americans.",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
27,Wed Mar 22 21:05:34 +0000 2017,8.44656E+17,1,8,Our #BroadbandPrivacy is worth protecting. Here’s why:  https://t.co/JwEqr9hJVb,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
28,Wed Mar 22 20:58:15 +0000 2017,8.44654E+17,4,16,"From banking to healthcare, we are constantly connected to the internet. We should be doing more to protect our #BroadbandPrivacy, not less.",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
29,Tue Mar 14 22:37:33 +0000 2017,8.4178E+17,12,27,.@USCBO score is clear: At least 24 million will lose health care under #TrumpCare. We can't impose this catastroph… https://t.co/i9v3zxlcc1,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
30,Wed Mar 08 21:15:01 +0000 2017,8.39585E+17,5,16,On #InternationalWomensDay we celebrate the women who have made our a world better place https://t.co/LvNhDqfr0s,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
31,Tue Mar 07 23:51:41 +0000 2017,8.39262E+17,8,28,#TrumpCare is not the answer. We need to find a better way forward on health care. https://t.co/xADyBH5eV4,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
32,Tue Mar 07 23:41:23 +0000 2017,8.3926E+17,1,11,"9/ Finally, this is too partisan. We have the opportunity to work together to improve health care. This isn't the way to do it.",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
33,Tue Mar 07 23:39:13 +0000 2017,8.39259E+17,5,12,8/ #TrumpCare also defunds Planned Parenthood. This would stop low-income women from getting critical health services.,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
34,Tue Mar 07 23:38:05 +0000 2017,8.39259E+17,1,16,7/ #TrumpCare will trash mental health coverage and rip away care from people who are counting on it.,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
35,Tue Mar 07 23:36:53 +0000 2017,8.39259E+17,1,10,6/ #TrumpCare will blow up the debt and deficit and we have no idea how many people will lose coverage.,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
36,Tue Mar 07 23:35:09 +0000 2017,8.39258E+17,1,19,5/ #TrumpCare is not a health care bill. It is a tax cut for rich people.,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
37,Tue Mar 07 23:34:04 +0000 2017,8.39258E+17,3,20,4/ #TrumpCare will hit the elderly with an age tax. They could be charged up to 5x as much as a younger person for insurance.,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
38,Tue Mar 07 23:32:44 +0000 2017,8.39258E+17,2,18,3/ #ReadTheBill and you'll see #TrumpCare will cut Medicaid and will move up Medicare insolvency by 3 yrs.,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
39,Tue Mar 07 23:31:21 +0000 2017,8.39257E+17,1,10,"2/ Despite 7 yrs to work on their own plan, the GOP has cobbled together a #TrumpCare bill that doesn’t make sense.",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
40,Tue Mar 07 23:30:09 +0000 2017,8.39257E+17,9,21,1/ Last night the GOP revealed their plan to scrap ACA for #TrumpCare. Here’s what’s wrong with the bill:,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
41,Mon Mar 06 17:55:18 +0000 2017,8.3881E+17,1,11,3/ It's a violation of American values that only damages our national security.,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
42,Mon Mar 06 17:54:57 +0000 2017,8.3881E+17,4,15,"2/ This ‘updated’ Muslim ban is still a Muslim ban. It may be more carefully constructed, but it is still racist and counterproductive.",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
43,Mon Mar 06 17:54:28 +0000 2017,8.3881E+17,9,20,1/ This administration continues to use immigrants and refugees – those fleeing from violence –  as scapegoats for global terrorism.,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
44,Fri Mar 03 22:26:41 +0000 2017,8.37791E+17,22,141,AG Jeff Sessions has lost the confidence of the American people. He can no longer faithfully discharge his duties a… https://t.co/fZjArTMjWJ,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
45,Thu Feb 23 18:56:18 +0000 2017,8.34839E+17,3,9,Proud to earn 100% on the 2016 @LCVoters Scorecard. Let's keep defending clean air and clean water in 2017 and beyo… https://t.co/S852QJQJDs,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
46,Fri Feb 17 17:59:32 +0000 2017,8.32651E+17,10,21,"Bottom line: Scott Pruitt is the wrong choice. You can't fight clean air/clean water, deny climate change and lead @EPA #RejectPruitt",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
47,Fri Feb 17 17:38:46 +0000 2017,8.32645E+17,10,62,"We've waited 750+ days for Pruitt to release his emails. What's a few more? Delay the vote, let's see the emails. https://t.co/ktcCjOrI7b",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
48,Fri Feb 17 17:01:32 +0000 2017,8.32636E+17,4,23,Pruitt wants to take unprecedented steps to turn back the clock on environmental progress. We must #RejectPruitt https://t.co/aTRwVZ5BtZ,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
49,Fri Feb 17 16:50:14 +0000 2017,8.32633E+17,3,40,".@EPA helped ban DDT, a pesticide that was causing major health problems for families &amp; wiping out our bald eagles. https://t.co/w6jCgrsMHF",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
50,Fri Feb 17 16:36:17 +0000 2017,8.3263E+17,2,17,Scott Pruitt is even too extreme for members of his own party. #RejectPruitt https://t.co/JNpcOVDEjj,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
51,Fri Feb 17 15:37:30 +0000 2017,8.32615E+17,3,88,"The Senate needs to see Pruitt's emails, &amp; the American people deserve to know what's in them. Pruitt is wrong to l… https://t.co/SCXst2IF3a",SenBrianSchatz,Brian Schatz,Hawaii,Democratic
52,Fri Feb 17 04:08:00 +0000 2017,8.32441E+17,46,393,The @EPA also helped clean up after corporate polluters when they dumped chemicals into the Hudson River. https://t.co/2JRXiy4Dax,SenBrianSchatz,Brian Schatz,Hawaii,Democratic
