,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Tue May 09 14:33:52 +0000 2017,8.61952E+17,12,6,Gutting protections for those w/ preexisting conditions is reckless. Sign if you agree we need to protect the ACA! https://t.co/NzMhOOJqzV,CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
1,Wed May 03 01:40:47 +0000 2017,8.59583E+17,1,12,"Honored to receive ""The First"" award from @latinovictoryus tonight! Thank you for everything you do. https://t.co/rk3Jh2L4pm",CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
2,Tue Apr 18 15:54:23 +0000 2017,8.54362E+17,3,11,"Thank you for having me @CIS_Nevada ! The work you do to help ensure our children succeed, is truly remarkable.  https://t.co/7nVk18XMqR",CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
3,Thu Apr 13 20:09:54 +0000 2017,8.52615E+17,0,20,Less than 24 hours left to vote @Assemblywoman27 for the @emilyslist Rising Star Award! Let's help this champion of… https://t.co/DZDRDi9KXK,CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
4,Thu Apr 13 16:54:56 +0000 2017,8.52566E+17,2,13,Honored to join @latinovictoryus in this exciting project! I will work hard to help ensure we elect more Latinos.  https://t.co/koOk7hxGYr,CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
5,Sun Mar 12 02:14:59 +0000 2017,8.40748E+17,0,9,Huge congrats @NevadaHoops for advancing to the #NCAA for 1st time in 10 years! Look forward to cheering you on! #GoingDancing #BattleBorn,CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
6,Sun Mar 05 02:43:28 +0000 2017,8.38218E+17,6,16,"Thank you to my good friend, Roberta Lange, for her incredible leadership of the @nvdems. Your passion &amp; hard work helped us turn NV blue!",CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
7,Sun Mar 05 02:41:35 +0000 2017,8.38218E+17,2,10,"Congratulations to @WillMcCurdyII, the next Chair of the @nvdems. I have every faith he'll bring our party together &amp; fight for our values.",CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
8,Fri Mar 03 20:54:49 +0000 2017,8.37768E+17,4,14,A big part of how we turned NV blue in 2016 was our amazing State Party. @WillMcCurdyII is the right choice to help us do it again in 2018.,CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
9,Tue Feb 28 20:02:06 +0000 2017,8.36668E+17,3,7,My colleague @WillMcCurdyII is the leader @nvdems need. Here's his plan for a more united &amp; inclusive state party: https://t.co/ptLXlyeXiP,CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
10,Mon Feb 27 18:08:24 +0000 2017,8.36277E+17,3,16,"I'm proud to support my friend @WillMcCurdyII for @nvdems Chair. Read about who he is, why he's running, &amp; his prio… https://t.co/bmOp9oX6BJ",CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
11,Mon Feb 27 15:14:58 +0000 2017,8.36233E+17,13,30,"When my grandfather crossed the Rio Grande, somebody was there to support &amp; fight for him. More w/ @ELLEmagazine: https://t.co/bixaAjbM5Q",CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
12,Tue Feb 21 22:52:54 +0000 2017,8.34174E+17,22,47,Join me to help send a strong message to @realDonaldTrump that we won't tolerate unnecessary targeting of immigrants:https://t.co/GuVO4RWXmo,CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
13,Thu Feb 16 21:05:30 +0000 2017,8.32335E+17,4,9,Our party needs new generation of diverse leaders. That's why I support @WillMcCurdyII to be our next @nvdems Chair https://t.co/09snLtUomM,CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
14,Wed Feb 08 23:31:29 +0000 2017,8.29473E+17,10,37,The GOP won't let @elizabethforma speak because they can't handle the truth about Sessions: His troubling record on civil and voting rights.,CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
15,Mon Jan 16 00:06:42 +0000 2017,8.20784E+17,36,87,We can’t put the health and financial security of Americans at risk. Let’s make sure Rs know we won’t let them take… https://t.co/vko4oZxxFH,CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
16,Thu Jan 05 17:00:29 +0000 2017,8.17053E+17,11,17,"Make sure you follow my new Senate Twitter, @SenCortezMasto, to keep up with what's happening in the Senate. #LaLuchaSigue",CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
17,Tue Jan 03 13:33:23 +0000 2017,8.16276E+17,4,20,Today's the big day. Follow my official Senate Twitter here: @SenCortezMasto. Thank you all for your support!,CatherineForNV,Catherine Cortez Masto,Nevada,Democratic
