,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 22:54:59 +0000 2017,8.64978E+17,1,18,Mueller has exercised independent judgment in standing up to administration pressures before &amp; that’s exactly what this position requires,ChrisCoons,Chris Coons,Delaware,Democratic
1,Wed May 17 22:53:27 +0000 2017,8.64977E+17,2,21,"Mueller is respected &amp; has long, significant experience at the most sr levels of federal law enforcement, including as a seasoned prosecutor",ChrisCoons,Chris Coons,Delaware,Democratic
2,Wed May 17 22:52:19 +0000 2017,8.64977E+17,13,70,Director Mueller helps restore confidence in the independence and integrity of the ongoing investigation into Russian interference,ChrisCoons,Chris Coons,Delaware,Democratic
3,Wed May 17 22:50:21 +0000 2017,8.64976E+17,10,38,Naming a special counsel to investigate Russian interference in our election was absolutely necessary &amp; Mueller is a very strong choice,ChrisCoons,Chris Coons,Delaware,Democratic
4,Wed May 17 20:38:54 +0000 2017,8.64943E+17,3,1,Today Chief RL Hughes of @GeorgetownPDDE discussed opioid crisis and its impact on public health and safety in Delaware #NationalPoliceWeek,ChrisCoons,Chris Coons,Delaware,Democratic
5,Wed May 17 20:36:11 +0000 2017,8.64943E+17,3,2,Glad to have Chief Hughes @GeorgetownPDDE in DC to talk w/ democratic senators about ways we can support law enforcement #NationalPoliceWeek,ChrisCoons,Chris Coons,Delaware,Democratic
6,Wed May 17 17:51:34 +0000 2017,8.64901E+17,2,10,Let today be an inspiration to recommit ourselves to the fight for #LGBTQ equality worldwide. #IDAHOT2017  https://t.co/sPFgSeAvLd,ChrisCoons,Chris Coons,Delaware,Democratic
7,Wed May 17 17:49:21 +0000 2017,8.64901E+17,2,9,"Proud to join faith &amp; community leaders to fight for civil rights, social justice, &amp; equality. #UnionOnTheHill… https://t.co/0szZ7EggwN",ChrisCoons,Chris Coons,Delaware,Democratic
8,Wed May 17 17:18:28 +0000 2017,8.64893E+17,2,2,This bill will increase the efficiency of the US Marshals' hiring process &amp; enhance the continued development of its workforce.,ChrisCoons,Chris Coons,Delaware,Democratic
9,Wed May 17 17:16:59 +0000 2017,8.64893E+17,3,3,.@OrrinHatch &amp; I introduced the Patrick T. Carothers US Marshals Service Hiring Improvement Act of 2017: https://t.co/CEFyTcuY71,ChrisCoons,Chris Coons,Delaware,Democratic
10,Wed May 17 17:10:20 +0000 2017,8.64891E+17,3,18,Impt read from my friend @JoeBiden. We must stand together to advance the rights of all people. #IDAHOT2017 https://t.co/wUAtpmSA2v,ChrisCoons,Chris Coons,Delaware,Democratic
11,Wed May 17 15:32:40 +0000 2017,8.64866E+17,5,7,"As co-chairs of the Human Rights Caucus, @SenThomTillis &amp; I shed light on human rights issues around the world. https://t.co/Wb7hsvhRKv",ChrisCoons,Chris Coons,Delaware,Democratic
12,Wed May 17 14:48:07 +0000 2017,8.64855E+17,1,1,Very glad to hear it! Looking forward to seeing you back in the Senate soon. https://t.co/AjCURANKMS,ChrisCoons,Chris Coons,Delaware,Democratic
13,Tue May 16 22:54:49 +0000 2017,8.64615E+17,6,27,This alarming story further underscores the importance of our acting promptly in Congress to ensure the integrity of the FBI investigation,ChrisCoons,Chris Coons,Delaware,Democratic
14,Tue May 16 22:54:19 +0000 2017,8.64615E+17,8,34,"If true, this is a further gravely concerning report of repeated efforts to interfere with an ongoing investigation. https://t.co/ju1ADIFDEo",ChrisCoons,Chris Coons,Delaware,Democratic
15,Tue May 16 22:33:56 +0000 2017,8.6461E+17,1,7,"Today, I met w/ DE members of @alsassociation. I'll keep working to ensure that patients &amp; their families have the… https://t.co/vTSSq4MshN",ChrisCoons,Chris Coons,Delaware,Democratic
16,Tue May 16 22:32:53 +0000 2017,8.6461E+17,12,12,Thrilled to kick off the Human Rights Caucus w/ @SenThomTillis today. https://t.co/J323HxfsfI,ChrisCoons,Chris Coons,Delaware,Democratic
17,Tue May 16 17:22:57 +0000 2017,8.64532E+17,0,2,"Thanks, @CapehartJ. Great to chat with you yesterday! https://t.co/Uv5PMTt71D",ChrisCoons,Chris Coons,Delaware,Democratic
18,Tue May 16 17:14:02 +0000 2017,8.64529E+17,2,3,Watch my floor speech honoring the service &amp; sacrifice of law enforcement: https://t.co/4Gr7xxIruo,ChrisCoons,Chris Coons,Delaware,Democratic
19,Tue May 16 17:01:18 +0000 2017,8.64526E+17,3,2,I am committed to work w/ my colleagues to make sure officers have every resource they need to do their jobs &amp; come home safely.,ChrisCoons,Chris Coons,Delaware,Democratic
20,Tue May 16 17:00:29 +0000 2017,8.64526E+17,1,3,"I am honored to co-chair the #LawEnforcementCaucus w/ @RoyBlunt &amp; offer our gratitude, thanks, &amp; support to our law enforcement.",ChrisCoons,Chris Coons,Delaware,Democratic
21,Tue May 16 16:36:36 +0000 2017,8.6452E+17,7,4,Just spoke on the Senate floor to recognize the men &amp; women of law enforcement as part of #NationalPoliceWeek,ChrisCoons,Chris Coons,Delaware,Democratic
22,Tue May 16 16:31:54 +0000 2017,8.64519E+17,13,93,"Let's also remember that if @POTUS shares classified info with the Russians, nothing stops them from sharing that info with Iran, Assad, etc",ChrisCoons,Chris Coons,Delaware,Democratic
23,Tue May 16 16:16:15 +0000 2017,8.64515E+17,9,29,This latest mess from the White House damages the Admin's credibility. We've seen too many Trump officials say things that just aren't true,ChrisCoons,Chris Coons,Delaware,Democratic
24,Tue May 16 16:13:09 +0000 2017,8.64514E+17,19,25,".@POTUS apparently didn't realize the damage he might be doing in the Oval Office, or if he knew, he didn't care
https://t.co/6WDn2RgVD8",ChrisCoons,Chris Coons,Delaware,Democratic
25,Mon May 15 15:40:57 +0000 2017,8.64144E+17,7,4,Spent this morning celebrating @kindtokids at annual spring celebration. Congrats on all the amazing work this grou… https://t.co/3fkPcMtWkM,ChrisCoons,Chris Coons,Delaware,Democratic
26,Mon May 15 15:06:40 +0000 2017,8.64135E+17,8,13,"Impt that SCOTUS let 4th Cir decision stand, but NC law just one of many discriminatory voter suppression efforts https://t.co/IsTzaLPYpB",ChrisCoons,Chris Coons,Delaware,Democratic
27,Sun May 14 19:04:55 +0000 2017,8.63833E+17,7,31,"This Mother's Day, let's also remember the mothers all around the world that deserve America's help.

https://t.co/hH2hakv1nt",ChrisCoons,Chris Coons,Delaware,Democratic
