,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 10:39:18 +0000 2017,8.65155E+17,88,67,I'm on @Morning_Joe talking about the appointment of a special prosecutor &amp; what it means for the Russia investigation. Watch live on @MSNBC,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
1,Thu May 18 10:16:54 +0000 2017,8.65149E+17,18,45,"Going live soon on @Morning_Joe to talk about Trump, Russia &amp; the new special prosecutor. Tune in at 6:30 on @MSNBC",ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
2,Thu May 18 01:57:01 +0000 2017,8.65023E+17,75,629,This is a nonsense justification. We need to have a serious conversation about how to hold these attackers accounta… https://t.co/IemDdzXH3s,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
3,Wed May 17 22:40:53 +0000 2017,8.64974E+17,567,11830,Remember tonight - there would be no special counsel if not for the millions of Americans doggedly and persistently speaking truth to power.,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
4,Wed May 17 22:34:14 +0000 2017,8.64972E+17,120,1902,"And it's only WEDNESDAY. Just keep repeating to yourself, ""none of this is normal, none of this is normal, none of this is normal.""",ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
5,Wed May 17 22:29:36 +0000 2017,8.64971E+17,74,441,"Special counsel is the right move. But will Trump, Sessions give Mueller the resources, latitude he needs? If past is prologue, watch out.",ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
6,Wed May 17 21:13:47 +0000 2017,8.64952E+17,18,449,"If you use the internet, you need to pay attention to what's happening to dismantle #NetNeutrality. Our op-ed: https://t.co/DsMqZa8Oju",ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
7,Wed May 17 19:52:10 +0000 2017,8.64932E+17,7,81,I intro'd the Honor Our Commitments Act to ensure these veterans get access to the treatment they deserve: https://t.co/jI51q6Uvhz,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
8,Wed May 17 19:51:59 +0000 2017,8.64932E+17,5,74,Instead of getting treatment these veterans got a bad paper discharge when their mental illness resulted in misconduct. This is unacceptable,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
9,Wed May 17 19:50:36 +0000 2017,8.64931E+17,22,191,New report confirms the military discharged thousands of veterans with mental health issues related to their service https://t.co/LpTRhBlqFB,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
10,Wed May 17 16:47:26 +0000 2017,8.64885E+17,33,30,Congrats to all of the #CGA17 cadets graduating from @USCGAcademy today in New London!,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
11,Wed May 17 15:05:09 +0000 2017,8.64859E+17,36,387,A child under the age of 5 dies of preventable causes in Yemen every 10 minutes. This is a humanitarian nightmare.,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
12,Wed May 17 15:02:20 +0000 2017,8.64859E+17,13,40,Happening now: I'm on the Senate floor talking about the humanitarian &amp; security crisis in #Yemen. Watch live on @CSPAN 2,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
13,Wed May 17 14:55:02 +0000 2017,8.64857E+17,13,33,Headed to the Senate floor with my colleague @SenToddYoung to talk about the crisis in #Yemen. Watch soon on C-SPAN 2,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
14,Wed May 17 14:12:25 +0000 2017,8.64846E+17,12,42,"Oh my. We are pulling for you, Thom. https://t.co/7Ozs2OSAnG",ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
15,Wed May 17 01:50:27 +0000 2017,8.64659E+17,446,3452,"Why are Republicans getting points for saying they ""want to see the memo""?  What's courageous about curiosity?",ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
16,Tue May 16 21:44:12 +0000 2017,8.64597E+17,636,4671,"Just leaving Senate floor. Lots of chatter from Ds and Rs about the exact definition of ""obstruction of justice"".  https://t.co/zXj32i2x8b",ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
17,Tue May 16 21:16:31 +0000 2017,8.6459E+17,15,54,#FightBackCT is hosting organizing meetings across the state this weekend. Have you RSVP'd? Find one in your area a… https://t.co/I7sCE73nYE,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
18,Tue May 16 18:56:14 +0000 2017,8.64555E+17,52,426,Reminder that in the midst of the opioid crisis #Trumpcare would strip insurance and gut protections for people suffering from addiction,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
19,Tue May 16 16:15:03 +0000 2017,8.64515E+17,66,1076,"Europeans share terrorist intel with us. This is terrifying - a real world, real time consequence of the cascading… https://t.co/v0ZmPtmhU0",ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
20,Tue May 16 15:33:24 +0000 2017,8.64504E+17,28,63,"I'm talking about national security, Russia, and Trump with @AdamSchiffCA at #CAPIdeas right now. Watch live: https://t.co/6hmx8pa5Nb",ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
21,Tue May 16 14:40:16 +0000 2017,8.64491E+17,21,64,"Headed to #CAPIdeas. I'll be talking about Trump, Russia &amp; nat'l security at 11am w @AdamSchiffCA. Watch live here:  https://t.co/6hmx8pa5Nb",ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
22,Tue May 16 03:34:31 +0000 2017,8.64323E+17,70,347,Just so happens I'm on stage tomorrow at #CAPIdeas to talk Trump and Russia. @AdamSchiffCA joining. Should be interesting...,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
23,Tue May 16 00:55:58 +0000 2017,8.64283E+17,321,5937,It didn't start last week. This Administration has been off the rails since Spicer went to the podium to complain about inauguration totals.,ChrisMurphyCT,Chris Murphy,Connecticut,Democratic
