,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 15:41:45 +0000 2017,8.65231E+17,9,37,Tune in as I join @ChrisMurphyCT and @SenBlumenthal in exposing Trump and Republicans’ efforts to sabotage our heal… https://t.co/LHm9yd1UI0,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
1,Wed May 17 23:58:02 +0000 2017,8.64993E+17,13,49,Special Counsel is right decision—time to get the hard facts. Thanks to all who pushed the @TheJusticeDept to pursue the truth.,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
2,Wed May 17 20:57:38 +0000 2017,8.64948E+17,1,14,I'm fighting to ensure MD's communities have the resources they need to fight the #OpioidEpidemic—cutting Medicaid… https://t.co/7mMCk872al,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
3,Wed May 17 18:32:05 +0000 2017,8.64911E+17,18,73,Our public servants should be making sure Americans have the treatment they need to fight the #opioidepidemic. We m… https://t.co/IKZ7AmyiQa,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
4,Wed May 17 16:08:42 +0000 2017,8.64875E+17,6,21,"For Carol and millions of Americans, let’s tell our stories and turn the tide in favor of affordable health care. https://t.co/fIODHt19OC",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
5,Wed May 17 15:14:32 +0000 2017,8.64862E+17,88,223,Carol’s story is a reminder that we must continue to fight like hell against #Trumpcare. https://t.co/DacDdehyED,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
6,Wed May 17 13:31:15 +0000 2017,8.64836E+17,2,18,Sending well wishes to my friend @maziehirono. I know you'll face this fight with unwavering resilience and strengt… https://t.co/kpAEsSZmNC,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
7,Tue May 16 21:59:27 +0000 2017,8.64601E+17,25,135,This may be the clearest example yet of an effort by President Trump to obstruct justice. Vital that Comey testifie… https://t.co/VW7q93XukK,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
8,Tue May 16 20:33:27 +0000 2017,8.6458E+17,26,120,Marylanders must unite to resist this step backwards and press ahead to address the scandal of mass incarceration. https://t.co/MeChQMpgAf,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
9,Tue May 16 15:24:52 +0000 2017,8.64502E+17,15,65,It looks like we’ve found the Leaker-in-Chief. https://t.co/BBrQoSHhGe,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
10,Mon May 15 22:06:24 +0000 2017,8.64241E+17,61,499,Well… https://t.co/6TCbT0eB7h,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
11,Mon May 15 22:04:31 +0000 2017,8.6424E+17,21,87,Very dangerous—compromising critical sources only helps our enemies and hurts our allies. https://t.co/gXIVQkzPg5,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
12,Mon May 15 20:58:05 +0000 2017,8.64223E+17,11,37,"""You're Fired"" POTUS doesn't want someone he can't fire, but that's exactly why a special prosecutor is needed. Ask… https://t.co/9OTQkykv5r",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
13,Mon May 15 18:47:32 +0000 2017,8.64191E+17,15,81,I agree with @PreetBharara: We urgently need an independent and uncompromised special counsel to oversee the Russia… https://t.co/PujLfRXU12,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
14,Mon May 15 18:45:47 +0000 2017,8.6419E+17,10,55,"With President Trump, a clear pattern has emerged: Any @TheJusticeDept official who exercises independence gets fired.",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
15,Mon May 15 17:56:57 +0000 2017,8.64178E+17,12,27,"This is a victory for voting rights, but we must keep fighting to ensure all Americans their right to vote. https://t.co/PPpqF0fzQy",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
16,Mon May 15 16:08:32 +0000 2017,8.64151E+17,44,153,"We’re now fighting against the threat of #Trumpcare 2.0, which would turn back the clock for some of our most vulne… https://t.co/B14G2CYJXt",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
17,Sun May 14 18:52:25 +0000 2017,8.63829E+17,9,88,"This #MothersDay, let’s make sure moms like Amy don’t have to decide if they can afford to save their child’s life. https://t.co/caSqyzOcDA",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
18,Sat May 13 20:00:24 +0000 2017,8.63484E+17,20,90,"This Mother’s Day weekend, I’m asking my Republican colleagues to put Americans’ right to affordable healthcare abo… https://t.co/dbsVE6pJaN",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
19,Sat May 13 16:01:22 +0000 2017,8.63424E+17,10,54,"When we put partisan politics above Americans’ right to affordable health care, the lives of children like David ar… https://t.co/TlbjSUdFjA",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
20,Sat May 13 11:51:17 +0000 2017,8.63361E+17,12,102,#Trumpcare slashes Medicaid while giving a huge windfall tax break to insurance companies and the wealthiest people… https://t.co/Dr01voKZ6O,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
21,Fri May 12 21:13:15 +0000 2017,8.6314E+17,1,8,"Good to join @DrLeanaWen, the team @thcbaltimore, and meet patients whose lives were saved by drug treatment. https://t.co/Mo948nVutz",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
22,Fri May 12 19:54:22 +0000 2017,8.6312E+17,4,15,I'm committed to making sure centers like @thcbaltimore have the adequate funding they need to treat patients in ne… https://t.co/1rlgBoGOrA,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
23,Fri May 12 19:53:48 +0000 2017,8.6312E+17,1,5,"Thanks for having me, @thcbaltimore. Grateful to have the opportunity to meet with patients suffering from substanc… https://t.co/HPxAWiCy3K",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
24,Fri May 12 17:34:14 +0000 2017,8.63085E+17,24,93,"AG Sessions is making our broken justice system even worse. Treat nonviolent substance abuse as health issue, not c… https://t.co/RjpoDwopMK",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
25,Fri May 12 16:31:49 +0000 2017,8.63069E+17,22,62,"While working to shield Trump from an FBI investigation, AG Sessions is reversing efforts to fix our broken crimina… https://t.co/07xyHurjuE",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
26,Fri May 12 14:18:51 +0000 2017,8.63036E+17,15,203,"While focus is on #ComeyFiring, Trump also fired chief bank regulator to hire Wall Street pal—like putting Enron in… https://t.co/Qr42qPsNee",ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
27,Fri May 12 12:44:05 +0000 2017,8.63012E+17,148,461,Trump fired Comey because he was getting nervous about the Russia investigation. This is a gross abuse of executive… https://t.co/7hCUIeaS57,ChrisVanHollen,Chris Van Hollen,Maryland,Democratic
