,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 16:52:58 +0000 2017,8.65249E+17,15,3,"Good discussion w community leaders from Ames on energy, farm bill, labor, edu, etc https://t.co/28RegYj9tL",ChuckGrassley,Chuck Grassley,Iowa,Republican
1,Wed May 17 18:49:15 +0000 2017,8.64916E+17,34,4,Weekly satellite news conference w Iowa TV reporters https://t.co/DasryX9P4d,ChuckGrassley,Chuck Grassley,Iowa,Republican
2,Wed May 17 12:56:11 +0000 2017,8.64827E+17,30,3,Nate Gruber from Black Hawk Co also a fellow UNI grad https://t.co/rqb9Nnvclv,ChuckGrassley,Chuck Grassley,Iowa,Republican
3,Wed May 17 12:54:07 +0000 2017,8.64826E+17,8,1,Kendall Lamkey is a professor at ISU https://t.co/h3oLGuVBQK,ChuckGrassley,Chuck Grassley,Iowa,Republican
4,Wed May 17 12:52:56 +0000 2017,8.64826E+17,11,3,"Rick Sanders, Story Co Supervisor https://t.co/uRyhPQHn7g",ChuckGrassley,Chuck Grassley,Iowa,Republican
5,Wed May 17 12:52:15 +0000 2017,8.64826E+17,5,4,The Johnson family of West Des Moines https://t.co/HsWPWzyp6M,ChuckGrassley,Chuck Grassley,Iowa,Republican
6,Tue May 16 21:02:34 +0000 2017,8.64587E+17,79,32,@realDonaldTrump good job getting rid of some bad regs Can do alot more good by getting rid of Obama guidance letters in various agencies,ChuckGrassley,Chuck Grassley,Iowa,Republican
7,Tue May 16 18:52:26 +0000 2017,8.64554E+17,66,66,Iowa Lt Gov Kim Reynolds will can become Gov sometime nxt week bc Gov Branstad will be Ambassador Branstad 530 pm Monday,ChuckGrassley,Chuck Grassley,Iowa,Republican
8,Tue May 16 16:56:09 +0000 2017,8.64525E+17,247,82,Branstad vote delay is 1 more perfect example of Dem obstruction Gov Branstad should b in Beijing by now,ChuckGrassley,Chuck Grassley,Iowa,Republican
9,Tue May 16 16:55:19 +0000 2017,8.64525E+17,33,22,Gov Branstad out of Foreign Relations Comm UNANIMOUSLY yet senate has 2 vote 2 stop debate on Branstad bcoming Amb. 2 China,ChuckGrassley,Chuck Grassley,Iowa,Republican
