,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 23:23:21 +0000 2017,8.66434E+17,45,108,Thanks @HofstraU and most importantly- Congrats to the #Classof2017! #HofGrad17 https://t.co/BON27kd9Sl,SenSchumer,Chuck Schumer,New York,Democratic
1,Sun May 21 01:31:31 +0000 2017,8.66104E+17,119,59,Congratulations to all the #SUNYFarmingdale grads! Well-deserved celebration! https://t.co/ELXXPybd8v,SenSchumer,Chuck Schumer,New York,Democratic
2,Fri May 19 21:32:06 +0000 2017,8.65681E+17,744,955,Reports that Sherriff Clarke is headed to @DHSgov are disturbing given extreme history--Sec Kelly should reject him. https://t.co/q7NvfQiPkT,SenSchumer,Chuck Schumer,New York,Democratic
3,Fri May 19 16:02:06 +0000 2017,8.65598E+17,194,132,"Whose glasses are better? Mine or @realmikefox's? Probably his. Regardless, we're both ready for @stonybrooku gradu… https://t.co/NsdKoGcCIg",SenSchumer,Chuck Schumer,New York,Democratic
4,Fri May 19 11:09:13 +0000 2017,8.65525E+17,417,1261,This is the kind of thing Pres Erdogan lets happen to the Turkish ppl. Its wrong there and its wrong here. https://t.co/uFOocRdP9e,SenSchumer,Chuck Schumer,New York,Democratic
5,Thu May 18 18:30:05 +0000 2017,8.65273E+17,147,199,"Heartbreaking incident in Times Square. As the facts unfold, my prayers are with the victims and their families.",SenSchumer,Chuck Schumer,New York,Democratic
6,Thu May 18 14:49:15 +0000 2017,8.65218E+17,555,3442,Well that escalated quickly. https://t.co/uUzlZktBoG,SenSchumer,Chuck Schumer,New York,Democratic
7,Thu May 18 14:22:07 +0000 2017,8.65211E+17,239,189,"Mr. Comey testifying; White House turning over relevant “tapes” &amp; transcripts to Congress; &amp; selection of an ind, impartial FBI Director.",SenSchumer,Chuck Schumer,New York,Democratic
8,Thu May 18 14:20:01 +0000 2017,8.6521E+17,315,384,The appointment of Mr. Mueller is a great 1st step to getting Russia investigation back on solid ground. These things also need to happen:,SenSchumer,Chuck Schumer,New York,Democratic
9,Wed May 17 22:52:03 +0000 2017,8.64977E+17,375,287,I now have significantly greater confidence that the investigation will follow the facts wherever they lead.,SenSchumer,Chuck Schumer,New York,Democratic
10,Wed May 17 22:51:44 +0000 2017,8.64977E+17,165,345,Former Director Mueller is exactly the right kind of individual to serve as special counsel in the Russia investigation.,SenSchumer,Chuck Schumer,New York,Democratic
