,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Mon May 22 13:47:40 +0000 2017,8.66652E+17,7,21,What a treat. Honor flight from Mid-Mo on my Southwest flight to DC this morning. #respect https://t.co/9ppKmFC8ZZ,clairecmc,Claire McCaskill,Missouri,Democratic
1,Sun May 21 05:03:05 +0000 2017,8.66157E+17,3,15,"Thanks guys. Great crowd, amazing energy. #teamclaire https://t.co/Jc8ol3IUQo",clairecmc,Claire McCaskill,Missouri,Democratic
2,Sat May 20 22:28:53 +0000 2017,8.66058E+17,21,39,"I do,but that doesn't solve problem for counties that don't have insurers, may happen if Trump refuses risk coverag… https://t.co/b7FC5MP4mC",clairecmc,Claire McCaskill,Missouri,Democratic
3,Sat May 20 22:25:32 +0000 2017,8.66057E+17,26,95,Change law to allow people who don't have insurer in their county to pick plan/use their subsidy on the D.C. exchan… https://t.co/jRxaTSVEN6,clairecmc,Claire McCaskill,Missouri,Democratic
4,Sat May 20 20:49:36 +0000 2017,8.66033E+17,51,178,Check out my idea for letting folks buy where Members of Congress buy health ins if they don't have plans available. https://t.co/XFZHPyLxo2,clairecmc,Claire McCaskill,Missouri,Democratic
5,Sat May 20 20:47:03 +0000 2017,8.66033E+17,5,67,"DC exchange has national plans, they insure  Cong staffers in all 50 states.Thats why letting folks buy there makes… https://t.co/nPSlWidarV",clairecmc,Claire McCaskill,Missouri,Democratic
6,Fri May 19 02:22:22 +0000 2017,8.65392E+17,101,531,It is a very bad idea to appoint a politician to head the FBI right now. We need a law enforcement professional. #bipartisan support.,clairecmc,Claire McCaskill,Missouri,Democratic
7,Thu May 18 12:49:29 +0000 2017,8.65188E+17,18,37,She deserves it. Party shouldn't  matter. She's working hard to save lives. https://t.co/KCaI033YCJ,clairecmc,Claire McCaskill,Missouri,Democratic
8,Thu May 18 12:40:57 +0000 2017,8.65185E+17,102,1135,I agree with @SenJohnMcCain.Unacceptable. They were assaulting these people on US soil.Turkish Ambassador should be… https://t.co/XfVcyslacr,clairecmc,Claire McCaskill,Missouri,Democratic
9,Wed May 17 13:27:32 +0000 2017,8.64835E+17,16,14,Senate Democrats honored to host law enforcement leaders from all over the country. #policeweek #respect https://t.co/knspW4kJYI,clairecmc,Claire McCaskill,Missouri,Democratic
