,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Mon May 22 00:38:05 +0000 2017,8.66453E+17,31,81,Excited to go to Detroit (my mom was born there) to support Sen Debbie Stabenow. I hope you will come out &amp; join us. https://t.co/t4qx4YQyVo,CoryBooker,Cory Booker,New Jersey,Democratic
1,Sun May 21 17:06:22 +0000 2017,8.66339E+17,118,804,"Please read this profound speech by Mayor of New Orleans, Mitch Landrieu re: the removal of confederate monuments. https://t.co/QTPO7h8CTH",CoryBooker,Cory Booker,New Jersey,Democratic
2,Sun May 21 03:30:48 +0000 2017,8.66134E+17,1,2,@realRyanClouse Thank you Ryan. All the best to you.,CoryBooker,Cory Booker,New Jersey,Democratic
3,Sun May 21 00:26:40 +0000 2017,8.66088E+17,2,3,@NicholasFerroni I'd love to visit your class/school if ever possible: @ghelmy,CoryBooker,Cory Booker,New Jersey,Democratic
4,Sun May 21 00:25:11 +0000 2017,8.66087E+17,23,22,It is AWESOME. IN Philly also try @HipCityVeg and @blackbirdpizza https://t.co/0ePupBEg3M,CoryBooker,Cory Booker,New Jersey,Democratic
5,Sun May 21 00:23:21 +0000 2017,8.66087E+17,95,61,And you are wonderful. I sincerely give you my respect and I honor your right to your opinion. https://t.co/uX2Ca8VHxu,CoryBooker,Cory Booker,New Jersey,Democratic
6,Sun May 21 00:22:45 +0000 2017,8.66087E+17,339,42,Any vegetarians/vegans want to give constructive response to this? https://t.co/CjRTCEoUr6,CoryBooker,Cory Booker,New Jersey,Democratic
7,Sun May 21 00:22:00 +0000 2017,8.66087E+17,36,68,When it comes to humanity there are no easy opposites; black/white; Dem/Repub; vegan/carnivore we're still so much… https://t.co/JXOgPfmbRe,CoryBooker,Cory Booker,New Jersey,Democratic
8,Sun May 21 00:16:50 +0000 2017,8.66085E+17,17,10,Everybody was telling me I have to come back for their vegan brunch. Go Killer Vegan in Union! https://t.co/56ArT8PdU9,CoryBooker,Cory Booker,New Jersey,Democratic
9,Sun May 21 00:14:57 +0000 2017,8.66085E+17,70,56,Been a vegetarian since 1992 and vegan since 2014. https://t.co/prVJVlJ1XK,CoryBooker,Cory Booker,New Jersey,Democratic
10,Sun May 21 00:10:29 +0000 2017,8.66084E+17,2,1,@PhilipJWalsh https://t.co/j8ydDyiImv,CoryBooker,Cory Booker,New Jersey,Democratic
11,Sun May 21 00:08:47 +0000 2017,8.66083E+17,9,8,A lot! https://t.co/zEmiVaDzkr,CoryBooker,Cory Booker,New Jersey,Democratic
12,Sun May 21 00:05:09 +0000 2017,8.66082E+17,43,58,"In Union, New Jersey at one of my favorite vegan places, meeting great folks. https://t.co/PC22QAndiB",CoryBooker,Cory Booker,New Jersey,Democratic
13,Sat May 20 20:03:10 +0000 2017,8.66022E+17,91,86,"No, my brother is a pescatarian. Yes, I know, it sounds kind of fishy. https://t.co/OTBU6b2tPr",CoryBooker,Cory Booker,New Jersey,Democratic
