,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 12:56:56 +0000 2017,8.65189E+17,13,7,Having a conversation about cyber this morning at the @AtlanticLIVE's cybersecurity forum. #cybersecuritywork https://t.co/jOL20bqbXk,SenCoryGardner,Cory Gardner,Colorado,Republican
1,Thu May 18 00:06:51 +0000 2017,8.64996E+17,142,19,My statement on today’s DOJ announcement: https://t.co/s2twR0OEvV,SenCoryGardner,Cory Gardner,Colorado,Republican
2,Wed May 17 16:44:41 +0000 2017,8.64884E+17,60,7,The bipartisan PATCH Act is an important step to prevent another massive cyberattack. Learn more here:… https://t.co/3j2RHwwWn0,SenCoryGardner,Cory Gardner,Colorado,Republican
3,Wed May 17 13:04:42 +0000 2017,8.64829E+17,19,18,Thinking of my friend Thom right now and praying for his speedy recovery. https://t.co/dZ74SGo9Hm,SenCoryGardner,Cory Gardner,Colorado,Republican
4,Tue May 16 17:06:14 +0000 2017,8.64527E+17,127,10,Honored to sit down with Madeleine Albright to discuss U.S. global leadership &amp; peaceful denuclearization of the Ko… https://t.co/SgNPunM2Pc,SenCoryGardner,Cory Gardner,Colorado,Republican
5,Mon May 15 17:11:16 +0000 2017,8.64166E+17,49,10,On #NationalPeaceOfficersMemorialDay we honor our fallen officers who made the ultimate sacrifice &amp; thank all LEO's… https://t.co/W0cpSmYt0W,SenCoryGardner,Cory Gardner,Colorado,Republican
6,Sun May 14 17:16:21 +0000 2017,8.63805E+17,38,3,"Alyson and Thatcher delivering breakfast in bed to Jaime today. Happy Mother's Day to my mom, Jaime, and all the mo… https://t.co/0fdiDrHhbm",SenCoryGardner,Cory Gardner,Colorado,Republican
7,Fri May 12 15:52:46 +0000 2017,8.63059E+17,184,47,Colorado's John Suthers would be an excellent choice to lead the FBI. I recommended him to the WH &amp; am excited to s… https://t.co/2fcxOL2CeL,SenCoryGardner,Cory Gardner,Colorado,Republican
8,Thu May 11 19:11:42 +0000 2017,8.62747E+17,72,12,I couldn't support Robert Lighthizer’s nomination to become the United States Trade Representative. Full statement: https://t.co/kCdGzTA2s6,SenCoryGardner,Cory Gardner,Colorado,Republican
9,Tue May 09 18:44:45 +0000 2017,8.62016E+17,79,7,Congrats to Colorado's top youth volunteers &amp; @PruSpirit award winners! Thank you for your work &amp; all you do to ser… https://t.co/8jdA06WfOp,SenCoryGardner,Cory Gardner,Colorado,Republican
10,Mon May 08 17:29:19 +0000 2017,8.61634E+17,49,10,My North Korea Sanctions &amp; Policy Enhancement Act provides the Administration the necessary tools to continue pressuring the rogue regime.,SenCoryGardner,Cory Gardner,Colorado,Republican
11,Mon May 08 17:28:45 +0000 2017,8.61634E+17,22,9,A doctrine of maximum pressure cannot be another slogan. It must be a policy we pursue relentlessly to achieve peaceful denuclearization.,SenCoryGardner,Cory Gardner,Colorado,Republican
12,Mon May 08 17:27:31 +0000 2017,8.61634E+17,16,15,North Korea is far from 'sanctioned out’ &amp; the Trump Administration must sanction all Chinese entities aiding North… https://t.co/4gkt1F9icb,SenCoryGardner,Cory Gardner,Colorado,Republican
13,Mon May 08 14:26:16 +0000 2017,8.61588E+17,48,9,The U.S. must support Taiwan's inclusion in the World Health Assembly &amp; similar international organizations: https://t.co/Eg2zucsZDf,SenCoryGardner,Cory Gardner,Colorado,Republican
14,Thu May 04 17:34:39 +0000 2017,8.60186E+17,39,7,"Growing our economic partnership is critical for Colorado, with $1 billion annual exports to ASEAN countries that s… https://t.co/5oil6XLIzP",SenCoryGardner,Cory Gardner,Colorado,Republican
15,Thu May 04 17:33:41 +0000 2017,8.60186E+17,14,8,"Our security partnership is critical to solving challenges like North Korea, South China Sea, &amp; terrorism: https://t.co/HLXQ6YY4Nm",SenCoryGardner,Cory Gardner,Colorado,Republican
16,Thu May 04 17:32:43 +0000 2017,8.60185E+17,10,7,I welcome the ASEAN reps to DC today &amp; join Secretary Tillerson in celebrating 40 years of US-ASEAN ties. https://t.co/7O9ryvmG1M,SenCoryGardner,Cory Gardner,Colorado,Republican
