,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 20:25:43 +0000 2017,8.6494E+17,1,2,"On Saturday, I’ll be hosting another town hall, this time in Anchorage. It is an honor to serve you and I hope you… https://t.co/G9yK87sGRi",SenDanSullivan,Dan Sullivan,Alaska,Republican
1,Wed May 17 14:19:59 +0000 2017,8.64848E+17,3,7,Glad to hear my good friend @SenThomTillis is recovering well. Expect to see him back in the Senate soon. https://t.co/EJQmZef3rj,SenDanSullivan,Dan Sullivan,Alaska,Republican
2,Wed May 17 01:07:02 +0000 2017,8.64648E+17,1,3,Visited National Law Enforcement Officers Memorial where fallen Fairbanks Police Sergeant Brandt's name was added d… https://t.co/ng7iccZleZ,SenDanSullivan,Dan Sullivan,Alaska,Republican
3,Tue May 16 21:43:01 +0000 2017,8.64597E+17,1,2,"Had great time in Galena, incl. visit to Interior Learning Academy &amp; delicious moose soup &amp; baked salmon lunch. Tha… https://t.co/kfMtwfX9VG",SenDanSullivan,Dan Sullivan,Alaska,Republican
4,Tue May 16 18:38:12 +0000 2017,8.64551E+17,3,2,I'm live now on @aprn Talk of Alaska. Tune in at: https://t.co/UCZjOm4B4E,SenDanSullivan,Dan Sullivan,Alaska,Republican
5,Mon May 15 22:42:21 +0000 2017,8.6425E+17,4,3,Congrats to Andrew Hampton (West Point-bound) &amp; to all of the young Alaskans nominated to America's prestigious ser… https://t.co/R9Ab2DXDfw,SenDanSullivan,Dan Sullivan,Alaska,Republican
6,Mon May 15 20:02:11 +0000 2017,8.64209E+17,2,5,"Honored to recognize Alaskan of the Week Sherry Bess, of Homer, who has dedicated nearly 3 decades to caring for ab… https://t.co/YrJbMz6Nwz",SenDanSullivan,Dan Sullivan,Alaska,Republican
7,Sun May 14 19:05:05 +0000 2017,8.63833E+17,3,4,"Happy #MothersDay to my wife Julie, mom Sandy, mother-in-law Mary Jane - and to all mothers across #Alaska. We love… https://t.co/kV0woZzT9p",SenDanSullivan,Dan Sullivan,Alaska,Republican
8,Fri May 12 23:43:56 +0000 2017,8.63178E+17,0,1,@SecretaryZinke Grateful to have an Interior Secretary intent on filling the Trans #Alaska Pipeline. God bless you… https://t.co/8PyLsh5cCD,SenDanSullivan,Dan Sullivan,Alaska,Republican
9,Thu May 11 21:43:02 +0000 2017,8.62785E+17,11,4,Fairbanks has done a fantastic job hosting the 10th Ministerial of the @ArcticCouncil. Chairmanship now passes from… https://t.co/56m3E74oQT,SenDanSullivan,Dan Sullivan,Alaska,Republican
10,Wed May 10 21:37:04 +0000 2017,8.62421E+17,7,6,Sen. @lisamurkowski and I had a great time meeting with students from Girdwood Middle School who are visiting D.C.… https://t.co/naEb8W6JeR,SenDanSullivan,Dan Sullivan,Alaska,Republican
11,Wed May 10 18:32:59 +0000 2017,8.62375E+17,42,14,My statement on the firing of FBI Director James Comey: https://t.co/9FCKlt5uKn,SenDanSullivan,Dan Sullivan,Alaska,Republican
12,Tue May 09 17:15:30 +0000 2017,8.61993E+17,19,16,"Alaskans – this Friday from 5:30-7:00pm, I will be holding a constituent town hall in North Pole. I hope to see you… https://t.co/DmEQzkLLu6",SenDanSullivan,Dan Sullivan,Alaska,Republican
13,Sat May 06 00:26:41 +0000 2017,8.60652E+17,2,7,"Today we honor the sacrifices made by the law enforcement heroes of the Last Frontier, both past and present. https://t.co/Jvf0j8Cqyh",SenDanSullivan,Dan Sullivan,Alaska,Republican
14,Fri May 05 02:17:36 +0000 2017,8.60318E+17,18,28,"We know Russia regrets selling Alaska, but they aren't getting us back &amp; better back off. Thanks to our F-22 pilots… https://t.co/LQ6RylZwPJ",SenDanSullivan,Dan Sullivan,Alaska,Republican
15,Thu May 04 22:35:15 +0000 2017,8.60262E+17,23,7,"My statement on Senate's passage today of legislation funding the government, including a number of Alaska's priori… https://t.co/LUN21QmEEP",SenDanSullivan,Dan Sullivan,Alaska,Republican
16,Thu May 04 00:06:43 +0000 2017,8.59922E+17,22,11,The 1-in-5 Americans under 9th Circuit deserve better than “fast food justice.” Made case on @FoxandFriends that a… https://t.co/SGY4UJ5SUs,SenDanSullivan,Dan Sullivan,Alaska,Republican
17,Thu May 04 00:03:52 +0000 2017,8.59921E+17,9,9,Americans living under 9th Circuit Court of Appeals – including Alaskans – wait 40% longer to access justice due to its size and delays.,SenDanSullivan,Dan Sullivan,Alaska,Republican
18,Wed May 03 22:08:12 +0000 2017,8.59892E+17,2,2,Congratulations to the 2017 BP Teachers of Excellence! Thank you for the passion &amp; hard work you devote to seeing o… https://t.co/Bs8CAwF6Ke,SenDanSullivan,Dan Sullivan,Alaska,Republican
19,Wed May 03 20:04:43 +0000 2017,8.59861E+17,1,8,Sen. @lisamurkowski and I had a blast today meeting with students from Unalaska! @CloseUp_DC #CloseUpDC https://t.co/jx1fbd5Jb2,SenDanSullivan,Dan Sullivan,Alaska,Republican
20,Tue May 02 22:27:12 +0000 2017,8.59535E+17,3,4,"I had a great time welcoming the Harvey family, from Eagle River, to D.C. for #StrollingThunder! #ThinkBabies… https://t.co/xEKp4Fqf7s",SenDanSullivan,Dan Sullivan,Alaska,Republican
21,Mon May 01 22:23:12 +0000 2017,8.59171E+17,0,9,Thank you to the many Alaskans in Homer who welcomed the sailors of the USS Hopper to #Alaska! https://t.co/xCV41HtCpU,SenDanSullivan,Dan Sullivan,Alaska,Republican
22,Mon May 01 19:20:32 +0000 2017,8.59125E+17,2,6,"Honored to speak at @ABAesq in support of Legal Services Corp, which provides vital pro bono representation in… https://t.co/VlmGWcP7dc",SenDanSullivan,Dan Sullivan,Alaska,Republican
23,Mon May 01 16:25:01 +0000 2017,8.59081E+17,1,3,Southeast awoken to series of earthquakes. Glad to hear no reports of significant damage or injuries. Stay safe! https://t.co/QC3BKiMWZL,SenDanSullivan,Dan Sullivan,Alaska,Republican
24,Sun Apr 30 00:27:51 +0000 2017,8.58478E+17,1,4,"Honored to recognize Madison Englund &amp; Jennifer Troutman, two accomplished Special Olympians &amp; our Alaskans of the… https://t.co/dYoexPMDjj",SenDanSullivan,Dan Sullivan,Alaska,Republican
25,Fri Apr 28 20:18:54 +0000 2017,8.58053E+17,14,7,Honored to witness @POTUS signing an EO today lifting President Obama's last-minute lock-up of #Alaska's #Arctic OC… https://t.co/AnmP9MuwOL,SenDanSullivan,Dan Sullivan,Alaska,Republican
26,Fri Apr 28 17:46:23 +0000 2017,8.58015E+17,3,5,"Tomorrow is #TakeBackDay, opportunity from 10am-2pm to safely dispose of unneeded medications that can fall into wr… https://t.co/MAtCMKe9Dv",SenDanSullivan,Dan Sullivan,Alaska,Republican
27,Thu Apr 27 22:11:52 +0000 2017,8.57719E+17,4,11,"#ICYMI, I joined @WillieGeist on @msnbc's @Morning_Joe to discuss yesterday's meeting at the White House on the thr… https://t.co/3oHL1r9rDt",SenDanSullivan,Dan Sullivan,Alaska,Republican
28,Thu Apr 27 20:06:31 +0000 2017,8.57687E+17,1,5,"Glad to welcome to DC a big group of Alaskan high schoolers from Colony, Redington, Wrangell, South Anchorage, and… https://t.co/PeonEkjSlq",SenDanSullivan,Dan Sullivan,Alaska,Republican
29,Thu Apr 27 00:46:55 +0000 2017,8.57396E+17,8,13,My thoughts following a meeting at the @WhiteHouse with my Senate colleagues regarding the continuing threat posed… https://t.co/78btokLE78,SenDanSullivan,Dan Sullivan,Alaska,Republican
30,Wed Apr 26 21:06:42 +0000 2017,8.5734E+17,0,2,"Appreciate APD Chief Tolley's years of service. Captain Doll, fellow Marine I've served with, will lead dept. well.
https://t.co/Nk19KuwlRo",SenDanSullivan,Dan Sullivan,Alaska,Republican
31,Tue Apr 25 22:39:29 +0000 2017,8.57001E+17,0,4,Congrats 2 #Alaska National Guard Rescue Squads &amp; Rescue Center on winning @usairforce 2016 Jolly Green Assoc. Resc… https://t.co/IIgbdLhkJi,SenDanSullivan,Dan Sullivan,Alaska,Republican
32,Mon Apr 24 23:15:20 +0000 2017,8.56648E+17,6,5,I have much respect for fmr #SurgeonGeneral @Vivek_Murthy &amp; his fight against opioid epidemic. Particularly gratefu… https://t.co/ZYPdwLnYzF,SenDanSullivan,Dan Sullivan,Alaska,Republican
33,Sat Apr 22 23:30:27 +0000 2017,8.55927E+17,4,5,"Great time visiting w/ Romig students who were preparing for a ""Mock Congress"" debate. I'm sure it will rival anyth… https://t.co/8SVlzYwJ7S",SenDanSullivan,Dan Sullivan,Alaska,Republican
34,Fri Apr 21 21:59:42 +0000 2017,8.55542E+17,5,5,Who wants to sit inside to talk to Alaskans when you can be outside in beautiful Homer? #townhallAKstyle https://t.co/rmHgBdM6bD,SenDanSullivan,Dan Sullivan,Alaska,Republican
35,Tue Apr 18 20:36:18 +0000 2017,8.54433E+17,3,3,Thanks to principal Dr. Sherry McKenzie for an informative tour of Barrow High School. https://t.co/viRwab9Dhv,SenDanSullivan,Dan Sullivan,Alaska,Republican
36,Tue Apr 18 18:46:28 +0000 2017,8.54406E+17,0,6,Great discussion with students taking Mr. Price's AK Studies class at Barrow High School. Insightful questions. Go… https://t.co/xb98uXdGoV,SenDanSullivan,Dan Sullivan,Alaska,Republican
37,Tue Apr 18 18:05:07 +0000 2017,8.54395E+17,6,7,"It’s great to be on the North Slope this week!  Started my morning in Barrow  on KBRW “Top of the World Radio"" with… https://t.co/hAy12NxJum",SenDanSullivan,Dan Sullivan,Alaska,Republican
