,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 22:55:49 +0000 2017,8.64978E+17,26,3,Wanted to share some of my favorite highlights from meeting with Georgians this morning. Check… https://t.co/7XWYSuDknG,sendavidperdue,David Perdue,Georgia,Republican
1,Wed May 17 17:11:08 +0000 2017,8.64891E+17,112,14,Obey the law or pay for the wall. Check out this article on a bill I just introduced w/ @SenatorStrange. https://t.co/Y1VaIlmuzA,sendavidperdue,David Perdue,Georgia,Republican
2,Wed May 17 16:30:03 +0000 2017,8.64881E+17,5,6,Enjoyed seeing photos of Floyd Co. Cattleman's Assoc. showing appreciation for police officers. https://t.co/jEaW8kquNC @romenewstribune,sendavidperdue,David Perdue,Georgia,Republican
3,Wed May 17 16:08:15 +0000 2017,8.64875E+17,4,3,Wishing Senator @maziehirono a speedy recovery during this challenging time. https://t.co/uSZLw7KwBU,sendavidperdue,David Perdue,Georgia,Republican
4,Wed May 17 15:46:47 +0000 2017,8.6487E+17,35,5,Thank you to each of the great Georgians who came to meet with me this morning! #gapol https://t.co/KPwWRYqpMp,sendavidperdue,David Perdue,Georgia,Republican
5,Wed May 17 13:57:04 +0000 2017,8.64842E+17,5,7,"Glad to see you're doing well, buddy. See you soon. https://t.co/TYrscvzDhj",sendavidperdue,David Perdue,Georgia,Republican
6,Wed May 17 12:28:05 +0000 2017,8.6482E+17,34,27,"RT if you agree, border-adjustment tax doesn't have a place in tax reform package. #BAT #taxes",sendavidperdue,David Perdue,Georgia,Republican
7,Wed May 17 12:25:54 +0000 2017,8.64819E+17,15,1,Join me now on @BloombergTV! https://t.co/aqdT5NwwAJ,sendavidperdue,David Perdue,Georgia,Republican
8,Wed May 17 02:29:19 +0000 2017,8.64669E+17,148,39,"5 days ago, Acting FBI Director McCabe said ""there has been no effort to impede our investigation."" https://t.co/onsPBLq23s #FBI #Comey",sendavidperdue,David Perdue,Georgia,Republican
9,Tue May 16 21:19:18 +0000 2017,8.64591E+17,26,8,#Cartersville is home to one of @AnheuserBusch's breweries. Great to see investment and positive economic impact in… https://t.co/CU8nHmcLMf,sendavidperdue,David Perdue,Georgia,Republican
10,Tue May 16 20:14:44 +0000 2017,8.64575E+17,39,5,Tune in to @FoxNews after the commercial break. I'm speaking w/ @TeamCavuto in a few minutes. #gapol,sendavidperdue,David Perdue,Georgia,Republican
11,Tue May 16 17:27:07 +0000 2017,8.64533E+17,69,10,.@SenatorStrange &amp; I want to stop #sanctuarycities from putting politics over safety &amp; security. More via @zpolitics https://t.co/9hkKg7suCv,sendavidperdue,David Perdue,Georgia,Republican
12,Tue May 16 16:39:29 +0000 2017,8.64521E+17,17,5,Joining Georgians &amp; Americans in thanking our police officers for their hard work &amp; remembering our fallen heroes.… https://t.co/b29gV9dREe,sendavidperdue,David Perdue,Georgia,Republican
13,Tue May 16 12:03:04 +0000 2017,8.64451E+17,31,1,"In a few moments, join me on @MorningsMaria on @FoxBusiness. #gapol https://t.co/5GIsEMswh1",sendavidperdue,David Perdue,Georgia,Republican
14,Mon May 15 21:35:08 +0000 2017,8.64233E+17,15,11,"Congratulations on becoming newest NCI-designated comprehensive cancer center, @WinshipAtEmory! Thank you for your… https://t.co/mibNBmcCaB",sendavidperdue,David Perdue,Georgia,Republican
15,Mon May 15 17:07:57 +0000 2017,8.64165E+17,49,12,"Washington is always running to latest distraction. There has been progress, but we've got some heavy lifting yet t… https://t.co/5MF3sGqGvI",sendavidperdue,David Perdue,Georgia,Republican
16,Mon May 15 15:46:48 +0000 2017,8.64145E+17,12,4,Had a great time w/ @SenJohnBarrasso at @SquawkCNBC this a.m. Watch our full interview here: https://t.co/LAtr5EUDxx https://t.co/P8LnjsfkHZ,sendavidperdue,David Perdue,Georgia,Republican
17,Mon May 15 15:15:10 +0000 2017,8.64137E+17,16,10,"Today and every day, I have sincere gratitude for our women &amp; men in uniform and their families. Thank you for your… https://t.co/GS5zYmPUfo",sendavidperdue,David Perdue,Georgia,Republican
18,Mon May 15 14:39:04 +0000 2017,8.64128E+17,75,15,It's about time we break some eggs in Washington &amp; change the direction of our country. @SquawkCNBC #gapol https://t.co/HYUzG3L0l9,sendavidperdue,David Perdue,Georgia,Republican
19,Mon May 15 11:01:20 +0000 2017,8.64073E+17,17,5,NOW: Tune in to @SquawkCNBC. We're talking about #healthcare &amp; #taxes. @SenJohnBarrasso https://t.co/VT6T0ZfAvd,sendavidperdue,David Perdue,Georgia,Republican
20,Mon May 15 10:47:36 +0000 2017,8.6407E+17,1,4,"In about 15 mins, join @SenJohnBarrasso and me on @CNBC @SquawkCNBC. https://t.co/VT6T0ZfAvd",sendavidperdue,David Perdue,Georgia,Republican
21,Sun May 14 17:19:55 +0000 2017,8.63806E+17,23,2,"Grateful for this wonderful wife, mother &amp; grandmother on this special day. Happy #MothersDay to all moms &amp; thanks… https://t.co/pRA8HxIF4D",sendavidperdue,David Perdue,Georgia,Republican
22,Wed May 10 20:15:51 +0000 2017,8.62401E+17,10,3,Bonnie &amp; I are saddened about sudden loss of Oglethorpe Police Chief Cannon. Praying for his family &amp; friends. https://t.co/B9rWKhxXDf,sendavidperdue,David Perdue,Georgia,Republican
23,Wed May 10 15:55:34 +0000 2017,8.62335E+17,347,13,".@POTUS acted decisively &amp; within his authority. FBI is larger than 1 person. I'm confident a new director will be nominated, confirmed ASAP",sendavidperdue,David Perdue,Georgia,Republican
24,Wed May 10 15:33:42 +0000 2017,8.6233E+17,17,6,Great conversation w/ Dr. Mary Campbell abt @SpelmanCollege's thriving #STEM education program. Excited to continue… https://t.co/Sg1DjXWNvr,sendavidperdue,David Perdue,Georgia,Republican
25,Wed May 10 14:16:18 +0000 2017,8.6231E+17,64,9,Catching a quick break w/ my hardworking team. Great to have Georgians from Dahlonega to Sylvania on staff. Thank y… https://t.co/z6GqfK42Pz,sendavidperdue,David Perdue,Georgia,Republican
26,Tue May 09 21:16:28 +0000 2017,8.62054E+17,34,7,Great to meet w/ @GeorgiaTech President Bud Peterson. Proud to have a strong relationship with my alma mater &amp; Yell… https://t.co/ZA8k8975o6,sendavidperdue,David Perdue,Georgia,Republican
27,Tue May 09 18:53:55 +0000 2017,8.62018E+17,14,7,Praying for Georgians affected by the #WestMims fire. Follow @GaTrees &amp; @GeorgiaEMA for updated information on the… https://t.co/LLBtuZiU9H,sendavidperdue,David Perdue,Georgia,Republican
28,Tue May 09 15:48:19 +0000 2017,8.61971E+17,31,12,Happy #NationalTeachersDay to all of Georgia's excellent educators. Thank you for all you do to shape our students… https://t.co/TkMdO65EfN,sendavidperdue,David Perdue,Georgia,Republican
