,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 23:29:55 +0000 2017,8.66074E+17,10,13,So proud to have @SecretarySonny at the Fischer Ranch today to meet our friends &amp; neighbors #LoveNebraska… https://t.co/eYfdorfTW4,SenatorFischer,Deb Fischer,Nebraska,Republican
1,Sat May 20 16:10:10 +0000 2017,8.65963E+17,6,10,Bruce and I are excited to welcome @SecretarySonny to Cherry County today. Read more in my op-ed in @NorfolkNews: https://t.co/FudrzNSMhZ,SenatorFischer,Deb Fischer,Nebraska,Republican
2,Sat May 20 14:00:04 +0000 2017,8.6593E+17,27,184,Thank you to all those who have served to protect our freedom #ArmedForcesDay #USA https://t.co/8VvzYT05De,SenatorFischer,Deb Fischer,Nebraska,Republican
3,Thu May 18 17:40:33 +0000 2017,8.65261E+17,8,2,Giving the keynote address at the Women's Energy Resource Council Leadership Forum. #WomenLeaders #USEnergy https://t.co/ou0Q7WA3ds,SenatorFischer,Deb Fischer,Nebraska,Republican
4,Wed May 17 21:32:56 +0000 2017,8.64957E+17,4,1,.@UNL students were chosen to participate in #MicrogNExT program &amp; test their simulated microgravity project. More: https://t.co/2zZKV60brt,SenatorFischer,Deb Fischer,Nebraska,Republican
5,Wed May 17 21:24:26 +0000 2017,8.64955E+17,11,14,Joined @SteveDaines @amyklobuchar &amp; @SenBillNelson to intro leg to protect families from online booking scams. More: https://t.co/cuyuT6B1Z8,SenatorFischer,Deb Fischer,Nebraska,Republican
6,Wed May 17 18:03:34 +0000 2017,8.64904E+17,6,2,Weather Watch: Tornado watch has been issued for parts of eastern Nebraska. Tune in to local news for updates and stay safe. #NEweather,SenatorFischer,Deb Fischer,Nebraska,Republican
7,Wed May 17 15:31:04 +0000 2017,8.64866E+17,11,2,A step fwd in cutting wasteful gov’t spending: #HSGAC approved my #StopImproperFederalBonusesAct w @clairemn &amp; @SenDeanHeller,SenatorFischer,Deb Fischer,Nebraska,Republican
8,Wed May 17 14:42:58 +0000 2017,8.64854E+17,5,5,NOW: discussing Nebraska #transportation priorities at @EPWGOP hearing w/ @SecElaineChao https://t.co/QcNfjXnm9j #infrastructureweek,SenatorFischer,Deb Fischer,Nebraska,Republican
9,Wed May 17 13:50:27 +0000 2017,8.64841E+17,8,2,Looking forward to talking w @SecElaineChao about NE #transportation priorities in today’s @EPWGOP hearing. Watch: https://t.co/QcNfjXnm9j,SenatorFischer,Deb Fischer,Nebraska,Republican
10,Wed May 17 13:20:31 +0000 2017,8.64833E+17,6,5,Enjoyed talking with Nebraskans visiting the U.S. Capitol this morning at our weekly Nebraska Breakfast. #Tradition https://t.co/p8dyazjCGB,SenatorFischer,Deb Fischer,Nebraska,Republican
11,Wed May 17 13:14:50 +0000 2017,8.64832E+17,1,6,Praying for my friend @SenThomTillis.,SenatorFischer,Deb Fischer,Nebraska,Republican
12,Tue May 16 20:27:32 +0000 2017,8.64578E+17,1,9,"@maziehirono Wishing my friend from Hawaii @maziehirono strength in the fight against cancer. Mazie, you will win t… https://t.co/QFLYac0l6d",SenatorFischer,Deb Fischer,Nebraska,Republican
13,Tue May 16 17:45:29 +0000 2017,8.64537E+17,9,6,Discussing how we can tackle challenges women face in the workplace at @IWF #WomenLead Summit. #EqualPay #paidleave https://t.co/1c2ANysmqT,SenatorFischer,Deb Fischer,Nebraska,Republican
14,Mon May 15 21:38:44 +0000 2017,8.64234E+17,18,14,.@JeffFlake &amp; I led 16 other senators in a letter to @USTradeRep Lighthizer stressing economic benefits of #NAFTA : https://t.co/O6axNkJman,SenatorFischer,Deb Fischer,Nebraska,Republican
15,Mon May 15 20:42:30 +0000 2017,8.64219E+17,5,1,REMINDER: Tomorrow my staff will hold local office hours in Arthur &amp; Perkins counties. More info here: https://t.co/BDi0O8yQZj,SenatorFischer,Deb Fischer,Nebraska,Republican
16,Mon May 15 19:01:24 +0000 2017,8.64194E+17,3,2,During #PoliceWeek2017 we honor those who risk their own safety every day to keep our families and communities safe… https://t.co/iB0PcSS7sk,SenatorFischer,Deb Fischer,Nebraska,Republican
17,Mon May 15 18:32:57 +0000 2017,8.64187E+17,2,1,"In my column, I address graduates across our state. You’re the pride of NE &amp; I wish you all the best! #ClassOf2017 https://t.co/JyvwvUOcyu",SenatorFischer,Deb Fischer,Nebraska,Republican
18,Sun May 14 14:00:05 +0000 2017,8.63756E+17,19,3,One of the greatest gifts in life is being a mom. To mothers in Nebraska and across the country: Happy #MothersDay! https://t.co/LP6hre3j8n,SenatorFischer,Deb Fischer,Nebraska,Republican
19,Fri May 12 15:50:43 +0000 2017,8.63059E+17,16,3,Bill would improve collection/accuracy of wireless coverage data so more NE families can access the broadband service they need. (2/2),SenatorFischer,Deb Fischer,Nebraska,Republican
20,Fri May 12 15:50:10 +0000 2017,8.63059E+17,6,3,Joined @Sen_JoeManchin @SenatorWicker @SenBrianSchatz to reintro #RuralWirelessAccessAct (1/2) https://t.co/Mw73IfpUDE,SenatorFischer,Deb Fischer,Nebraska,Republican
21,Thu May 11 18:59:05 +0000 2017,8.62744E+17,14,2,"Joined @SenDuckworth @Clairemc to intro #FAMact, which would make life easier for new mothers traveling in airports: https://t.co/vWJYP93qON",SenatorFischer,Deb Fischer,Nebraska,Republican
22,Thu May 11 15:00:02 +0000 2017,8.62684E+17,26,2,"Questioning Gen Clapper, Gen Hayden &amp; Admiral Stavridis on #Cyber policy in SASC. This critical nat’l security issu… https://t.co/kXB1rzmV7j",SenatorFischer,Deb Fischer,Nebraska,Republican
23,Thu May 11 14:33:37 +0000 2017,8.62677E+17,4,1,NOW: Asking questions on #cyber strategy at @SASCMajority hearing. WATCH: https://t.co/mz1zEYJD3Q,SenatorFischer,Deb Fischer,Nebraska,Republican
24,Thu May 11 13:31:53 +0000 2017,8.62662E+17,11,2,On my way to this AM’s @SASCmajority hearing where we will hear testimony on how we can improve U.S. cyber strategy https://t.co/mz1zEYJD3Q,SenatorFischer,Deb Fischer,Nebraska,Republican
25,Wed May 10 23:19:07 +0000 2017,8.62447E+17,47,8,Also underscores importance of Congress continuing work so Americans can access compassionate &amp; affordable health care they deserve 3/3,SenatorFischer,Deb Fischer,Nebraska,Republican
26,Wed May 10 23:16:31 +0000 2017,8.62446E+17,30,10,It’s further proof that Obamacare is simply unsustainable. (2/3),SenatorFischer,Deb Fischer,Nebraska,Republican
27,Wed May 10 23:16:10 +0000 2017,8.62446E+17,28,11,Today’s news on Aetna means fewer choices and likely higher costs for families across Nebraska. (1/3) https://t.co/32syxsKpZ2,SenatorFischer,Deb Fischer,Nebraska,Republican
28,Wed May 10 18:51:11 +0000 2017,8.6238E+17,15,3,REMINDER: My staff will be hosting several local office hours across NE tomorrow. Check out times/locations here: https://t.co/e9LEpYUAyG,SenatorFischer,Deb Fischer,Nebraska,Republican
29,Wed May 10 15:32:41 +0000 2017,8.6233E+17,17,5,Congrats to @KLINradio for winning 11 awards (five in 1st place) in the ’16 Great Plains AP Broadcast Contest. #NEradio #ProudNebraskan,SenatorFischer,Deb Fischer,Nebraska,Republican
30,Tue May 09 18:30:16 +0000 2017,8.62012E+17,12,2,Watch: At 2:30PM I’ll chair @SenateCommerce Surface Transportation subcommittee hearing on Maritime Transportation. https://t.co/zbBaiaArfo,SenatorFischer,Deb Fischer,Nebraska,Republican
