,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 21:31:26 +0000 2017,8.66E+17,3,20,Sending gratitude to the men and women who bravely serve in our @USArmy @USMC @USNavy @usairforce and @USCG on this #ArmedForcesDay,SenStabenow,Debbie Stabenow,Michigan,Democratic
1,Fri May 19 18:02:46 +0000 2017,8.66E+17,1,7,This is so very tragic and senseless. My thoughts and prayers are with Alyssa's family and friends. https://t.co/Lxk5KI8CyF,SenStabenow,Debbie Stabenow,Michigan,Democratic
2,Thu May 18 19:00:00 +0000 2017,8.65E+17,15,33,Women should not have to worry about losing basic health care. We must stand together to protect women &amp; families in MI. #WomensHealthWeek,SenStabenow,Debbie Stabenow,Michigan,Democratic
3,Thu May 18 15:17:34 +0000 2017,8.65E+17,1,10,100 years of great food and happy memories! Happy anniversary to Detroit’s @AmericanConey! https://t.co/MWGPtZ62Y4,SenStabenow,Debbie Stabenow,Michigan,Democratic
4,Wed May 17 23:29:42 +0000 2017,8.65E+17,27,26,Welcome news of special counsel for Trump-Russia investigation. Read my statement here: https://t.co/ZzE6RnRHj8,SenStabenow,Debbie Stabenow,Michigan,Democratic
5,Wed May 17 23:00:01 +0000 2017,8.65E+17,5,9,Thanking and honoring those who have fallen and those who put their lives on the line to protect our communities #NationalPoliceWeek,SenStabenow,Debbie Stabenow,Michigan,Democratic
6,Wed May 17 18:00:04 +0000 2017,8.65E+17,0,7,"Congrats @LaurenDuski for making it to the finals of @NBCTheVoice!
https://t.co/ShCpl122SU",SenStabenow,Debbie Stabenow,Michigan,Democratic
7,Wed May 17 15:44:10 +0000 2017,8.65E+17,2,14,"Stay strong, @MazieHirono! We will keep you in our thoughts and hope for a speedy recovery. https://t.co/huO3VZQ4O7",SenStabenow,Debbie Stabenow,Michigan,Democratic
8,Wed May 17 15:43:32 +0000 2017,8.65E+17,0,1,Glad to hear it!  Wishing you the best @SenThomTillis https://t.co/gV7k1LlYHg,SenStabenow,Debbie Stabenow,Michigan,Democratic
9,Tue May 16 22:57:39 +0000 2017,8.65E+17,63,67,Stunning news of how POTUS tried to influence the FBI’s Russia investigation. We need answers and an independent sp… https://t.co/opOwE7N2b4,SenStabenow,Debbie Stabenow,Michigan,Democratic
10,Tue May 16 12:53:42 +0000 2017,8.64E+17,7,11,Families in Michigan are losing too many loved ones to opioid addiction. Read my oped in #Marquette Mining Journal: https://t.co/6G5qvrZJBa,SenStabenow,Debbie Stabenow,Michigan,Democratic
11,Mon May 15 22:23:16 +0000 2017,8.64E+17,87,96,"Once again, deeply alarmed. POTUS leaking highly classified information to Russians puts lives at risk. https://t.co/ieNysNAx33",SenStabenow,Debbie Stabenow,Michigan,Democratic
12,Sun May 14 21:05:02 +0000 2017,8.64E+17,2,10,"Celebrating my wonderful mother, Ann Greer, today and every day and Michelle and Sara, the beautiful mothers of my… https://t.co/aEXRKSBlIA",SenStabenow,Debbie Stabenow,Michigan,Democratic
13,Sat May 13 12:59:37 +0000 2017,8.63E+17,2,2,Great to be back at the @KomenDetroit #RacefortheCure this morning with Kids Kicking Cancer! https://t.co/rfAazMQ1uM,SenStabenow,Debbie Stabenow,Michigan,Democratic
14,Fri May 12 18:27:48 +0000 2017,8.63E+17,1,8,Thank you for also serving and for loving and supporting our #military members. #MilitarySpouseAppreciationDay,SenStabenow,Debbie Stabenow,Michigan,Democratic
15,Fri May 12 16:51:55 +0000 2017,8.63E+17,4,15,Exciting to see the new @qlinedetroit connecting Detroiters &amp; visitors to wonderful businesses &amp; destinations acros… https://t.co/tPwO5eBrtY,SenStabenow,Debbie Stabenow,Michigan,Democratic
16,Fri May 12 14:59:11 +0000 2017,8.63E+17,5,16,Riding the @qlinedetroit with @RepLawrence! https://t.co/Ovd6aHKogn,SenStabenow,Debbie Stabenow,Michigan,Democratic
17,Fri May 12 14:01:52 +0000 2017,8.63E+17,3,18,Come on down for the grand opening of the QLINE! https://t.co/4hGsAidNpg,SenStabenow,Debbie Stabenow,Michigan,Democratic
18,Thu May 11 21:12:52 +0000 2017,8.63E+17,24,52,Stood w @PattyMurray @SenGillibrand @SenatorHassan to oppose House R health plan - it imposes a pregnancy tax on wo… https://t.co/g8sBqZ0FHM,SenStabenow,Debbie Stabenow,Michigan,Democratic
19,Thu May 11 15:32:48 +0000 2017,8.63E+17,51,101,This is not a partisan or a R or D issue; it is about the security of the US and protecting our country from Russia! https://t.co/gcDxQw2LMG,SenStabenow,Debbie Stabenow,Michigan,Democratic
20,Thu May 11 01:00:02 +0000 2017,8.62E+17,0,15,So great to meet with high school students from @OakridgeSchools who came to D.C. to advocate for @AmeriCorps and i… https://t.co/YO6k63TryE,SenStabenow,Debbie Stabenow,Michigan,Democratic
21,Wed May 10 23:01:09 +0000 2017,8.62E+17,7,12,Honored to receive this recognition from Gary Kushner and the Small Business Council of America https://t.co/N9d9NfviDg,SenStabenow,Debbie Stabenow,Michigan,Democratic
22,Wed May 10 20:09:41 +0000 2017,8.62E+17,17,71,"Thank you, Rod Nelson, CEO of #Mackinac Straits Health System, for explaining how #Trumpcare would hurt rural commu… https://t.co/zbv7IOYLdS",SenStabenow,Debbie Stabenow,Michigan,Democratic
23,Wed May 10 20:02:05 +0000 2017,8.62E+17,20,73,"Thank you, Cyndi and @MomsRising for sharing your story. #Trumpcare  threatens coverage for Cyndi’s daughter, who h… https://t.co/ZGNwXBfuwN",SenStabenow,Debbie Stabenow,Michigan,Democratic
24,Wed May 10 19:59:40 +0000 2017,8.62E+17,26,68,"If we had #Trumpcare, Michael would have been denied coverage for cancer treatment based on a preexisting condition… https://t.co/DuWVadAgHN",SenStabenow,Debbie Stabenow,Michigan,Democratic
25,Wed May 10 19:58:05 +0000 2017,8.62E+17,10,28,"Gina just shared her story about getting lifesaving care thanks to @PPFA.  Thank you, Gina! #AmericaSpeaksOut https://t.co/uet1T8XFvt",SenStabenow,Debbie Stabenow,Michigan,Democratic
26,Wed May 10 19:31:43 +0000 2017,8.62E+17,34,41,"We need your voices to fight #Trumpcare, which hits Michigan families with a triple whammy: less coverage, higher costs, more taxes!",SenStabenow,Debbie Stabenow,Michigan,Democratic
27,Wed May 10 19:16:43 +0000 2017,8.62E+17,5,10,Watch live! #AmericaSpeaksOut https://t.co/itg5srXRH0,SenStabenow,Debbie Stabenow,Michigan,Democratic
28,Wed May 10 19:13:29 +0000 2017,8.62E+17,1,9,Watch as people from across the country tell @SenateDems how #Trumpcare hurts them. LIVE: https://t.co/pCIvunXOdL #AmericaSpeaksOut @cspan,SenStabenow,Debbie Stabenow,Michigan,Democratic
29,Wed May 10 19:11:06 +0000 2017,8.62E+17,4,7,"With #Trumpcare, Michael would face significantly higher premiums because of the age tax!",SenStabenow,Debbie Stabenow,Michigan,Democratic
30,Wed May 10 19:10:45 +0000 2017,8.62E+17,2,6,…he was able to sign up for insurance on #Virginia’s marketplace despite his preexisting condition.,SenStabenow,Debbie Stabenow,Michigan,Democratic
31,Wed May 10 19:08:36 +0000 2017,8.62E+17,5,5,Michael Dunkley was diagnosed with stage 4 lymphoma in 2013 but his insurance was set to expire at the end of the year…,SenStabenow,Debbie Stabenow,Michigan,Democratic
32,Wed May 10 19:07:14 +0000 2017,8.62E+17,4,12,So Carol moved to #Maryland and was able to get covered through Medicaid.  #Trumpcare threatens her health!,SenStabenow,Debbie Stabenow,Michigan,Democratic
33,Wed May 10 19:06:31 +0000 2017,8.62E+17,3,8,"For most of her life, her MS was manageable and she was uninsured.  But it got worse in 2013 and she did not qualify for affordable care…",SenStabenow,Debbie Stabenow,Michigan,Democratic
34,Wed May 10 19:06:08 +0000 2017,8.62E+17,1,7,Carol Fisher Hardaway is a 63-year-old substitute teacher who has lived with multiple sclerosis since 1990…,SenStabenow,Debbie Stabenow,Michigan,Democratic
35,Wed May 10 18:56:43 +0000 2017,8.62E+17,6,30,.@PPFA Thanks to early detection and treatment from @PPFA Gina was able to become mother of three!,SenStabenow,Debbie Stabenow,Michigan,Democratic
36,Wed May 10 18:56:04 +0000 2017,8.62E+17,2,6,Gina Walkington from #Wisconsin used @PPFA preventive services to detect and remove pre-cancerous cells.,SenStabenow,Debbie Stabenow,Michigan,Democratic
37,Wed May 10 18:49:44 +0000 2017,8.62E+17,1,4,"…but now because of Medicaid, Cyndi can get her daughter the care she needs and get her family out of medical debt.",SenStabenow,Debbie Stabenow,Michigan,Democratic
38,Wed May 10 18:48:59 +0000 2017,8.62E+17,2,5,We’re joined by Cyndi Johnson from #Indiana. Her daughter was born with a preexisting condition &amp; was nearing the lifetime cap...,SenStabenow,Debbie Stabenow,Michigan,Democratic
39,Wed May 10 18:36:44 +0000 2017,8.62E+17,10,11,NOW: How will #Trumpcare affect you?  Share your story using the hashtag #AmericaSpeaksOut. https://t.co/EgUq08i52C,SenStabenow,Debbie Stabenow,Michigan,Democratic
40,Wed May 10 18:00:23 +0000 2017,8.62E+17,4,7,Happening in 30 minutes https://t.co/CldHUgZriX,SenStabenow,Debbie Stabenow,Michigan,Democratic
41,Wed May 10 15:45:51 +0000 2017,8.62E+17,9,25,Tune in LIVE at 2:30pm as @SenateDems hear from people across the country who would be hurt by #Trumpcare  https://t.co/YBewNIxPsk,SenStabenow,Debbie Stabenow,Michigan,Democratic
42,Tue May 09 23:50:32 +0000 2017,8.62E+17,160,511,"Deeply troubling that President Trump fired FBI Dir. Comey, who was leading Trump-Russia investigation. We need an independent prosecutor!",SenStabenow,Debbie Stabenow,Michigan,Democratic
43,Tue May 09 19:19:17 +0000 2017,8.62E+17,2,11,Thankful the @USNavy has made sure Machinist Mate First Class Fred M. Jones will return to his final resting place… https://t.co/Q18L3Ztk8w,SenStabenow,Debbie Stabenow,Michigan,Democratic
44,Sat May 06 16:47:24 +0000 2017,8.61E+17,5,7,Michigan Farm Bill Field Hearing Press Conference https://t.co/NsOsMUjHZL,SenStabenow,Debbie Stabenow,Michigan,Democratic
45,Fri May 05 21:22:18 +0000 2017,8.61E+17,8,5,Great to visit the Buechler family farm. Very impressive conservation leaders! @MichFarmBureau https://t.co/bMHk7lumkc,SenStabenow,Debbie Stabenow,Michigan,Democratic
46,Fri May 05 20:52:32 +0000 2017,8.61E+17,50,142,Republicans are crafting a health care bill that will affect millions of women w no women in the room. Hmm..Will ma… https://t.co/tRR3YWx8wJ,SenStabenow,Debbie Stabenow,Michigan,Democratic
47,Thu May 04 18:20:35 +0000 2017,8.60E+17,62,77,The House Republican plan is bad for Michigan and I will oppose it in the Senate!,SenStabenow,Debbie Stabenow,Michigan,Democratic
48,Thu May 04 17:53:18 +0000 2017,8.60E+17,19,44,"If your mom or dad has a preexisting condition like arthritis, heart disease, breast cancer, or kidney disease they might not get covered.",SenStabenow,Debbie Stabenow,Michigan,Democratic
49,Thu May 04 17:52:38 +0000 2017,8.60E+17,11,23,"If your son or daughter has a preexisting condition like diabetes, autism, a heart condition, cancer they might not get covered.",SenStabenow,Debbie Stabenow,Michigan,Democratic
50,Thu May 04 17:52:12 +0000 2017,8.60E+17,6,15,Their bill would kick 24 million people off their health insurance and create chaos in the health care system.,SenStabenow,Debbie Stabenow,Michigan,Democratic
51,Thu May 04 17:51:45 +0000 2017,8.60E+17,7,17,House Republicans instead are voting on a plan that raises costs for less care &amp; takes us back to days when insurance co's were in charge.,SenStabenow,Debbie Stabenow,Michigan,Democratic
52,Thu May 04 17:51:14 +0000 2017,8.60E+17,29,39,"We need to work across the aisle to lower health care costs for Michigan families &amp; small biz, bring down prescription drug costs &amp; more.",SenStabenow,Debbie Stabenow,Michigan,Democratic
53,Wed May 03 21:03:48 +0000 2017,8.60E+17,0,3,"@MLive Warmest congratulations to talented Gaylord native, @LaurenDuski, for becoming a @NBCTheVoice Top 10 finalis… https://t.co/zBykQsQytw",SenStabenow,Debbie Stabenow,Michigan,Democratic
54,Wed May 03 18:28:33 +0000 2017,8.60E+17,16,25,"Instead of this bill, we need to work together to bring down the costs of premiums and copays for Michigan families and businesses",SenStabenow,Debbie Stabenow,Michigan,Democratic
55,Wed May 03 18:28:03 +0000 2017,8.60E+17,5,20,"If your child has a heart condition or cancer, would you rather know your child is protected or put insurance cos. back in charge?",SenStabenow,Debbie Stabenow,Michigan,Democratic
56,Wed May 03 18:27:50 +0000 2017,8.60E+17,48,72,Republicans are getting ready to vote on a healthcare bill that’s even worse than before!,SenStabenow,Debbie Stabenow,Michigan,Democratic
57,Tue May 02 17:05:59 +0000 2017,8.59E+17,3,3,".@UncleJohnsCider @SI_Assembly @crustabakingco I can’t thank you enough for all the work you do, #SmallBiz owners.… https://t.co/PEkexfWUXz",SenStabenow,Debbie Stabenow,Michigan,Democratic
58,Tue May 02 17:05:22 +0000 2017,8.59E+17,2,3,".@UncleJohnsCider @SI_Assembly While touring Fenton, I stopped at @crustabakingco which is famous for their sea sal… https://t.co/ssoNV9fBnd",SenStabenow,Debbie Stabenow,Michigan,Democratic
59,Tue May 02 17:04:41 +0000 2017,8.59E+17,1,1,".@UncleJohnsCider @SI_Assembly In St. Ignace, I got to see all the great items at The Voyageur Trading Post.… https://t.co/LVoLORWD28",SenStabenow,Debbie Stabenow,Michigan,Democratic
