,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 21:42:03 +0000 2017,8.64959E+17,2,7,"Students from my alma mater, Convent of the Sacred Heart, stopped by today! They even brought some of my old school… https://t.co/64mIe679c0",SenFeinstein,Dianne Feinstein,California,Democratic
1,Wed May 17 21:22:43 +0000 2017,8.64954E+17,12,45,We’re fighting to protect health care for the most vulnerable. That includes the 39% of children insured through… https://t.co/qqkqfoJmpg,SenFeinstein,Dianne Feinstein,California,Democratic
2,Wed May 17 17:28:03 +0000 2017,8.64895E+17,21,70,My friend Mazie is a fighter. She never quits. I’m confident she’ll emerge from this challenge better than ever. https://t.co/c6yX1wdud3,SenFeinstein,Dianne Feinstein,California,Democratic
3,Wed May 17 15:15:43 +0000 2017,8.64862E+17,3,20,Glad to see you’re doing well! Best wishes for a speedy recovery. https://t.co/iSBoWbXLuF,SenFeinstein,Dianne Feinstein,California,Democratic
4,Tue May 16 18:06:15 +0000 2017,8.64543E+17,62,128,We need serious solutions to fight the opioid crisis. Cutting Medicaid is a non-starter and would worsen the epidem… https://t.co/djTFco8WWE,SenFeinstein,Dianne Feinstein,California,Democratic
5,Mon May 15 21:57:10 +0000 2017,8.64238E+17,26,61,"@Caltrain (3/3) @Caltrain project will improve the Bay Area commute and create 10,000 jobs nationwide. My statement: https://t.co/ULDXijKwku",SenFeinstein,Dianne Feinstein,California,Democratic
6,Mon May 15 21:56:32 +0000 2017,8.64238E+17,14,66,"@Caltrain (2/3) Congress approved the @Caltrain project funding, it’s ready to go. There’s no rational justificatio… https://t.co/vwKtj0jpJA",SenFeinstein,Dianne Feinstein,California,Democratic
7,Mon May 15 21:55:23 +0000 2017,8.64238E+17,73,155,(1/3) I will oppose every nominee for the Transportation Department until the Trump administration approves the grant for @Caltrain.,SenFeinstein,Dianne Feinstein,California,Democratic
8,Mon May 15 21:18:35 +0000 2017,8.64229E+17,15,71,(2/2) Let’s make sure to keep the #VotingRights conversation going. We can’t allow the attempt to suppress votes succeed.,SenFeinstein,Dianne Feinstein,California,Democratic
9,Mon May 15 21:18:03 +0000 2017,8.64228E+17,23,149,(1/2) I’m cheering today’s #SupremeCourt decision to end the push to reinstate North Carolina’s discriminatory voter ID law. #SCOTUS,SenFeinstein,Dianne Feinstein,California,Democratic
