,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 16:29:48 +0000 2017,8.65243E+17,0,3,Sharing all of my best DC stories w students from Southeastern Illinois University this morning in front of the Cap… https://t.co/1yRH1FGCYK,SenatorDurbin,Dick Durbin,Illinois,Democratic
1,Thu May 18 15:56:35 +0000 2017,8.65235E+17,18,69,Trump/DeVos plan to gut public education &amp; programs that help low-income students pay for college is a disaster https://t.co/GlDWXLHxhT,SenatorDurbin,Dick Durbin,Illinois,Democratic
2,Thu May 18 14:59:40 +0000 2017,8.6522E+17,9,54,MORNING READ: Republicans’ health care repeal bill puts Americans with disabilities at risk https://t.co/UaHnE8VgRV,SenatorDurbin,Dick Durbin,Illinois,Democratic
3,Thu May 18 13:35:36 +0000 2017,8.65199E+17,30,30,I'll join @SRuhle in a moment on @MSNBC to talk about the special councel [sic] and reports that Gen. Flynn was secretly working for Turkey.,SenatorDurbin,Dick Durbin,Illinois,Democratic
4,Thu May 18 00:07:07 +0000 2017,8.64996E+17,24,100,We still need a nonpartisan independent commission to tackle the bigger questions abt foreign intervention in the functions of our democracy,SenatorDurbin,Dick Durbin,Illinois,Democratic
5,Thu May 18 00:01:30 +0000 2017,8.64994E+17,7,46,He is an excellent choice to serve as special counsel investigating the criminal aspects of Russian meddling in our presidential election.,SenatorDurbin,Dick Durbin,Illinois,Democratic
6,Thu May 18 00:00:51 +0000 2017,8.64994E+17,23,156,I worked with Bob Mueller when he was at FBI over a span of more than 12 years. I have the highest regard for his integrity and intelligence,SenatorDurbin,Dick Durbin,Illinois,Democratic
7,Wed May 17 21:43:49 +0000 2017,8.6496E+17,3,15,Thanks @senrobportman @SenSherrodBrown @SenCapito @SenAngusKing @SenatorCollins @Sen_JoeManchin for joining me on this important legislation,SenatorDurbin,Dick Durbin,Illinois,Democratic
8,Wed May 17 21:43:32 +0000 2017,8.6496E+17,3,25,Read more about the Medicaid Coverage for Addiction Recovery Expansion (Medicaid CARE) Act here: https://t.co/TpsLVRQUaH,SenatorDurbin,Dick Durbin,Illinois,Democratic
9,Wed May 17 21:43:19 +0000 2017,8.6496E+17,3,17,Bill tackles opioid epidemic by lifting outdated policy &amp; paying for up to 40 treatment beds at larger substance abuse treatment facilities,SenatorDurbin,Dick Durbin,Illinois,Democratic
