,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Fri May 19 21:53:46 +0000 2017,8.65687E+17,7,82,Only thing collapsing faster than #TrumpRussia cover-up is the Antarctic ice sheet. We can't wait to #ActOnClimate https://t.co/MnRUJlYji4,SenMarkey,Ed Markey,Massachusetts,Democratic
1,Fri May 19 21:33:29 +0000 2017,8.65682E+17,3,31,Endangered Species Act offers protection to imperiled wildlife &amp; is an economic engine. Let’s celebrate science on #EndangeredSpeciesDay!,SenMarkey,Ed Markey,Massachusetts,Democratic
2,Fri May 19 20:18:06 +0000 2017,8.65663E+17,3,33,"We have moved ever closer to a Constitutional crisis, Americans deserve answers to the questions of what Trump knew &amp; when he knew it.",SenMarkey,Ed Markey,Massachusetts,Democratic
3,Fri May 19 20:17:01 +0000 2017,8.65663E+17,1,22,Seismic revelations underscore need to provide Mueller w resources &amp; indep. nec. to conduct a serious invest. &amp; bring charges if warranted.,SenMarkey,Ed Markey,Massachusetts,Democratic
4,Fri May 19 20:09:57 +0000 2017,8.65661E+17,8,74,Latest news reaffirms #ComeyFiring was an obstruction of justice masquerading as a personnel decision. #TrumpRussia https://t.co/o0KRzYoCqY,SenMarkey,Ed Markey,Massachusetts,Democratic
5,Fri May 19 20:02:35 +0000 2017,8.65659E+17,11,125,Trump has now divulged more info about his opinion of the Russia investigation to Russians than he has to the Ameri… https://t.co/SRv3mjH0VP,SenMarkey,Ed Markey,Massachusetts,Democratic
6,Fri May 19 19:11:19 +0000 2017,8.65646E+17,1,3,Tune in: I'll be on with @MSNBC @AliVelshi at 3:20pm talking #SpecialCounsel Robert Mueller and #ComeyFiring. #Trumprussia,SenMarkey,Ed Markey,Massachusetts,Democratic
7,Fri May 19 14:21:49 +0000 2017,8.65573E+17,8,7,About to join @PoppyHarlowCNN @johnberman on @CNNnewsroom to discuss #TrumpRussia investigation &amp; special counsel Robert Mueller. Tune in!,SenMarkey,Ed Markey,Massachusetts,Democratic
8,Thu May 18 20:52:24 +0000 2017,8.65309E+17,7,47,Trump &amp; #GOP want to sabotage #ACA exchanges instead of working on bipartisan solutions w @SenateDems. American fam… https://t.co/TtFa7xflSz,SenMarkey,Ed Markey,Massachusetts,Democratic
9,Thu May 18 19:59:08 +0000 2017,8.65296E+17,4,11,"#Haiti has been devastated by natural disasters. In April, I urged @DHSgov Sec. Kelly to extend TPS for Haitians re… https://t.co/CQN2hvH1lk",SenMarkey,Ed Markey,Massachusetts,Democratic
10,Thu May 18 19:57:49 +0000 2017,8.65295E+17,4,20,We have never turned our back on those seeking a better life. We should #saveTPS &amp; protect Haitian families that have built a life in #MA,SenMarkey,Ed Markey,Massachusetts,Democratic
11,Thu May 18 18:14:53 +0000 2017,8.65269E+17,5,136,@FCC More than 1 million comments have already been submitted to Trump's @FCC &amp; the movement to defend… https://t.co/3xgB4Q2Wd7,SenMarkey,Ed Markey,Massachusetts,Democratic
12,Thu May 18 18:10:22 +0000 2017,8.65268E+17,2,18,@FCC And these big corporations that don’t care about consumers’ rights. These co's have only one concern – their b… https://t.co/n78pnjOyXB,SenMarkey,Ed Markey,Massachusetts,Democratic
13,Thu May 18 18:09:04 +0000 2017,8.65268E+17,2,25,"@FCC Instead of protecting privacy, health care, enviro, or access to a free &amp; open internet, GOP wants hand that p… https://t.co/CzL3DJ92Cm",SenMarkey,Ed Markey,Massachusetts,Democratic
14,Thu May 18 18:07:03 +0000 2017,8.65268E+17,1,40,@FCC This attack on #NetNeutrality is just 1 piece of the Republicans’ effort to dismantle the basic protections sa… https://t.co/7Ly8IPMh2B,SenMarkey,Ed Markey,Massachusetts,Democratic
15,Thu May 18 18:02:40 +0000 2017,8.65266E+17,5,120,"Instead of preserving a free &amp; open internet, Trump's @FCC is taking steps to restrict innovation &amp; democratic expression. #NetNeutrality",SenMarkey,Ed Markey,Massachusetts,Democratic
16,Thu May 18 15:03:33 +0000 2017,8.65221E+17,4,30,"Trump's @FCC will vote to dismantle the free &amp; open internet. Make our voices heard for our democracy, for our econ… https://t.co/Fj1r5GYsfg",SenMarkey,Ed Markey,Massachusetts,Democratic
17,Thu May 18 15:01:16 +0000 2017,8.65221E+17,4,49,"They might have Citizens United, but we are Net-izens United. I'm proud to stand in opposition to any efforts to un… https://t.co/246zhKOfZc",SenMarkey,Ed Markey,Massachusetts,Democratic
18,Thu May 18 14:57:39 +0000 2017,8.6522E+17,6,25,Trump &amp; #GOP are waging an all-out assault on every front they can on our core democratic values &amp; today they're going after #NetNeutrality,SenMarkey,Ed Markey,Massachusetts,Democratic
19,Thu May 18 14:53:48 +0000 2017,8.65219E+17,4,23,"Fewer voices, less choice, no competition BUT more profits! That’s their formula. But we cannot let this happen. Protect #NetNeutrality!",SenMarkey,Ed Markey,Massachusetts,Democratic
20,Thu May 18 14:51:48 +0000 2017,8.65218E+17,3,49,Big Broadband &amp; #GOP want to turn back the 🕒  and make big cable &amp; big cellphone co's the gatekeepers for internet access. #NetNeutrality,SenMarkey,Ed Markey,Massachusetts,Democratic
