,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 23:16:38 +0000 2017,8.65345E+17,165,495,@realDonaldTrump @USTreasury Watch this totally bizarre testimony from @USTreasury Sec Mnuchin where he admits he d… https://t.co/Jrykbsn5TD,SenWarren,Elizabeth Warren,Massachusetts,Democratic
1,Thu May 18 23:15:37 +0000 2017,8.65345E+17,85,476,"@realDonaldTrump Now that @realDonaldTrump &amp; @USTreasury Sec Mnuchin have met with the Wall Street lobbyists, they’… https://t.co/kM5SJ2ufBO",SenWarren,Elizabeth Warren,Massachusetts,Democratic
2,Thu May 18 23:14:12 +0000 2017,8.65345E+17,165,905,.@realDonaldTrump has claimed for months that he supports reinstating Glass-Steagall - the law separating commercial &amp; investment banking.,SenWarren,Elizabeth Warren,Massachusetts,Democratic
3,Thu May 18 01:18:08 +0000 2017,8.65014E+17,305,1045,"As Mueller steps up to enforce the law, Congress must step up too – with its own independent, bipartisan, &amp; transparent investigations.",SenWarren,Elizabeth Warren,Massachusetts,Democratic
4,Thu May 18 01:16:59 +0000 2017,8.65013E+17,159,794,"For Mr. Mueller to succeed, he needs total authority to pursue this investigation – completely free of any hint of political interference.",SenWarren,Elizabeth Warren,Massachusetts,Democratic
5,Thu May 18 01:16:23 +0000 2017,8.65013E+17,597,2502,"It is obvious to the American people that the Russia-Trump investigation requires a special counsel, &amp; I am glad we finally have one.",SenWarren,Elizabeth Warren,Massachusetts,Democratic
6,Wed May 17 21:14:56 +0000 2017,8.64952E+17,155,541,"Heading to the Senate floor to oppose DOJ nominee Rachel Brand, &amp; reintroduce my #BankonStudents refi bill. Watch: https://t.co/jc1R7Es8hG",SenWarren,Elizabeth Warren,Massachusetts,Democratic
7,Wed May 17 19:58:35 +0000 2017,8.64933E+17,190,1056,.@MartinHeinrich &amp; I urged @TheJusticeDept IG to investigate/report on Sessions’ role in Comey’s firing.… https://t.co/fjAZByoPKN,SenWarren,Elizabeth Warren,Massachusetts,Democratic
8,Wed May 17 19:57:34 +0000 2017,8.64933E+17,221,1612,AG Sessions didn’t just decide to recuse himself because he’s a nice guy. @TheJusticeDept regulations require it.,SenWarren,Elizabeth Warren,Massachusetts,Democratic
9,Wed May 17 19:56:55 +0000 2017,8.64933E+17,465,4015,"Sessions played a role in firing FBI Director Comey – a firing @realDonaldTrump said was, in part, based on Comey’s Russia investigation.",SenWarren,Elizabeth Warren,Massachusetts,Democratic
10,Wed May 17 19:56:16 +0000 2017,8.64933E+17,369,1474,"After getting caught lying about contact with the Russians, Sessions said he’d recused himself from the Trump-Russia investigation.",SenWarren,Elizabeth Warren,Massachusetts,Democratic
11,Wed May 17 18:44:53 +0000 2017,8.64915E+17,165,1130,@realDonaldTrump @FCC Powerful companies shouldn’t decide how or when we use the internet. That’s why we have to fi… https://t.co/WrBTEoIs6q,SenWarren,Elizabeth Warren,Massachusetts,Democratic
12,Wed May 17 18:44:07 +0000 2017,8.64914E+17,208,3571,".@realDonaldTrump’s @FCC votes tomorrow to gut #NetNeutrality rules that keep the internet free &amp; open, &amp; hand control to big broadband.",SenWarren,Elizabeth Warren,Massachusetts,Democratic
13,Wed May 17 13:53:38 +0000 2017,8.64841E+17,39,131,Sending my best wishes to @SenThomTillis &amp; his family this morning. Hope you have a very speedy recovery! https://t.co/5nLC3ayWxB,SenWarren,Elizabeth Warren,Massachusetts,Democratic
14,Tue May 16 21:57:26 +0000 2017,8.64601E+17,62,215,@SenatorLankford The bipartisan #TruthinSettlements Act passed unanimously through the Senate in the last Congress.… https://t.co/HcU95MWvuY,SenWarren,Elizabeth Warren,Massachusetts,Democratic
15,Tue May 16 21:56:17 +0000 2017,8.646E+17,101,338,Today @SenatorLankford &amp; I reintroduced our #TruthinSettlements Act to shut down the backroom deal making: https://t.co/WHFVH5SgoY,SenWarren,Elizabeth Warren,Massachusetts,Democratic
16,Tue May 16 21:54:12 +0000 2017,8.646E+17,67,223,"Settlements may be tax deductible or have credits hidden in fine print. If the gov is going to cut deals, we should know what we’re getting.",SenWarren,Elizabeth Warren,Massachusetts,Democratic
17,Tue May 16 21:53:11 +0000 2017,8.646E+17,94,266,"When the federal gov reaches a settlement with companies that break the law, they tout a big $ amount. But those numbers can be misleading.",SenWarren,Elizabeth Warren,Massachusetts,Democratic
18,Tue May 16 20:54:56 +0000 2017,8.64585E+17,36,171,Wishing all my best for a speedy recovery to my dear friend @maziehirono. Your Senate family is here for you every step of the way!,SenWarren,Elizabeth Warren,Massachusetts,Democratic
19,Tue May 16 16:58:50 +0000 2017,8.64526E+17,1720,1540,"""Here in America, we embrace &amp; defend democracy.  And we do that by demanding that everyone in our government is accountable."" #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
20,Tue May 16 16:58:15 +0000 2017,8.64525E+17,510,3024,"“No matter how much [@realDonaldTrump] might admire Vladimir Putin’s Russia, here in America, we will never accept autocracy.” #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
21,Tue May 16 16:57:16 +0000 2017,8.64525E+17,393,1547,"""In this country no one is above the law – not even the President of the United States."" #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
22,Tue May 16 16:56:50 +0000 2017,8.64525E+17,210,1306,"“…[Trump's] desire to impress his Russian buddies does not outweigh the safety, security, &amp; lives of Americans &amp; our allies."" #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
23,Tue May 16 16:56:41 +0000 2017,8.64525E+17,182,1465,"""Now is the time to remind [@realDonaldTrump] that our intelligence secrets are not gossip..."" #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
24,Tue May 16 16:56:31 +0000 2017,8.64525E+17,285,1769,"""Now is the time to remind @realDonaldTrump that our gov is not a plaything to make him richer or a servant to do his bidding."" #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
25,Tue May 16 16:53:36 +0000 2017,8.64524E+17,72,316,"""Concentrated money &amp; concentrated power. They influence nearly every decision made in this town. But capture is not complete."" #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
26,Tue May 16 16:52:35 +0000 2017,8.64524E+17,145,704,"""It is time for us to do what Teddy Roosevelt did – and pick up the antitrust stick again."" #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
27,Tue May 16 16:51:05 +0000 2017,8.64524E+17,543,4141,"“Do you get the feeling that if Bernie Madoff weren’t in prison, he’d be in charge of the SEC right now?” #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
28,Tue May 16 16:49:28 +0000 2017,8.64523E+17,265,776,"“In every corner of our economy, competition is choked off… a handful of giant corporations control more &amp; more &amp; compete less &amp; less.""",SenWarren,Elizabeth Warren,Massachusetts,Democratic
29,Tue May 16 16:46:46 +0000 2017,8.64523E+17,175,859,"""When people shrug at @POTUS's conflicts, it’s not because they don’t care – they know money is already causing a deep rot in DC."" #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
30,Tue May 16 16:44:52 +0000 2017,8.64522E+17,111,636,"""It doesn’t matter if you’re a nobody or you’re friends with the President – insider trading is illegal."" #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
31,Tue May 16 16:41:35 +0000 2017,8.64521E+17,199,746,"""Money has fundamentally reoriented our democracy. Money slithers through our political system like a snake."" #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
32,Tue May 16 16:41:12 +0000 2017,8.64521E+17,215,1314,"""Concentrated money &amp; power are corrupting our democracy - &amp; becoming dangerously worse with @realDonaldTrump in the WH."" #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
33,Tue May 16 16:40:16 +0000 2017,8.64521E+17,189,1045,"""Set aside debates about big gov vs. small gov, more gov vs. less gov. The most important thing we need is accountable gov."" #CAPIdeas",SenWarren,Elizabeth Warren,Massachusetts,Democratic
34,Tue May 16 16:30:56 +0000 2017,8.64519E+17,115,273,In just a few minutes I’ll be speaking about accountable government at the @amprog #CAPIdeas conference. Watch live: https://t.co/2Yry7cNmMH,SenWarren,Elizabeth Warren,Massachusetts,Democratic
