,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 22:13:45 +0000 2017,8.66054E+17,2,13,Thank you to @IndivisibleMich for putting on this great event &amp; helping to ignite this unprecedented grassroots engagement!,SenGaryPeters,Gary Peters,Michigan,Republican
1,Sat May 20 22:13:09 +0000 2017,8.66054E+17,4,6,"With your help we can make good-paying jobs, affordable health care, quality education, &amp; secure retirements a reality for all Michiganders",SenGaryPeters,Gary Peters,Michigan,Republican
2,Sat May 20 22:12:58 +0000 2017,8.66054E+17,6,66,Great speaking w energized crowd at #IndivisibleFair &amp; encouraging them to continue to fight to make their voices h… https://t.co/rxGA2tMwX5,SenGaryPeters,Gary Peters,Michigan,Republican
3,Sat May 20 00:35:31 +0000 2017,8.65728E+17,3,10,"Honored to celebrate the legacy of David DiChiera, thanks for using your passion for opera to help revitalize Detro… https://t.co/GyXKCJjOP9",SenGaryPeters,Gary Peters,Michigan,Republican
4,Fri May 19 20:19:59 +0000 2017,8.65663E+17,2,7,ICYMI via @WZZM13: “Peters introduces bill to make it easier to promote part-time firefighters &amp; save fire departme… https://t.co/Mt22gxkcgB,SenGaryPeters,Gary Peters,Michigan,Republican
5,Fri May 19 18:35:02 +0000 2017,8.65637E+17,3,6,Cosponsored a bill that uses revenue raised on public land &amp; water to preserve MI &amp; US natural treasures. https://t.co/GMEntCOky7,SenGaryPeters,Gary Peters,Michigan,Republican
6,Fri May 19 17:04:58 +0000 2017,8.65614E+17,4,3,Enjoyed meeting w Michigan realtors from @nardotrealtor to discuss how we can help more Michiganders become homeown… https://t.co/CynswT7tYa,SenGaryPeters,Gary Peters,Michigan,Republican
7,Thu May 18 22:46:05 +0000 2017,8.65338E+17,17,27,Special counsel investigation &amp; Senate oversight are about 1 thing: our nat’l security. Watch my @MSNBC interview o… https://t.co/gEJkkbtPWC,SenGaryPeters,Gary Peters,Michigan,Republican
8,Thu May 18 20:54:49 +0000 2017,8.6531E+17,8,33,Proud to support Michigan’s booming beer industry! https://t.co/oB9gXuyXxF,SenGaryPeters,Gary Peters,Michigan,Republican
9,Thu May 18 19:55:56 +0000 2017,8.65295E+17,2,7,Happy 100th Anniversary to @AmericanConey – a Detroit original! https://t.co/k79gejcioH,SenGaryPeters,Gary Peters,Michigan,Republican
