,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 19:30:04 +0000 2017,8.66376E+17,6,17,"Affordable health care coverage for folks w/pre-existing conditions, like Jane from Grand Forks, is under attack in… https://t.co/ANdI6sJq1J",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
1,Sun May 21 00:23:12 +0000 2017,8.66087E+17,0,3,Happy birthday to my good friend &amp; a woman whose passion to help people is changing the world - @cindymccain.,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
2,Sat May 20 19:40:01 +0000 2017,8.66016E+17,1,2,"Wednesday, May 24 from 6-7:30pm, come to Raymond J. Bohn Armory in Bismarck to learn more about attending a US Serv… https://t.co/L9LA7IhbY6",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
3,Sat May 20 15:09:37 +0000 2017,8.65948E+17,4,5,"At AMVETS today, reinforced importance of providing #vets w/the best benefits &amp; health care &amp; my bill to extend Vet… https://t.co/guWHoIQh8f",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
4,Sat May 20 13:30:00 +0000 2017,8.65923E+17,0,1,Heading to AMVETS Convention in Bismarck today to thank #veterans for their service &amp; sacrifice,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
5,Fri May 19 20:43:31 +0000 2017,8.65669E+17,3,3,So happy I could stop by and wish WWII #veteran Reuben Guttormson a happy 102nd birthday! https://t.co/Yx6CA402Ih,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
6,Fri May 19 20:05:23 +0000 2017,8.6566E+17,1,2,@nodakchamber @senrobportman Hearing directly from NDans today about the impacts of burdensome regulations is criti… https://t.co/ks1lpEAU25,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
7,Fri May 19 20:04:19 +0000 2017,8.65659E+17,3,1,@nodakchamber Here's how my bill with @senrobportman to make federal regulations smarter &amp; more effective is differ… https://t.co/Nki2N0JNST,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
8,Fri May 19 20:02:58 +0000 2017,8.65659E+17,1,1,@nodakchamber My bipartisan bill would help reduce the red tape businesses &amp; families often encounter while protect… https://t.co/B2OPPbetOA,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
9,Fri May 19 20:01:38 +0000 2017,8.65659E+17,2,2,"W/@nodakchamber, talked about my bipartisan, commonsense bill to make fed. regs smarter &amp; more effective that passe… https://t.co/qPkQXD44FR",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
10,Fri May 19 18:54:57 +0000 2017,8.65642E+17,3,7,Working the drive-thru window @McDonalds in Bismarck today before talking with folks about the importance supportin… https://t.co/229eLdBHKO,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
11,Fri May 19 18:12:01 +0000 2017,8.65631E+17,1,5,Thanks to all the folks who shared their stories today &amp; reinforced the urgency to support families &amp; maintain Medi… https://t.co/2AfGGjAeQi,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
12,Fri May 19 18:05:47 +0000 2017,8.6563E+17,5,3,"GOP health care bill would get rid of Medicaid expansion by 2020 – which provides coverage for abt 20,000 NDans, including children",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
13,Fri May 19 18:04:41 +0000 2017,8.65629E+17,2,2,"Spoke w/community, faith &amp; state leaders in Bismarck about the need to support Medicaid &amp; SNAP https://t.co/70Vg2cHlko",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
14,Fri May 19 17:37:36 +0000 2017,8.65622E+17,1,4,Great to join folks for Global War on Terror Remembrance Wall ceremony to honor those who made ultimate sacrifice f… https://t.co/UpGDweKvQ1,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
15,Fri May 19 17:09:08 +0000 2017,8.65615E+17,1,1,Busy day in Bismarck today - follow me on @snapchat to see what I'm up to! https://t.co/mtARB9hzoV,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
16,Thu May 18 22:01:05 +0000 2017,8.65326E+17,1,5,@SenateBanking Helped intro. bill to permanently extend health care for retired coal miners. Won't relent until all… https://t.co/1gK24gONGy,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
17,Thu May 18 21:57:56 +0000 2017,8.65326E+17,1,4,".@SenateBanking, pressed Treasury Sec. to safeguard pensions of 400,000+ workers/retirees in Central States Pension Fund, incl. 2,000 NDans",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
18,Thu May 18 21:56:59 +0000 2017,8.65325E+17,1,7,We have obligation to stand up for workers throughout their lives - called 4 urgent action to protect pensions of American workers/retirees,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
19,Thu May 18 21:25:44 +0000 2017,8.65318E+17,14,55,"""Not only did Ben the Intern forget to wear a suit again, but he spit in my coffee twice this morning."" https://t.co/jRlAVhHn3t",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
20,Thu May 18 20:59:29 +0000 2017,8.65311E+17,2,5,"Watch: @SenateBanking, pressed Treasury Sec. Mnuchin on need for #ExIm to fully function &amp; 4 nominees who will carr… https://t.co/G7VYBdvZ67",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
21,Thu May 18 19:06:57 +0000 2017,8.65283E+17,1,2,Happy Birthday @SenatorTomUdall - I'm always inspired by your hard work to stand up for the people of New Mexico.,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
22,Thu May 18 17:00:08 +0000 2017,8.65251E+17,1,1,US Service Academies are a great way to serve your country. Students who are interested in learning more are invite… https://t.co/cOmOLWSSCa,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
23,Thu May 18 16:15:06 +0000 2017,8.65239E+17,1,6,"ONDCP funds 5,000 anti-drug programs, including in ND. We're facing opioid epidemic &amp; now is not the time to cut th… https://t.co/cfXKGvVrxW",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
24,Thu May 18 15:52:25 +0000 2017,8.65234E+17,5,4,ICYMI: Here’s my statement on @TheJusticeDept decision announcing a special counsel 2 oversee impartial investigati… https://t.co/OpTFHdKpEM,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
25,Thu May 18 15:29:50 +0000 2017,8.65228E+17,0,2,".@SenateBanking, pressed Sec. Mnuchin on need for fully-functioning #ExIm Bank &amp; to move forward w/solution to Central States Pension issues",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
26,Thu May 18 14:01:30 +0000 2017,8.65206E+17,1,11,Ashley from ND has been cancer free for 1.5 yrs - but policies that helped save her life are in jeopardy under GOP… https://t.co/AqhITohuSf,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
27,Wed May 17 23:53:23 +0000 2017,8.64992E+17,3,7,"@TheJusticeDept Now, we need to make sure Mr. Mueller gets the resources to fully do his job.",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
28,Wed May 17 23:53:09 +0000 2017,8.64992E+17,1,3,@TheJusticeDept Appointing a special counsel to handle this investigation prevents it from yielding to political ti… https://t.co/PGe5yWjgVW,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
29,Wed May 17 23:52:53 +0000 2017,8.64992E+17,2,3,@TheJusticeDept I have continued to say that extreme partisanship is one of the greatest dangers our country faces.,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
30,Wed May 17 23:52:37 +0000 2017,8.64992E+17,1,1,@TheJusticeDept The information from the law enforcement investigation will help inform the investigations congress… https://t.co/Cw9Q3XGG0m,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
31,Wed May 17 23:52:21 +0000 2017,8.64992E+17,1,4,@TheJusticeDept Appointing a special counsel will also support the investigations taking place in Congress.,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
32,Wed May 17 23:52:02 +0000 2017,8.64992E+17,2,4,@TheJusticeDept Decision is about getting facts &amp; protecting our nat’l security-objectives that should be nonpartis… https://t.co/AC25ittQO7,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
33,Wed May 17 23:51:38 +0000 2017,8.64992E+17,6,12,.@TheJusticeDept decision to announce special counsel 2 oversee impartial investigation is a very important step &amp; one which I’ve called for,SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
34,Wed May 17 21:01:01 +0000 2017,8.64949E+17,0,2,"Great to see folks from the ND Association of Realtors today to talk about flood insurance, tax reform &amp; more https://t.co/4SHdHCfqGb",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
35,Wed May 17 20:40:03 +0000 2017,8.64944E+17,3,76,".@AmerAcadPeds says version of GOP health care bill that passed in US House makes ""an already bad bill even worse f… https://t.co/ltIyJeJ7Y6",SenatorHeitkamp,Heidi Heitkamp,North Dakota,Democratic
