,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 20:53:02 +0000 2017,8.66396E+17,2,6,"Love, courage, beauty, hope &amp; remembrance today at dedication of new #stationfire memorial park. https://t.co/I6Pmil4cTN",SenJackReed,Jack Reed,Rhode Island,Democratic
1,Sat May 20 17:03:00 +0000 2017,8.65976E+17,9,38,"Unconscionable - Trump is seeking to destabilize health insurance, raise your rates &amp; reduce health options for all: https://t.co/cIbWiklJtv",SenJackReed,Jack Reed,Rhode Island,Democratic
2,Fri May 19 22:19:35 +0000 2017,8.65693E+17,8,25,Here’s my statement on the latest questionable actions of the Trump White House: https://t.co/B0Aqo1BId2,SenJackReed,Jack Reed,Rhode Island,Democratic
3,Fri May 19 18:22:52 +0000 2017,8.65634E+17,3,1,"Congrats to RI @neighborworks affiliates @NWBRV @WEHDC &amp; ONE Neighb. Builders on over $750k for affordable housing:
https://t.co/cjsMTyKQKJ",SenJackReed,Jack Reed,Rhode Island,Democratic
4,Fri May 19 18:03:49 +0000 2017,8.65629E+17,4,4,"Treasury Sec. #Mnuchin also told me: ‘terror financing is most important issue right now as part of my job.’

https://t.co/UDFvhOhUqw",SenJackReed,Jack Reed,Rhode Island,Democratic
5,Fri May 19 17:59:51 +0000 2017,8.65628E+17,5,20,I asked if Trump Admin is committed to ensuring no tax increases for 96% of Americans. Underwhelmed by response: https://t.co/kFgpIfTqWt,SenJackReed,Jack Reed,Rhode Island,Democratic
6,Fri May 19 17:50:27 +0000 2017,8.65626E+17,2,6,"Under #TrumpTax, experts say: “uneven and uncertain savings for ordinary households” &amp; “some could even pay more..."" https://t.co/8f86w5FDtS",SenJackReed,Jack Reed,Rhode Island,Democratic
7,Fri May 19 17:42:39 +0000 2017,8.65624E+17,1,17,"We need a #TaxPlan that helps the #MiddleClass &amp; gives #WorkingFamilies real #TaxRelief, not just #TrumpTax breaks for the already powerful.",SenJackReed,Jack Reed,Rhode Island,Democratic
8,Thu May 18 18:23:42 +0000 2017,8.65272E+17,12,28,This is not a ‘witch hunt.’ It is about nothing less than the health of our democracy. Watch: https://t.co/SUWgrqcZ3o,SenJackReed,Jack Reed,Rhode Island,Democratic
9,Thu May 18 16:59:32 +0000 2017,8.65251E+17,4,4,Getting set to join @CNN's @jimsciutto at 1:10 to discuss Mueller appointment and more.,SenJackReed,Jack Reed,Rhode Island,Democratic
10,Thu May 18 14:01:59 +0000 2017,8.65206E+17,1,11,"With deep respect &amp; gratitude for Sen. Inouye &amp; Irene, I'm honored to accept Daniel K. #Inouye Maritime Guardian Aw… https://t.co/yrspxn3Eok",SenJackReed,Jack Reed,Rhode Island,Democratic
11,Thu May 18 00:12:50 +0000 2017,8.64997E+17,4,29,My statement on appointment of #SpecialCounsel to oversee FBI’s #TrumpRussia investigation: https://t.co/QBL7Ok0Vfx,SenJackReed,Jack Reed,Rhode Island,Democratic
12,Wed May 17 22:57:12 +0000 2017,8.64978E+17,5,22,Pleased former FBI Chief Bob Mueller will take charge of prosecutors &amp; FBI agents leading Trump-Russia investigation https://t.co/9IThwzjZuS,SenJackReed,Jack Reed,Rhode Island,Democratic
13,Wed May 17 19:27:24 +0000 2017,8.64925E+17,1,17,"This is #udder nonsense. Why not just call it National Treasure Vice Cream? Hail to the Veep! 

https://t.co/GL1wP5a7sl",SenJackReed,Jack Reed,Rhode Island,Democratic
14,Wed May 17 19:25:13 +0000 2017,8.64925E+17,0,1,Appreciate the work of Chief Wordell &amp; all the dedicated RI law enforcement officers. Thank you for your service!… https://t.co/qxdMzh8BW4,SenJackReed,Jack Reed,Rhode Island,Democratic
15,Wed May 17 18:53:03 +0000 2017,8.64917E+17,5,56,Urging DOJ watchdog to investigate Attorney Gen. Sessions’ role in Comey firing. Read our letter: https://t.co/4AuHsyoFHN,SenJackReed,Jack Reed,Rhode Island,Democratic
