,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 13:39:11 +0000 2017,8.66287E+17,7,10,"#NorthKorea fires another missile, 2 wks after new #SouthKorea Pres. is elected. This is reckless &amp; disrespectful https://t.co/ylnLG85qyh",SenatorLankford,James Lankford,Oklahoma,Republican
1,Sat May 20 19:15:14 +0000 2017,8.66009E+17,22,136,Good news! https://t.co/Y8jrrlEcTb,SenatorLankford,James Lankford,Oklahoma,Republican
2,Sat May 20 17:56:22 +0000 2017,8.6599E+17,37,129,"Praying for you @Enes_Kanter 

#FreeEnes https://t.co/oCWSKVfRHq",SenatorLankford,James Lankford,Oklahoma,Republican
3,Fri May 19 23:04:09 +0000 2017,8.65705E+17,56,37,James Comey has agreed to testify before our Intel Cmte. I'm hopeful his testimony will provide some clarification for the American people,SenatorLankford,James Lankford,Oklahoma,Republican
4,Fri May 19 20:49:06 +0000 2017,8.65671E+17,13,13,"For the 1st time in almost 20yrs, the @USCIRF designated #Russia among it’s worst violators of #religiousfreedom https://t.co/a7j8GlDHdj",SenatorLankford,James Lankford,Oklahoma,Republican
5,Thu May 18 22:25:18 +0000 2017,8.65332E+17,21,18,I appreciated today's all-Senate briefing w/Deputy AG Rod Rosenstein. He is committed to a thorough investigation that is above reproach.,SenatorLankford,James Lankford,Oklahoma,Republican
6,Thu May 18 16:19:42 +0000 2017,8.6524E+17,46,12,We cannot get distracted. We have to finish the #healthcare conversation. Families are counting on us. https://t.co/ZTQKvID7Wu,SenatorLankford,James Lankford,Oklahoma,Republican
7,Thu May 18 02:56:51 +0000 2017,8.65038E+17,111,51,I hope strong consideration is given to former #Oklahoma Governor Frank Keating to be the next #FBI Director. https://t.co/ec8JTftIXM,SenatorLankford,James Lankford,Oklahoma,Republican
8,Thu May 18 00:24:11 +0000 2017,8.65E+17,32,23,Robert Mueller as #SpecialCounsel for DOJ's Russia probe is positive news. Mueller &amp; Intel Cmte will both follow the facts wherever it leads,SenatorLankford,James Lankford,Oklahoma,Republican
9,Wed May 17 20:44:29 +0000 2017,8.64945E+17,22,5,TUNE IN: I'll be on Fox News @SpecialReport w/@BretBaier at 6pm ET / 5pm CT to discuss Senate Intel Cmte &amp; the latest re: James Comey,SenatorLankford,James Lankford,Oklahoma,Republican
10,Wed May 17 19:19:21 +0000 2017,8.64923E+17,8,5,"My Homeland Security &amp; Gov't Affairs Committee-passed bills will create #transparency &amp; help #smallbiz grow. 
https://t.co/vAZ4YrTKZF",SenatorLankford,James Lankford,Oklahoma,Republican
11,Wed May 17 14:36:21 +0000 2017,8.64852E+17,16,7,"Homeland Security &amp; Gov't Affairs Cmte is holding a markup of my 4 bills on #smallbiz, regs &amp; transparency. WATCH: https://t.co/ePxezD9NxC",SenatorLankford,James Lankford,Oklahoma,Republican
12,Wed May 17 14:29:26 +0000 2017,8.6485E+17,3,4,I'm so glad you're ok! https://t.co/bSjpGNfmoi,SenatorLankford,James Lankford,Oklahoma,Republican
13,Wed May 17 12:48:49 +0000 2017,8.64825E+17,7,14,"Prayers for @ThomTillis, his family, and staff right now. https://t.co/WsFY0w8so7",SenatorLankford,James Lankford,Oklahoma,Republican
14,Tue May 16 23:00:29 +0000 2017,8.64617E+17,30,18,American #AndrewBrunson has been imprisoned in #Turkey for 7 mos. w/o charges. Pleased to hear the WhiteHouse discussed this w/#Erdogan tday,SenatorLankford,James Lankford,Oklahoma,Republican
15,Tue May 16 19:58:08 +0000 2017,8.64571E+17,42,9,More competition + lower costs + greater access to care = Patient Access to Higher Quality Health Care Act. https://t.co/cDbDkhCXUz,SenatorLankford,James Lankford,Oklahoma,Republican
16,Tue May 16 13:26:04 +0000 2017,8.64472E+17,25,13,"185 industry groups agree → Regulatory reform is needed to #SupportSmallBiz, and #S584 is the answer. https://t.co/EGaWcdZMr2",SenatorLankford,James Lankford,Oklahoma,Republican
17,Mon May 15 21:32:16 +0000 2017,8.64232E+17,20,30,"Men &amp; women in blue leave their families every day, ready &amp; willing to do what it takes to ensure our safety. Thank… https://t.co/07i6C7gfFv",SenatorLankford,James Lankford,Oklahoma,Republican
18,Sun May 14 12:49:33 +0000 2017,8.63738E+17,18,17,Thank you to all the mothers &amp; grandmothers for serving your families well. Enjoy the day! #HappyMothersDay https://t.co/mHCt5l9dym,SenatorLankford,James Lankford,Oklahoma,Republican
19,Fri May 12 19:02:27 +0000 2017,8.63107E+17,20,34,Small businesses account for almost 2/3 of job creation. We must do better to examine how regs affect them. #SupportSmallBiz #S584,SenatorLankford,James Lankford,Oklahoma,Republican
20,Fri May 12 16:30:05 +0000 2017,8.63069E+17,17,9,Proud to work w/ @marcorubio &amp; @ChrisCoons to promote the fundamental human right of #religiousfreedom →… https://t.co/ol2MbDXEDp,SenatorLankford,James Lankford,Oklahoma,Republican
21,Fri May 12 13:59:51 +0000 2017,8.63031E+17,3,4,Congrats to Brooke Bollinger of Blanchard &amp; Ellie Neidel of OKC--honored in DC this week as Oklahoma's 2017 top you… https://t.co/nqbzpIT166,SenatorLankford,James Lankford,Oklahoma,Republican
22,Fri May 12 13:13:53 +0000 2017,8.63019E+17,35,10,"Talked #RussiaInvestigation, #cyberattacks, #Iran &amp; more at open Senate Intel hearing yesterday. WATCH → https://t.co/9yrnTAShx0",SenatorLankford,James Lankford,Oklahoma,Republican
23,Thu May 11 22:05:35 +0000 2017,8.62791E+17,24,79,"At the 1st #WorldSummit in Defense of #PersecutedChristians, we stand w/the millions around the globe who suffer fo… https://t.co/zb6WJrv29J",SenatorLankford,James Lankford,Oklahoma,Republican
