,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Fri May 19 21:07:25 +0000 2017,8.65675E+17,5,46,"Very disappointed that Trump admin budget includes deep cuts to EPA, incl. Superfund program &amp; state enviro. grants https://t.co/XexFIXc6f4",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
1,Fri May 19 14:03:17 +0000 2017,8.65569E+17,0,4,Very impt op-ed from Joe Pepe of @CMCHealth on threat from carfentanil. Could be lethal new chapter in opioid crisis https://t.co/1q8FKmxVro,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
2,Fri May 19 13:54:15 +0000 2017,8.65566E+17,2,9,CDBG fund NH treatment centers like Friendship House--critical for people like Kimberley Phillips from Bethlehem https://t.co/acNgeIrY1e,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
3,Thu May 18 18:29:11 +0000 2017,8.65273E+17,8,50,"I’m contacting State Dept abt these visa requests for LGBT individuals fleeing Chechnya. U.S. should be safe haven 
https://t.co/AROlWGtrXF",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
4,Thu May 18 12:51:56 +0000 2017,8.65188E+17,5,30,@Cosmopolitan Today I'll introduce the Keeping Girls in School Act to address obstacles 130 million girls face in g… https://t.co/BhBKOK2x9A,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
5,Thu May 18 12:51:31 +0000 2017,8.65188E+17,5,17,"Great chatting w/@Cosmopolitan yday about girls education, Russia probe &amp; why it's impt to have women at the table https://t.co/R3mTZ2YU6X",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
6,Wed May 17 22:39:47 +0000 2017,8.64974E+17,12,42,My statement on former FBI Director Robert Mueller being appointed as special counsel: https://t.co/qcIKaAGnAv,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
7,Wed May 17 20:10:37 +0000 2017,8.64936E+17,5,9,LGBT rights are human rights &amp; I've intro'd leg that punishes those who would commit violence #EyesOnChechnya https://t.co/WqOt3hEtPh,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
8,Wed May 17 20:10:03 +0000 2017,8.64936E+17,3,10,"While we have made tremendous progress, #IDAHOT is reminder that LGBT community should be free from violence&amp; harassment in both US&amp; abroad.",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
9,Wed May 17 18:24:29 +0000 2017,8.6491E+17,2,8,#LWCF preserves NH sites like White Mountain Natl Forest &amp; strengthens the outdoor economy. I led a bipartisan lett… https://t.co/mU3mciDbLE,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
10,Wed May 17 15:10:25 +0000 2017,8.64861E+17,20,45,What’s next in @realDonaldTrump’s campaign to roll back women’s rights?,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
11,Wed May 17 15:10:04 +0000 2017,8.64861E+17,22,143,"Tues, Trump met w/Turkey's Erdogan, who rolled back women's rights &amp; pushed policies loosening sexual assault &amp; dom… https://t.co/PUhyM6Ko90",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
12,Wed May 17 15:09:17 +0000 2017,8.6486E+17,9,77,"Monday, Trump admin expanded dangerous Global Gag Rule, which will severely impact millions of vulnerable women &amp; f… https://t.co/NUYU6aKyE8",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
13,Wed May 17 15:08:22 +0000 2017,8.6486E+17,21,104,"Sunday, Trump “celebrated” national women’s health week, but his policies undermine progress and endanger the healt… https://t.co/4ZNqSzyFj2",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
14,Tue May 16 19:36:52 +0000 2017,8.64565E+17,7,13,".@SenatorHassan &amp; I intro’d leg to preserve &amp; protect ONDCP, which is critical to NH's fight against opioid epidemic https://t.co/JrTFyKoAUS",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
15,Tue May 16 19:17:49 +0000 2017,8.64561E+17,1,1,"Great meeting Lauren Cavignano from Amherst, a junior at Souhegan HS &amp; a U.S. Senate Page. Glad to have her in DC o… https://t.co/ANSjVqvhxX",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
16,Tue May 16 18:09:53 +0000 2017,8.64543E+17,0,5,Met w/@SenScottBrown ahead of his hearing to serve as ambassador to New Zealand. Wished him best of luck &amp; reiterat… https://t.co/J2hVUk2SUk,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
17,Tue May 16 15:42:33 +0000 2017,8.64506E+17,4,9,With my colleagues from states hardest by the opioid epidemic speaking out against GOP healthcare repeal bill https://t.co/szcxw5eybG,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
18,Tue May 16 15:11:50 +0000 2017,8.64499E+17,5,45,Colleagues &amp; I are speaking out against GOP healthcare repeal &amp;its disastrous impact on opioid epidemic. Watch live: https://t.co/VZkN1zYF9w,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
19,Mon May 15 23:03:55 +0000 2017,8.64255E+17,37,115,"Sharing intel w/ adversaries undermines key relationships w/ allies &amp; threatens our national security. If true, this is reckless &amp; dangerous",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
20,Mon May 15 20:39:57 +0000 2017,8.64219E+17,1,10,Thank you to all the men &amp; women in uniform who serve our communities &amp; help keep our families safe. #NationalPoliceWeek,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
21,Mon May 15 20:17:44 +0000 2017,8.64213E+17,0,4,"This AM, former NFLer Jeff Hatch &amp; I spoke w/Portsmouth High students about preventing substance misuse among stude… https://t.co/nLfK6ocdFZ",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
22,Mon May 15 20:03:49 +0000 2017,8.6421E+17,0,5,TY @gmfus for hosting 70th anniv. of Marshall Plan panel. Investing in other countries is critical for natl security https://t.co/dSjFC2FGsE,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
23,Mon May 15 19:29:33 +0000 2017,8.64201E+17,8,92,Trump admin's expanded #GlobalGag has severe consequences for millions of vulnerable women &amp; undermines US humanita… https://t.co/MeHLNmnIzg,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
24,Mon May 15 18:50:06 +0000 2017,8.64191E+17,6,24,Assad has committed heinous crimes against Syrians. I’m a cosponsor of Syrian War Crimes Accountability Act--Assad… https://t.co/oxqBKtc5SI,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
25,Sun May 14 14:44:16 +0000 2017,8.63767E+17,1,8,"Happy #MothersDay! Best wishes to everyone celebrating their moms, grandmothers &amp; influential women in their lives today",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
26,Fri May 12 22:39:36 +0000 2017,8.63162E+17,8,37,Very concerned by recent news at EPA.US must continue to lead in unbiased scientific research &amp; environmental policy https://t.co/Krpy8WcxjL,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
27,Fri May 12 17:26:34 +0000 2017,8.63083E+17,18,146,"Dir Mulvaney’s comments on diabetes show ignorance for millions of Americans living w/t1 &amp; t2 diabetes, &amp; economic toll it takes on families",SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
28,Fri May 12 15:59:11 +0000 2017,8.63061E+17,0,9,Had a great visit to Rockingham Brewery Company in Derry. Excited to have them participating in 8th Annual Experien… https://t.co/2j7o1mNhtQ,SenatorShaheen,Jeanne Shaheen,New Hampshire,Democratic
