,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 19:29:02 +0000 2017,8.64926E+17,12,6,Committee passes #BootsOnTheBorder! Bill helps CBP fill jobs w/ highly-vetted law enforcement officers &amp; veterans https://t.co/tT5RlLbZRm,JeffFlake,Jeff Flake,Arizona,Republican
1,Wed May 17 01:17:39 +0000 2017,8.64651E+17,612,1240,Congress needs to see the Comey memo.,JeffFlake,Jeff Flake,Arizona,Republican
2,Tue May 16 00:53:42 +0000 2017,8.64283E+17,251,25,My view right now. The U.S. Capitol at dusk. https://t.co/EhPTd8TnC0,JeffFlake,Jeff Flake,Arizona,Republican
3,Mon May 15 21:22:30 +0000 2017,8.6423E+17,64,79,#NAFTA will benefit from strengthening &amp; modernization but to abandon it will have devastating economic consequences https://t.co/Ps3guqtpgy,JeffFlake,Jeff Flake,Arizona,Republican
4,Fri May 12 02:30:44 +0000 2017,8.62858E+17,191,11,"Hey, it's good to be back home again. #AZ https://t.co/zKMKTN7SWP",JeffFlake,Jeff Flake,Arizona,Republican
5,Thu May 11 19:52:17 +0000 2017,8.62757E+17,65,14,#CleanUpTheVA starts by ridding VA of doctors who lose their licenses &amp; employees convicted of work-related felonies https://t.co/NpibWu1PC1,JeffFlake,Jeff Flake,Arizona,Republican
6,Thu May 11 03:10:23 +0000 2017,8.62505E+17,87,21,Congrats Gov. @DougDucey &amp; #AZ Legislature on another successful session!,JeffFlake,Jeff Flake,Arizona,Republican
7,Wed May 10 21:35:36 +0000 2017,8.62421E+17,35,9,"Students from #Phx Day School for the Deaf, Sequoia Deaf School &amp; AZ State Schools for the Deaf &amp; Blind @asdbazgov https://t.co/vQ2XJhQToh",JeffFlake,Jeff Flake,Arizona,Republican
8,Wed May 10 14:26:31 +0000 2017,8.62313E+17,55,15,Thanks to @nvca for giving me the opportunity to pitch #Arizona as a premier destination for venture investment https://t.co/1fe1xkyxNA,JeffFlake,Jeff Flake,Arizona,Republican
9,Wed May 10 01:58:53 +0000 2017,8.62125E+17,10035,20683,I've spent the last several hours trying to find an acceptable rationale for the timing of Comey's firing. I just can't do it.,JeffFlake,Jeff Flake,Arizona,Republican
10,Tue May 09 21:43:21 +0000 2017,8.6206E+17,62,29,My favorite thing about Arizona as seen from my favorite place in Arizona #MyFavAZ #Snowflake https://t.co/Y37XugJLgH,JeffFlake,Jeff Flake,Arizona,Republican
11,Tue May 09 17:56:36 +0000 2017,8.62003E+17,23,12,No small task getting water bill benefitting #AZ thru Congress &amp; to @POTUS. Big win for the state @SenJohnMcCain https://t.co/0ysWiZdHo8,JeffFlake,Jeff Flake,Arizona,Republican
12,Tue May 09 17:22:10 +0000 2017,8.61995E+17,5,11,"Congrats to Lauren &amp; Emery, from Gilbert #AZ recognized by @PruSpirit for outstanding volunteer work #pruspirit2017 https://t.co/JAgr2yn5Tx",JeffFlake,Jeff Flake,Arizona,Republican
13,Mon May 08 22:24:03 +0000 2017,8.61708E+17,11,8,Congrats @HeatherAnWilson on your confirmation to be Secretary of the @USAirForce. Hope to host you in #AZ soon! @LukeAFB @DMAFB @162ndFW,JeffFlake,Jeff Flake,Arizona,Republican
14,Mon May 08 14:44:43 +0000 2017,8.61593E+17,48,16,.@FBI's experience successfully administering polygraph exams could be the answer to @CustomsBorder hiring problems https://t.co/2h7etS9TEk,JeffFlake,Jeff Flake,Arizona,Republican
15,Thu May 04 18:43:10 +0000 2017,8.60203E+17,49,17,Wrote this bill with AZ police &amp; sheriffs who serve on the front line of immigration enforcement bc they deserve to… https://t.co/CrYvM8bqhi,JeffFlake,Jeff Flake,Arizona,Republican
16,Thu May 04 16:56:55 +0000 2017,8.60176E+17,15,7,Enjoyed meeting with @DodieLondenEIPS National Excellence in Public Service participants from #AZ this morning https://t.co/UHxy6Fe3KG,JeffFlake,Jeff Flake,Arizona,Republican
17,Thu May 04 04:38:28 +0000 2017,8.59991E+17,8,10,What a fitting tribute. What an incredible family. #hugsfromhollyday https://t.co/QZNyZholtT,JeffFlake,Jeff Flake,Arizona,Republican
18,Tue May 02 18:28:02 +0000 2017,8.59475E+17,402,866,"No, we don't need a government shutdown, and no, we shouldn't change senate rules on the legislative filibuster",JeffFlake,Jeff Flake,Arizona,Republican
19,Mon May 01 23:38:24 +0000 2017,8.5919E+17,40,8,Great read from @CatoInstitute on my bill to help folks save money tax-free with Universal Savings Accounts #USAs https://t.co/ZVQSPfKZCn,JeffFlake,Jeff Flake,Arizona,Republican
