,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 20:27:47 +0000 2017,8.65303E+17,14,9,It's a new day in Washington &amp; the time is now for us to address our infrastructure needs. #timetobuild via @thehill https://t.co/cbQ1xQTcbj,JimInhofe,Jim Inhofe,Oklahoma,Republican
1,Wed May 17 15:24:14 +0000 2017,8.64864E+17,7,10,Keeping Elk City and all those affected by last night’s tornado in my prayers.,JimInhofe,Jim Inhofe,Oklahoma,Republican
2,Wed May 17 13:05:28 +0000 2017,8.64829E+17,7,7,Praying for my friend and colleague @SenThomTillis as well as his family friends and staff.,JimInhofe,Jim Inhofe,Oklahoma,Republican
3,Tue May 16 21:08:02 +0000 2017,8.64588E+17,5,11,Congratulations to @russwest44 on his new MVP. https://t.co/fDDAC14ftm,JimInhofe,Jim Inhofe,Oklahoma,Republican
4,Mon May 15 20:58:03 +0000 2017,8.64223E+17,11,2,This #PoliceWeek we honor all those who protect &amp;serve. Join me in remembering those who sacrificed their lives to keep our communities safe,JimInhofe,Jim Inhofe,Oklahoma,Republican
5,Fri May 12 15:16:17 +0000 2017,8.6305E+17,4,5,"At @portofcatoosa this am with ODOT Exec. Director Mike Patterson, talking about the importance of ports and water infrastructure.",JimInhofe,Jim Inhofe,Oklahoma,Republican
6,Thu May 04 23:00:01 +0000 2017,8.60268E+17,28,5,Our armed forces are depleted &amp; hollow. Today's funding bill begins to rebuild and strengthen our national defense. https://t.co/Ujy7JdVG4a,JimInhofe,Jim Inhofe,Oklahoma,Republican
7,Thu May 04 21:50:53 +0000 2017,8.6025E+17,60,12,My statement on the House’s vote to repeal and replace Obamacare. https://t.co/NVqBUf0pIn,JimInhofe,Jim Inhofe,Oklahoma,Republican
8,Thu May 04 16:23:29 +0000 2017,8.60168E+17,29,6,Join me in recognizing the National Day of Prayer. https://t.co/zQ38nEzY0L,JimInhofe,Jim Inhofe,Oklahoma,Republican
9,Tue May 02 15:30:53 +0000 2017,8.5943E+17,8,11,Last week I joined the entire Senate in sending a letter to the U.N. demanding this practice be stopped. https://t.co/lZsLz9iVuv,JimInhofe,Jim Inhofe,Oklahoma,Republican
10,Tue May 02 15:30:19 +0000 2017,8.5943E+17,12,12,"As Israel celebrates 69 years of statehood, they continue to be targeted by the U.N.--a modern form of antisemitism. 1/2",JimInhofe,Jim Inhofe,Oklahoma,Republican
11,Fri Apr 28 17:45:53 +0000 2017,8.58014E+17,38,10,My statement on the D.C. Circuit court granting a pause on the lawsuit against the EPA's #CPP: https://t.co/Ca6cXjXcq0,JimInhofe,Jim Inhofe,Oklahoma,Republican
12,Wed Apr 26 17:59:14 +0000 2017,8.57293E+17,8,2,My wife Kay and I always enjoy cheering on the Thunder. Congrats @okcthunder &amp; @russwest44 on a well-played &amp; historic season. #ThunderUp,JimInhofe,Jim Inhofe,Oklahoma,Republican
13,Tue Apr 25 17:23:03 +0000 2017,8.56922E+17,37,15,"We now know that in 2016, as Obama touted the implementation of his disastrous Iran Deal—that his admin was mislead… https://t.co/4ZB9MTch8I",JimInhofe,Jim Inhofe,Oklahoma,Republican
14,Mon Apr 24 22:33:54 +0000 2017,8.56637E+17,12,19,Today we remember the six million Jews who were murdered by the Nazi regime through state-sponsored genocide.… https://t.co/xmOStGDCdB,JimInhofe,Jim Inhofe,Oklahoma,Republican
