,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Tue May 16 22:59:43 +0000 2017,8.64616E+17,383,16,In the next five minutes I will be on with @marthamaccallum on @FoxNews discussing news of the day. Tune in now. https://t.co/2ppSYbQJaC,SenatorRisch,Jim Risch,Idaho,Republican
1,Tue May 16 21:02:21 +0000 2017,8.64587E+17,467,6,Live on @CNNSitRoom at 5pm ET to discuss news of the day. Tune in now. https://t.co/jMhig8WruS,SenatorRisch,Jim Risch,Idaho,Republican
2,Thu May 11 13:57:15 +0000 2017,8.62668E+17,150,18,10:30am ET: I'm chairing a @smallbizcmte hearing to consider Althea Coetzee for @SBAgov Deputy Administrator. Watch: https://t.co/ySHRCqYPrV,SenatorRisch,Jim Risch,Idaho,Republican
3,Tue May 09 16:55:32 +0000 2017,8.61988E+17,34,2,I have discussed w/ @SecretaryPerry his interest in our national labs &amp; am pleased by his visit to @INL this week.,SenatorRisch,Jim Risch,Idaho,Republican
4,Fri May 05 18:17:23 +0000 2017,8.60559E+17,15,1,Congrats to @HydroHoist on being named by my colleague @JimInhofe &amp; @SmallBizCmte as Friday's #smallbusinessoftheday!,SenatorRisch,Jim Risch,Idaho,Republican
5,Thu May 04 20:30:23 +0000 2017,8.6023E+17,9,4,.@SenJohnKennedy nominated @redriverbeer as today's @SmallBizCmte #smallbusinessoftheday. Congrats! https://t.co/FJQLEpg55d,SenatorRisch,Jim Risch,Idaho,Republican
6,Thu May 04 13:56:41 +0000 2017,8.60131E+17,8,15,Congrats to @TacticalMedical - a vet-owned business that was named by @SenatorTimScott &amp; @SmallBizCmte as Wednesday's #smallbusinessoftheday,SenatorRisch,Jim Risch,Idaho,Republican
7,Wed May 03 23:57:02 +0000 2017,8.5992E+17,3,6,Team Risch is glad to welcome Idaho business @MarianneTurbes to #DC for @eBay #smallbusinessweek showcase. #idaho https://t.co/7S9uPluUaG,SenatorRisch,Jim Risch,Idaho,Republican
8,Wed May 03 20:58:33 +0000 2017,8.59875E+17,25,14,"Risch from Senate floor: Government, get out of the way &amp; let the #smallbusiness engine roar. Watch: https://t.co/DR0xcmVfoF",SenatorRisch,Jim Risch,Idaho,Republican
9,Wed May 03 19:50:13 +0000 2017,8.59858E+17,13,5,"Natl #SmallBusinessWeek is a fitting time to not only celebrate our nation’s small biz, but to assure them that greater relief is coming.",SenatorRisch,Jim Risch,Idaho,Republican
10,Wed May 03 19:42:49 +0000 2017,8.59856E+17,0,4,"From floor: Having been former Govs, @SenatorShaheen &amp; I both understand how important small biz is to our states. #smallbusinessweek",SenatorRisch,Jim Risch,Idaho,Republican
11,Wed May 03 19:41:08 +0000 2017,8.59855E+17,2,1,Speaking on the #Senate floor about American small businesses and how important they are to our economy. Watch live now. #smallbusinessweek,SenatorRisch,Jim Risch,Idaho,Republican
12,Wed May 03 18:44:25 +0000 2017,8.59841E+17,1,1,It’s National #SmallBusinessWeek! Read about/share @SBAGov’s programs that help veterans start &amp; grow businesses → https://t.co/cFrNL1rMmG,SenatorRisch,Jim Risch,Idaho,Republican
13,Wed May 03 18:43:08 +0000 2017,8.59841E+17,2,3,Glad to join @MikeCrapo &amp; my #Senate colleagues: https://t.co/eanDJkj2nl https://t.co/arLWNCrIBc,SenatorRisch,Jim Risch,Idaho,Republican
14,Wed May 03 15:17:44 +0000 2017,8.59789E+17,2,6,ATTN #Idaho small biz owners: @SBAgov offering disaster loans for small businesses impacted by winter weather. More… https://t.co/sBZqO2Vhku,SenatorRisch,Jim Risch,Idaho,Republican
15,Tue May 02 15:42:07 +0000 2017,8.59433E+17,4,7,OPED: @SenatorShaheen &amp; I are joining together 2 support America's small biz - this #smallbusinessweek &amp; every week. https://t.co/SlVBOX2qTg,SenatorRisch,Jim Risch,Idaho,Republican
16,Tue May 02 15:25:53 +0000 2017,8.59429E+17,5,3,Speaking on importance of SRS/PILT payments NOW in @EnergyGOP committee. Glad 2 have Commissioner Gordon Cruickshan… https://t.co/OxJ9j6rf0g,SenatorRisch,Jim Risch,Idaho,Republican
17,Mon May 01 18:29:17 +0000 2017,8.59113E+17,8,6,"More than 154,000 small businesses in Idaho create nearly 2 out of 3 jobs in our economy. Show your support this Na… https://t.co/zHQ2099Q1N",SenatorRisch,Jim Risch,Idaho,Republican
18,Mon May 01 16:47:56 +0000 2017,8.59087E+17,2,2,Great resources for current or aspiring #smallbiz owners. Click below for the @SBAgov's lineup of events for this… https://t.co/8l3Pznp7vW,SenatorRisch,Jim Risch,Idaho,Republican
19,Mon May 01 15:58:57 +0000 2017,8.59075E+17,3,6,To every entrepreneur across our country: Happy #NationalSmallBusinessWeek. https://t.co/cT1eOCJiID,SenatorRisch,Jim Risch,Idaho,Republican
20,Thu Apr 27 17:21:06 +0000 2017,8.57646E+17,5,3,Bring your kids to work day - #TeamRisch edition! Glad to have Meredith's son in to 'lobby' me on his bill.… https://t.co/aoqDIcMpTb,SenatorRisch,Jim Risch,Idaho,Republican
21,Thu Apr 27 15:56:32 +0000 2017,8.57625E+17,4,5,Behind the scenes: taping videos for @sbirgov &amp; #natlsmallbusinessweek. #SBIRRoadtour #idaho https://t.co/DO2izvqSay,SenatorRisch,Jim Risch,Idaho,Republican
22,Thu Apr 27 14:21:35 +0000 2017,8.57601E+17,4,1,"Talking to @kidnewsradio about nation's fiscal situation: ""It's a serious threat/challenge, but we're Americans - we will get through this.""",SenatorRisch,Jim Risch,Idaho,Republican
23,Thu Apr 27 14:17:09 +0000 2017,8.576E+17,5,1,"About #NorthKorea: ""China knows how serious the threat is. North Korea brings anything but stability in the region."" CC: @kidnewsradio",SenatorRisch,Jim Risch,Idaho,Republican
24,Thu Apr 27 14:14:19 +0000 2017,8.57599E+17,7,1,"Risch on @kidnewsradio: ""America is back."" Listen in here: https://t.co/eM0qyjbLib",SenatorRisch,Jim Risch,Idaho,Republican
25,Thu Apr 27 13:57:53 +0000 2017,8.57595E+17,1,1,Listen live to @kidnewsradio at 8:05am MT - we are talking #NorthKorea and more: https://t.co/eM0qyjbLib,SenatorRisch,Jim Risch,Idaho,Republican
26,Wed Apr 26 23:02:05 +0000 2017,8.57369E+17,6,5,Really enjoyed having @AlpacaDirect from #Idaho in DC to testify about #ruralsmallbusiness before @SmallBizCmte. https://t.co/kRzGxzXnWO,SenatorRisch,Jim Risch,Idaho,Republican
27,Wed Apr 26 13:25:14 +0000 2017,8.57224E+17,5,3,I'm chairing a @SmallBizCmte hearing at 10am EST on the challenges/opportunities of running a #rural small business… https://t.co/Av9JaPJfyO,SenatorRisch,Jim Risch,Idaho,Republican
28,Tue Apr 25 22:01:33 +0000 2017,8.56992E+17,21,1,Talking about North Korea w/ @wolfblitzer in @CNNSitRoom - tune in now. https://t.co/F8JgYsgANo,SenatorRisch,Jim Risch,Idaho,Republican
29,Tue Apr 25 15:26:00 +0000 2017,8.56892E+17,8,2,Really enjoyed speaking w/ an Idaho Falls high school government class last week about the legislative process.… https://t.co/ObeVAemoH9,SenatorRisch,Jim Risch,Idaho,Republican
30,Thu Apr 20 23:05:50 +0000 2017,8.55196E+17,7,3,"Also in the 5pm hour, I'm speaking with @KIDKnews. #newsoftheday #idaho https://t.co/7YAPlNJoFZ",SenatorRisch,Jim Risch,Idaho,Republican
31,Thu Apr 20 22:43:56 +0000 2017,8.5519E+17,8,3,Joining @localnews8 during the 5pm show - hope you can tune in. https://t.co/7eLaZk39hJ,SenatorRisch,Jim Risch,Idaho,Republican
32,Sat Apr 08 01:49:53 +0000 2017,8.50526E+17,30,8,Read my @TIME editorial on #Syria here: https://t.co/HitZd4XZT6 https://t.co/toCOU9nlU4,SenatorRisch,Jim Risch,Idaho,Republican
33,Fri Apr 07 18:16:20 +0000 2017,8.50412E+17,15,6,Live from #DC in moments on @FoxNews w/ @MelissaAFrancis talking airstrikes in Syria. Tune in. https://t.co/EBeaArspv5,SenatorRisch,Jim Risch,Idaho,Republican
34,Fri Apr 07 15:22:51 +0000 2017,8.50368E+17,13,3,Talking to @CNN's @KateBolduan NOW about airstrikes in Syria. https://t.co/gFcTxCjHld,SenatorRisch,Jim Risch,Idaho,Republican
35,Thu Apr 06 23:03:40 +0000 2017,8.50122E+17,8,3,Joining @marthamaccallum live on @FoxNews to discuss the chemical weapons attack in Syria. Tune in NOW. https://t.co/j1BMSTg54L,SenatorRisch,Jim Risch,Idaho,Republican
36,Thu Apr 06 14:09:37 +0000 2017,8.49987E+17,10,3,Joining @kidnewsradio now to discuss the upcoming vote on Neil Gorsuch. Listen live: https://t.co/eM0qyjbLib #SCOTUS,SenatorRisch,Jim Risch,Idaho,Republican
37,Wed Apr 05 14:50:47 +0000 2017,8.49635E+17,3,2,Kicked off the Senate #workingforestscaucus w/ @SenAngusKing yesterday. Read abt the caucus here:… https://t.co/v9QVhL38AD,SenatorRisch,Jim Risch,Idaho,Republican
38,Tue Apr 04 18:17:29 +0000 2017,8.49325E+17,1,2,Proud of @finfunmermaid in #IdahoFalls for being named @SBA’s Idaho Small Business Person of the Year for 2017. https://t.co/zbjAXyIy9H,SenatorRisch,Jim Risch,Idaho,Republican
39,Tue Apr 04 17:53:37 +0000 2017,8.49319E+17,8,12,"Did you know - @NCAA #final4 floor planks were shipped to Idaho Falls for layout, painting &amp; staining. #idahoproud https://t.co/TTEcji8LFy",SenatorRisch,Jim Risch,Idaho,Republican
40,Thu Mar 30 18:34:56 +0000 2017,8.47518E+17,12,5,Glad to join bipartisan Senators on bill to bolster cyber resources for #smallbiz https://t.co/dSSz5N3hQ6,SenatorRisch,Jim Risch,Idaho,Republican
41,Wed Mar 29 22:15:45 +0000 2017,8.47211E+17,16,16,"In 2016, over 23,000 Idahoans suffered from Alzheimer’s Disease. Glad to meet w/ Idaho @alzassociation advocates ab… https://t.co/RYBN3MoES0",SenatorRisch,Jim Risch,Idaho,Republican
42,Wed Mar 29 19:01:51 +0000 2017,8.47162E+17,4,2,Chairing a @SmallBizCmte hearing at 3pm EST about the regulatory burden on small businesses. Tune in live here: https://t.co/VxKYN9G6KU,SenatorRisch,Jim Risch,Idaho,Republican
43,Fri Mar 24 18:36:06 +0000 2017,8.45343E+17,3,2,Enjoyed meeting with 75+ Idahoans in DC this week. Find photos here: https://t.co/Lubk6cVQ8g,SenatorRisch,Jim Risch,Idaho,Republican
44,Fri Mar 24 18:14:49 +0000 2017,8.45338E+17,1,8,The nomination of Althea Coetzee as Deputy @SBAgov Administrator is welcomed news. I look forward to working with her on @smallbizcmte.,SenatorRisch,Jim Risch,Idaho,Republican
