,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 18:46:05 +0000 2017,8.66002E+17,3,8,Thanks to the event organizers &amp; volunteers at the #WV Strawberry Festival today. It was a beautiful day for a para… https://t.co/mB7LRzDxI8,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
1,Sat May 20 17:15:36 +0000 2017,8.65979E+17,4,8,Hanging out with Batman at the Strawberry Festival in Buckhannon today! #WV https://t.co/3wSerzVosU,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
2,Fri May 19 23:32:42 +0000 2017,8.65712E+17,6,30,Congrats Riverside HS Class of 2017! And thanks to Warrior Nation for allowing me to participate in tonight's festi… https://t.co/W7qutBDcoX,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
3,Thu May 18 19:52:28 +0000 2017,8.65294E+17,12,5,Today @SenCapito &amp; I petitioned to rename the Huntington VA after my friend &amp; #WV only living Medal of Honor recipient @WoodyWilliams45,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
4,Wed May 17 21:00:01 +0000 2017,8.64949E+17,9,12,Retired miners pensions are at risk in #WV - that’s why I introduced the #MinersPensionProtectionAct @WVTelegram https://t.co/t73ZbCxt4C,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
5,Wed May 17 17:30:05 +0000 2017,8.64896E+17,9,8,This morning I talked w/ members of the STEMpowered Girls Club at Oakvale Elementary School. Very proud - these gir… https://t.co/ScPzVG8JA8,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
6,Tue May 16 17:05:01 +0000 2017,8.64527E+17,86,106,"The opioid epidemic plaguing our country is not a D or R issue, it's an American issue. #WV needs more funding to f… https://t.co/9rS1F9P52c",Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
7,Tue May 16 15:42:46 +0000 2017,8.64506E+17,56,47,"West Virginians need more funding to fight the opioid epidemic, not less. #WV https://t.co/Hwyt6gpNO6",Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
8,Tue May 16 10:46:39 +0000 2017,8.64432E+17,54,13,I'll be joining @morningmika &amp; @JoeNBC this morning. Tune in if you can! https://t.co/5El6D4xU14,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
9,Mon May 15 16:30:02 +0000 2017,8.64156E+17,15,6,We had a great weekend celebrating my granddaughter Kelsey's graduation from @UNC. Congrats to all celebrating grad… https://t.co/AlzYU5bIfj,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
10,Sun May 14 12:00:02 +0000 2017,8.63726E+17,10,23,"I encourage every #WV to thank your mother, grandmother, wife &amp; anyone who has loved &amp; encouraged our children.… https://t.co/qpWshKPm44",Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
11,Sat May 13 13:39:30 +0000 2017,8.63388E+17,13,3,Yesterday I was in Beckley w/ retired miners talking about #MinersPensionProtectionAct MORE from @Register_Herald https://t.co/ke3szEWysJ,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
12,Fri May 12 13:47:17 +0000 2017,8.63028E+17,20,3,"Happening Now: Tune into ""What's Your Opinion"" on WVOW in Logan https://t.co/bn01jwq1Zg",Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
13,Thu May 11 18:29:23 +0000 2017,8.62736E+17,16,19,Today I introduced the bipartisan #MinersPensionProtectionAct to secure #WV retired miners pensions. MORE:… https://t.co/nW4BkFNf1G,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
14,Thu May 11 16:00:02 +0000 2017,8.62699E+17,31,14,"“The way this bill has been given to us, by 2018, 14M people will lose insurance."" MORE from @Register_Herald: https://t.co/WahplHa0YJ",Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
15,Wed May 10 17:54:19 +0000 2017,8.62365E+17,27,69,My statement on Don Blankenship's release: https://t.co/ktmthzGmIW,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
16,Tue May 09 16:17:32 +0000 2017,8.61978E+17,40,6,Today I met with Elena &amp; Mallory to learn about the projects they have spearheaded to improve the lives of those in… https://t.co/e7CcAg8xu4,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
17,Sat May 06 20:11:19 +0000 2017,8.6095E+17,31,16,I visited w/ retired miners in Logan today to honor their sacrifice &amp; hard work to earn their lifetime healthcare b… https://t.co/JwxYVBEPud,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
18,Sat May 06 17:43:03 +0000 2017,8.60913E+17,16,11,Great spending the day w/ retired miners in Oceana &amp; Matewan. Thrilled these families will have the healthcare they… https://t.co/Nm3LILDI8k,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
19,Fri May 05 20:45:33 +0000 2017,8.60596E+17,13,9,This afternoon I hosted a town hall in Fairmont with retired miners to talk about the progress we have made to… https://t.co/OLLRJdPi48,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
20,Fri May 05 13:04:17 +0000 2017,8.6048E+17,3,3,Gayle &amp; I send our thoughts &amp; prayers to the families of the 2 individuals who lost their lives in the tragic accident at @YeagerAirport,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
21,Fri May 05 11:59:28 +0000 2017,8.60464E+17,6,5,I'm monitoring the situation at @YeagerAirport &amp; have been in contact with state &amp; local officials. Keeping everyone impacted in my thoughts,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
22,Thu May 04 18:30:24 +0000 2017,8.602E+17,37,18,Over the last several years I've come 2 the @SenateFloor countless times 2 urge my colleagues 2 protect miners heal… https://t.co/RDwue9lxjM,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
23,Thu May 04 14:27:29 +0000 2017,8.60139E+17,2,5,Great discussion with @JakeSherman and @apalmerdc. Thanks for having me @playbookplus. #PlaybookInterview https://t.co/HTGlhjYQdz,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
24,Thu May 04 14:06:51 +0000 2017,8.60134E+17,39,23,"""I'm a West Virginia democrat not a Washington democrat. If I can go home and explain it, I'll vote for it."" #playbookinterview",Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
25,Thu May 04 14:01:55 +0000 2017,8.60132E+17,14,16,"""In #WV we don't want to drink dirty water or breathe dirty air. We want a balance btw the environment and the economy."" #PlaybookInterview",Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
26,Thu May 04 13:49:17 +0000 2017,8.60129E+17,46,18,"""I'm the most centrist democrat. I'm always the one in the middle trying to look for a pathway forward."" #playbookinterview",Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
27,Thu May 04 13:47:54 +0000 2017,8.60129E+17,28,22,"""Can you imagine an 80 grandmother wondering what she's going to do without her healthcare.""  #minersprotectionact #playbookinterview",Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
28,Thu May 04 13:40:53 +0000 2017,8.60127E+17,3,5,Just getting started with my @POLITICOLive interview. Tune in here: https://t.co/Ap3X51VPrE https://t.co/3FTaTiQT0P,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
29,Wed May 03 20:33:23 +0000 2017,8.59869E+17,27,26,"My family, friends, teachers &amp; virtually everyone I knew growing up was a coal miner. It's their stories that have… https://t.co/O8SBn4OAIk",Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
30,Wed May 03 19:06:39 +0000 2017,8.59847E+17,7,19,Thank you to my friends @clairecmc @MarkWarner @SenDonnelly @amyklobuchar @SenBobCasey for fighting w/ me on behalf of our miners from day 1,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
31,Wed May 03 12:54:32 +0000 2017,8.59753E+17,5,8,I'm excited to chat with @JakeSherman &amp; @apalmerdc tomorrow morning! https://t.co/phA4ts4mog,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
32,Tue May 02 18:47:19 +0000 2017,8.59479E+17,2,14,These youngsters (&amp; their parents) are asking Congress to #thinkbabies today on Capitol Hill. @ZEROTOTHREE… https://t.co/Eh3GeOWKeb,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
33,Tue May 02 12:44:08 +0000 2017,8.59388E+17,11,14,"This week Congress will vote to #KeepThePromise to 22,600 retirees. MORE from my op-ed in todays @gazette_opinion https://t.co/EWQj7BELFe",Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
34,Mon May 01 12:41:37 +0000 2017,8.59025E+17,16,20,None of this would be possible without the dedication our coal miners have shown for generations and the leadership of the @MineWorkers #WV,Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
35,Mon May 01 12:40:52 +0000 2017,8.59025E+17,40,88,"Thrilled to announce a permanent fix for our miners healthcare benefits. This is long overdue &amp; a huge relief to the 22,600 retirees. #WV",Sen_JoeManchin,Joe Manchin,West Virginia,Democratic
