,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Tue May 09 17:14:14 +0000 2017,8.61993E+17,10,3,Congrats to Powell's Rhett Pimentel &amp; Farson's Grace Estes for winning the Prudential Spirit of Community awards.… https://t.co/lKkO5a6rk4,SenJohnBarrasso,John Barrasso,Wyoming,Republican
1,Tue May 02 19:53:10 +0000 2017,8.59496E+17,53,4,Republicans in Congress and the new administration are dedicated to getting the economy back in gear. https://t.co/5N4Li0dpEZ,SenJohnBarrasso,John Barrasso,Wyoming,Republican
2,Tue May 02 19:48:51 +0000 2017,8.59495E+17,6,3,Spoke on the floor today regarding efforts to grow the economy during President Trump’s first 100 days in office. https://t.co/a0PqxwWgSq,SenJohnBarrasso,John Barrasso,Wyoming,Republican
3,Mon May 01 15:51:49 +0000 2017,8.59073E+17,5,3,It was fun to join some of the outstanding Natrona County High School awardees at the 2017 Casper Academic Awards B… https://t.co/4PG2ciuEPV,SenJohnBarrasso,John Barrasso,Wyoming,Republican
4,Wed Apr 26 14:56:03 +0000 2017,8.57247E+17,29,4,"Enjoyed visiting with students from Casper, Guernsey, Riverton, Wheatland &amp; Worland this morning during… https://t.co/lQrrTyXnH2",SenJohnBarrasso,John Barrasso,Wyoming,Republican
5,Tue Apr 25 16:03:17 +0000 2017,8.56901E+17,61,11,Had a great time speaking with students from Sheridan High School and Jackson Hole High School who are visiting the… https://t.co/g3XsI3gP4d,SenJohnBarrasso,John Barrasso,Wyoming,Republican
6,Fri Apr 21 16:27:49 +0000 2017,8.55458E+17,6,20,"Thanks to the great work and leadership by @realdonaldtrump and his team, US citizen Aya Hijazi and five others are free today. #Egypt",SenJohnBarrasso,John Barrasso,Wyoming,Republican
7,Wed Apr 19 21:02:51 +0000 2017,8.54802E+17,4,14,It was great to see such a big crowd at the #Wyoming Association of Rural Water Systems Spring Training Conference… https://t.co/hTxoCA5q5T,SenJohnBarrasso,John Barrasso,Wyoming,Republican
8,Fri Apr 07 17:05:08 +0000 2017,8.50394E+17,14,6,When I visited w/ Judge Gorsuch I presented him with a photo of Saratoga’s @WolfHotel that his family helped build https://t.co/KHWc3wl33r,SenJohnBarrasso,John Barrasso,Wyoming,Republican
9,Fri Apr 07 16:59:18 +0000 2017,8.50393E+17,34,15,"Judge Gorsuch has been a model of integrity, intelligence &amp; independence. He will bring a unique Rocky Mountain per… https://t.co/I5eD2mViQ6",SenJohnBarrasso,John Barrasso,Wyoming,Republican
10,Fri Apr 07 16:58:10 +0000 2017,8.50392E+17,19,8,"Today, the Senate confirmed one of the most highly qualified judges in the country to sit on the U.S. Supreme Court. https://t.co/9hExJc423r",SenJohnBarrasso,John Barrasso,Wyoming,Republican
11,Wed Apr 05 21:30:25 +0000 2017,8.49736E+17,6,5,"It was fun to join Albin Elementary School's virtual field trip to Washington, D.C. today. Always great to visit wi… https://t.co/hxgk46CgHf",SenJohnBarrasso,John Barrasso,Wyoming,Republican
12,Thu Mar 30 20:10:53 +0000 2017,8.47542E+17,10,3,It was great to visit with the Lemley family from Cheyenne today. I last saw Jonathan in 2014 when he was deployed… https://t.co/m9vTvbxzJd,SenJohnBarrasso,John Barrasso,Wyoming,Republican
13,Mon Mar 27 22:53:49 +0000 2017,8.46496E+17,8,4,WY was well-represented at signing of resolution overturning BLM 2.0. Great to be with @RepLizCheney &amp; Joel Bousman https://t.co/OiolTKuGUZ,SenJohnBarrasso,John Barrasso,Wyoming,Republican
14,Mon Mar 27 20:33:51 +0000 2017,8.4646E+17,8,11,Great to be at signing today for overturning BLM 2.0 rule. Here is Sublette County Commissioner Joel Bousman giving… https://t.co/dBngNhQzis,SenJohnBarrasso,John Barrasso,Wyoming,Republican
15,Tue Mar 21 20:49:29 +0000 2017,8.4429E+17,54,8,"The #AHCA isn’t perfect. Nobody says it is. Still, it’s a monumental shift away from #Obamacare. https://t.co/5zojZtFl5j",SenJohnBarrasso,John Barrasso,Wyoming,Republican
16,Tue Mar 21 20:41:44 +0000 2017,8.44288E+17,24,4,Spoke on the floor today about how Congress is working to give Americans relief from the damage caused by #Obamacare https://t.co/dxb4D11g7M,SenJohnBarrasso,John Barrasso,Wyoming,Republican
17,Tue Mar 14 20:44:49 +0000 2017,8.41752E+17,0,2,Enjoyed showing the Peterson family from Cheyenne around the @USCapitol on this snowy day. #WYinDC https://t.co/IfDmHqBHwd,SenJohnBarrasso,John Barrasso,Wyoming,Republican
18,Mon Mar 13 15:06:12 +0000 2017,8.41304E+17,3,9,The deadline for my summer intern program is fast approaching. Make sure to submit your application by March 19. https://t.co/7BrTsHIVLA,SenJohnBarrasso,John Barrasso,Wyoming,Republican
19,Wed Mar 08 23:00:12 +0000 2017,8.39612E+17,11,6,Both Grace &amp; Nicole will receive scholarships. @SenatorEnzi &amp; I had opportunity to congratulate them on this wonder… https://t.co/ptuws6PrYC,SenJohnBarrasso,John Barrasso,Wyoming,Republican
20,Wed Mar 08 22:55:38 +0000 2017,8.39611E+17,3,4,#Wyoming is well represented at the 2017 @SenateYouth program by Devils Tower's Grace Anderson &amp; Powell's Nicole Sa… https://t.co/SlqKj9cbGe,SenJohnBarrasso,John Barrasso,Wyoming,Republican
21,Wed Mar 08 16:04:31 +0000 2017,8.39507E+17,32,2,Will join @JonScottFNC on @FOXNews @HappeningNow at 11:10 am ET to talk about health care.,SenJohnBarrasso,John Barrasso,Wyoming,Republican
22,Tue Mar 07 15:05:38 +0000 2017,8.3913E+17,17,9,Getting ready to join @ShannonBream on @FoxNews @AmericaNewsroom to discuss the American Health Care Act.,SenJohnBarrasso,John Barrasso,Wyoming,Republican
23,Fri Mar 03 21:33:12 +0000 2017,8.37778E+17,22,12,"As a result of this ruling, the state’s wolves will be under the control of Wyoming, not Washington. https://t.co/P3QyjVS3xe",SenJohnBarrasso,John Barrasso,Wyoming,Republican
24,Fri Mar 03 21:31:00 +0000 2017,8.37777E+17,3,4,Great news—Fed court upholds @USFWS 2012 decision to remove the gray #wolf in #Wyoming from endangered species list. https://t.co/P3QyjVS3xe,SenJohnBarrasso,John Barrasso,Wyoming,Republican
