,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 19:12:49 +0000 2017,8.64922E+17,7,5,"Couldn’t agree more. Rural areas need fast, reliable broadband connectivity to compete in the 21st century economy. https://t.co/kUcFJCvZwn",JohnBoozman,John Boozman,Arkansas,Republican
1,Wed May 17 17:48:45 +0000 2017,8.64901E+17,2,2,"Congrats to next @ArkansasState Chancellor Dr. Kelly Damphousse. Exciting future ahead for #AState students, facult… https://t.co/EZsFgbUOIu",JohnBoozman,John Boozman,Arkansas,Republican
2,Wed May 17 14:22:12 +0000 2017,8.64849E+17,1,4,Praying for a speedy and full recovery for my friend @maziehirono.,JohnBoozman,John Boozman,Arkansas,Republican
3,Wed May 17 13:18:17 +0000 2017,8.64832E+17,4,1,Getting ready to join @KASUradio. Listen to our live interview here https://t.co/PPDOQ3YPqO https://t.co/gM1xDOXr3s,JohnBoozman,John Boozman,Arkansas,Republican
4,Wed May 17 12:50:26 +0000 2017,8.64825E+17,3,5,"My thoughts and prayers are with @SenThomTillis, his family and staff. https://t.co/Xf1pvjmYwf",JohnBoozman,John Boozman,Arkansas,Republican
5,Tue May 16 20:49:18 +0000 2017,8.64584E+17,10,7,Congratulations to our new @usairforce Secretary @HeatherAnWilson. I'm proud to work with her in support of our air… https://t.co/5krfDIzfLg,JohnBoozman,John Boozman,Arkansas,Republican
6,Tue May 16 17:23:18 +0000 2017,8.64532E+17,14,1,"ICYMI: I spoke @RobyBrock about James Comey, NE AR flooding &amp; health care reform on @TBArkansas this past Sunday &gt;&gt; https://t.co/uaqxY3Z59p",JohnBoozman,John Boozman,Arkansas,Republican
7,Tue May 16 16:27:23 +0000 2017,8.64518E+17,6,2,Great to meet with doctors from the American College of Rheumatology (@ACRheum) last week to talk about important h… https://t.co/qzUHsnQGaf,JohnBoozman,John Boozman,Arkansas,Republican
8,Mon May 15 21:23:59 +0000 2017,8.6423E+17,10,2,VIDEO: Thanking law enforcement &amp; honoring the lives of those cut short in the line of duty https://t.co/f3SPSz3wJE #NationalPoliceWeek,JohnBoozman,John Boozman,Arkansas,Republican
9,Mon May 15 20:03:22 +0000 2017,8.6421E+17,4,2,Congrats to Brittany &amp; her family. They are stationed @LRAFB. Grateful to have you contributing to the community &amp;… https://t.co/i8geTXvbIx,JohnBoozman,John Boozman,Arkansas,Republican
10,Mon May 15 14:48:17 +0000 2017,8.6413E+17,7,10,"After speaking at @williamsbaptist commencement on Sat. am, I spent pm continuing to see how we can help those in n… https://t.co/CNaGXhtmq7",JohnBoozman,John Boozman,Arkansas,Republican
11,Sun May 14 15:45:55 +0000 2017,8.63782E+17,5,7,Wishing a very wonderful #MothersDay to all the moms!,JohnBoozman,John Boozman,Arkansas,Republican
12,Sat May 13 17:16:31 +0000 2017,8.63443E+17,8,5,Happy Birthday @SenTomCotton. It's a pleasure to work for Arkansans alongside you in the Senate. Appreciate your service &amp; friendship. #AR,JohnBoozman,John Boozman,Arkansas,Republican
13,Fri May 12 19:15:36 +0000 2017,8.6311E+17,6,1,Congratulations to @UArkansas @ArmyROTC's graduating class. I wish you successes in all you take on in the future. https://t.co/tOyzXb9oiJ,JohnBoozman,John Boozman,Arkansas,Republican
14,Fri May 12 19:05:44 +0000 2017,8.63108E+17,3,2,"WATCH my @meettheleaders discussion regarding veteran care, tax &amp; healthcare reform, &amp; infrastructure improvements https://t.co/WYNFvprn3g",JohnBoozman,John Boozman,Arkansas,Republican
