,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 17:29:09 +0000 2017,8.66E+17,62,11,President Trump's full speech from Saudi Arabia on global terrorism https://t.co/X56Rn94G0K,JohnCornyn,John Cornyn,Texas,Republican
1,Sun May 21 00:35:16 +0000 2017,8.66E+17,82,19,GOP talks of narrowing ‘blue-slip’ rule for judges https://t.co/FZqHFZYVZK,JohnCornyn,John Cornyn,Texas,Republican
2,Sat May 20 11:38:31 +0000 2017,8.66E+17,86,11,James Comey to Testify in Public Senate Hearing About Russia Inquiry https://t.co/u68celNni3,JohnCornyn,John Cornyn,Texas,Republican
3,Fri May 19 11:05:28 +0000 2017,8.66E+17,132,16,Cornyn: Multiplicity of Investigations Is ‘Train Wreck Waiting to Happen’ https://t.co/7gEpssdATS,JohnCornyn,John Cornyn,Texas,Republican
4,Fri May 19 10:36:04 +0000 2017,8.66E+17,39,17,The U.S. is taking a close look at how tight a grip Russia has on Citgo assets  https://t.co/XQyeqIxfp1 via @WSJ,JohnCornyn,John Cornyn,Texas,Republican
5,Fri May 19 10:22:20 +0000 2017,8.66E+17,75,10,Former Sen. Joe Lieberman is the leading contender for FBI chief https://t.co/paFcWToE0m via @WSJ,JohnCornyn,John Cornyn,Texas,Republican
6,Thu May 18 18:03:30 +0000 2017,8.65E+17,36,4,My two favorite types of music https://t.co/4w3uk8mxwK,JohnCornyn,John Cornyn,Texas,Republican
7,Thu May 18 18:02:18 +0000 2017,8.65E+17,12,1,Exactly https://t.co/W940zHyZ2p,JohnCornyn,John Cornyn,Texas,Republican
8,Thu May 18 17:59:41 +0000 2017,8.65E+17,16,1,Robert Earle Keen https://t.co/wbh3WM07NY,JohnCornyn,John Cornyn,Texas,Republican
9,Thu May 18 17:59:08 +0000 2017,8.65E+17,20,6,Tom Petty sometimes https://t.co/wbh3WM07NY,JohnCornyn,John Cornyn,Texas,Republican
10,Thu May 18 17:58:47 +0000 2017,8.65E+17,10,2,Mostly C &amp; W https://t.co/wbh3WM07NY,JohnCornyn,John Cornyn,Texas,Republican
11,Thu May 18 10:41:08 +0000 2017,8.65E+17,69,16,Trump administration to send NAFTA notification letter Thursday https://t.co/yHtOBmTzo2,JohnCornyn,John Cornyn,Texas,Republican
12,Wed May 17 15:53:27 +0000 2017,8.65E+17,40,11,"Move Over, San Francisco: Dallas Tops Our List Of The Best Cities For Jobs 2017 https://t.co/CrScZRTZ4W",JohnCornyn,John Cornyn,Texas,Republican
13,Wed May 17 14:23:42 +0000 2017,8.65E+17,61,8,Weird https://t.co/G0lu96jqc9,JohnCornyn,John Cornyn,Texas,Republican
14,Wed May 17 14:01:17 +0000 2017,8.65E+17,38,23,"Glad to hear USTR Lighthizer and Sec Ross say their approach to NAFTA renegotiating is ""first do no harm"" https://t.co/oNNiRIbteq",JohnCornyn,John Cornyn,Texas,Republican
15,Wed May 17 13:50:37 +0000 2017,8.65E+17,14,17,Tough competitor. Great news. https://t.co/dOleHVyLoB,JohnCornyn,John Cornyn,Texas,Republican
16,Tue May 16 16:09:16 +0000 2017,8.65E+17,58,31,14-year-old to become TCU's youngest graduate https://t.co/WaDsMw4mg1,JohnCornyn,John Cornyn,Texas,Republican
17,Tue May 16 15:42:21 +0000 2017,8.65E+17,24,17,First Child Recovered By Amber Alert Leaving Home For College | NBC 5 Dallas-Fort Worth https://t.co/ju1XCz8wzx via @nbcdfw,JohnCornyn,John Cornyn,Texas,Republican
18,Tue May 16 10:18:43 +0000 2017,8.64E+17,97,20,"Syrian Crematory Is Hiding Mass Killings of Prisoners, U.S. Says https://t.co/t3EPRkXMoM",JohnCornyn,John Cornyn,Texas,Republican
19,Mon May 15 23:37:37 +0000 2017,8.64E+17,223,21,"Good to talk border security with Ronald D. Vitiello, Chief of the U.S. Border Patrol. https://t.co/XbsIRdBGvC",JohnCornyn,John Cornyn,Texas,Republican
20,Mon May 15 14:05:10 +0000 2017,8.64E+17,170,13,Obamacare Is Still Failing https://t.co/ry0noaBzeI via @aminterest,JohnCornyn,John Cornyn,Texas,Republican
21,Mon May 15 13:50:14 +0000 2017,8.64E+17,154,54,Senate’s Russia investigation is moving faster than its Watergate counterpart 44 years ago https://t.co/Nv0a5xEYNE,JohnCornyn,John Cornyn,Texas,Republican
22,Mon May 15 12:59:57 +0000 2017,8.64E+17,26,23,We pay our profound respect to all of our men and women in blue as we celebrate #National Police Week,JohnCornyn,John Cornyn,Texas,Republican
23,Mon May 15 12:56:50 +0000 2017,8.64E+17,40,7,Is Queso as a Salad Dressing Tex-Kosher? https://t.co/D1UzRQ6ySM via @TexasMonthly,JohnCornyn,John Cornyn,Texas,Republican
24,Sun May 14 20:48:55 +0000 2017,8.64E+17,32,8,#gospursgo,JohnCornyn,John Cornyn,Texas,Republican
25,Sun May 14 20:24:26 +0000 2017,8.64E+17,55,10,Highly anticipated conveyor-belt sushi restaurant opens in Austin https://t.co/2xqW9TWMMF via @culturemapATX,JohnCornyn,John Cornyn,Texas,Republican
26,Sat May 13 23:53:22 +0000 2017,8.64E+17,52,5,"North Korea Launches a Missile, Its First Test After an Election in the South, via @nytimes https://t.co/KYL2fGGeBZ",JohnCornyn,John Cornyn,Texas,Republican
27,Sat May 13 13:00:19 +0000 2017,8.63E+17,128,17,How Houston has become the most diverse place in America https://t.co/yzwfcgD7rp,JohnCornyn,John Cornyn,Texas,Republican
28,Fri May 12 14:32:46 +0000 2017,8.63E+17,113,18,Go Spurs Go!  Great series between two outstanding teams https://t.co/c4PecSpPOK,JohnCornyn,John Cornyn,Texas,Republican
29,Fri May 12 12:47:16 +0000 2017,8.63E+17,76,21,Top U.S. Intel. Official: Security Situation in Afghanistan Will ‘Most Certainly Deteriorate’ https://t.co/ATx6SaBEkp,JohnCornyn,John Cornyn,Texas,Republican
30,Fri May 12 12:44:27 +0000 2017,8.63E+17,46,19,Top U.S. intelligence officials don't trust Woburn-based Kaspersky Lab https://t.co/x1jviRyiN2 via @BosBizJournal,JohnCornyn,John Cornyn,Texas,Republican
31,Fri May 12 12:38:51 +0000 2017,8.63E+17,169,14,AAF: health care choice is b/t the ongoing and increasing devastation of Obamacare and an alternative that is viable and stable or growing.,JohnCornyn,John Cornyn,Texas,Republican
32,Fri May 12 12:06:47 +0000 2017,8.63E+17,106,36,Number of illegal Cuban immigrants caught by Coast Guard drops to zero in April https://t.co/H8jMh8pTEC via @WSJ,JohnCornyn,John Cornyn,Texas,Republican
33,Thu May 11 20:28:25 +0000 2017,8.63E+17,25,49,"Nation's oldest veteran turns 111, receives permanent Austin honor https://t.co/OQcLyySYoB via @KXAN_News",JohnCornyn,John Cornyn,Texas,Republican
34,Thu May 11 15:10:09 +0000 2017,8.63E+17,212,179,"“There has been no effort to impede our investigation,” acting FBI Director Andrew McCabe tells Senate Intelligence Cmte.",JohnCornyn,John Cornyn,Texas,Republican
