,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 15:01:44 +0000 2017,8.65946E+17,2,8,Thank you to the men and women of our #ArmedForces who risk so much and work so hard to keep our nation free.… https://t.co/p4f6KrMM21,SenJohnHoeven,John Hoeven,North Dakota,Republican
1,Sat May 20 11:41:34 +0000 2017,8.65895E+17,0,7,"Best wishes for all participating in #FargoMarathon events today. Events already held this week include dog run, 5k… https://t.co/Lgl5wEXy75",SenJohnHoeven,John Hoeven,North Dakota,Republican
2,Fri May 19 19:59:37 +0000 2017,8.65658E+17,2,4,DoD needs to advance #UAS tech including developing UAS traffic management system &amp; upgrading @fargoairport’s radar… https://t.co/mDisNeQP7n,SenJohnHoeven,John Hoeven,North Dakota,Republican
3,Fri May 19 17:10:13 +0000 2017,8.65616E+17,3,5,Today caps #NationalTransportationWeek &amp; #InfrastructureWeek - we thank those working in these important industries… https://t.co/mOdP9yWoi7,SenJohnHoeven,John Hoeven,North Dakota,Republican
4,Thu May 18 16:50:07 +0000 2017,8.65248E+17,3,1,Met w/ #NorthDakota Petroleum Marketers Assn. officials on RFS &amp; #energy storage issues. https://t.co/cRzh3MrOG7,SenJohnHoeven,John Hoeven,North Dakota,Republican
5,Wed May 17 22:01:49 +0000 2017,8.64964E+17,3,1,#NorthDakota realtors w/ @ndrealtors stopped by my office to discuss #taxreform &amp; other real estate issues. https://t.co/jRi41RaAOk,SenJohnHoeven,John Hoeven,North Dakota,Republican
6,Wed May 17 18:51:54 +0000 2017,8.64916E+17,0,1,Good meeting w/ @NDagriculture Commissioner Doug Goehring this morning to talk about burdensome regs &amp; #Ag issues i… https://t.co/yFTzYjlZuc,SenJohnHoeven,John Hoeven,North Dakota,Republican
7,Wed May 17 15:16:48 +0000 2017,8.64862E+17,3,21,"Happy #SyttendeMai – today commemorates signing of #Norway’s constitution May 17, 1814 &amp; we celebrate #NorthDakota’… https://t.co/xZTiHDWFTf",SenJohnHoeven,John Hoeven,North Dakota,Republican
8,Tue May 16 22:00:44 +0000 2017,8.64602E+17,2,1,I was glad to see the family of #Fargo Officer Jason Moszer who stopped by today during their time in DC for… https://t.co/EKKdUlmcll,SenJohnHoeven,John Hoeven,North Dakota,Republican
9,Tue May 16 16:52:10 +0000 2017,8.64524E+17,4,2,Thanks to the #NorthDakotans w/ @ALSA_MDNDSD who stopped by my office to talk about #ALS research &amp; how we can work… https://t.co/t9A9mv7iQj,SenJohnHoeven,John Hoeven,North Dakota,Republican
10,Tue May 16 16:03:03 +0000 2017,8.64512E+17,2,1,Talked w/ Williams County Commissioner Steve Kemp &amp; Communications Officer Melody Mileur about mosquito control eff… https://t.co/V2uVx5m10U,SenJohnHoeven,John Hoeven,North Dakota,Republican
11,Tue May 16 14:35:24 +0000 2017,8.64489E+17,3,8,Glad to talk about #infrastructure needs &amp; ways to fund new projects at forum this morning. #TimetoBuild… https://t.co/XF5vtCWliB,SenJohnHoeven,John Hoeven,North Dakota,Republican
12,Mon May 15 21:59:42 +0000 2017,8.64239E+17,6,2,Great to see @FargoPolice Chief David Todd &amp; other #Fargo #policemen in DC for #PeaceOfficersMemorialDay &amp;… https://t.co/Eacv8ZY6Q5,SenJohnHoeven,John Hoeven,North Dakota,Republican
13,Mon May 15 15:41:53 +0000 2017,8.64144E+17,0,2,"Today, #PeaceOfficersMemorialDay, begins #NationalPoliceWeek - honoring our officers &amp; those who've passed incl. Off. Moszer &amp; Dep. Allery.",SenJohnHoeven,John Hoeven,North Dakota,Republican
14,Sun May 14 16:11:17 +0000 2017,8.63789E+17,2,1,"A #mom’s love, care &amp; hard work is indispensable; Mikey &amp; I wish all #mothers a happy &amp; blessed #MothersDay.… https://t.co/SbjBYGpN6i",SenJohnHoeven,John Hoeven,North Dakota,Republican
15,Sun May 14 01:29:54 +0000 2017,8.63567E+17,2,5,"Tonight during candlelight vigil, name of #Fargo Officer Jason Moszer read after being added to @NLEOMF – he exampl… https://t.co/X2FuwvHuWa",SenJohnHoeven,John Hoeven,North Dakota,Republican
16,Sat May 13 16:01:20 +0000 2017,8.63424E+17,0,5,.@USNavy christened today a ship named USNS City of #Bismarck. ND is proud to have this state-of-the-art ship named… https://t.co/QoimDSQA2F,SenJohnHoeven,John Hoeven,North Dakota,Republican
