,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 16:12:51 +0000 2017,8.65964E+17,3,4,Thank you to the men and women who have been called to wear our nation's uniform. #ArmedForcesDay2017 https://t.co/cetHQN6wPk,SenJohnKennedy,John Kennedy,Louisiana,Republican
1,Fri May 19 19:49:00 +0000 2017,8.65656E+17,7,1,"I spoke with @Varneyco about my Dodd-Frank reform bill &amp; my new bill Medicaid Reform &amp; Personal Responsibility Act.
https://t.co/UXhzOV3sU4",SenJohnKennedy,John Kennedy,Louisiana,Republican
2,Fri May 19 14:01:17 +0000 2017,8.65568E+17,13,3,Tune in to @FoxBusiness with @Varneyco now to hear me discuss my #DoddFrank reform bill and my Medicaid bill.,SenJohnKennedy,John Kennedy,Louisiana,Republican
3,Thu May 18 16:56:41 +0000 2017,8.6525E+17,13,1,"Sec. Mnuchin reiterated to me that our local financial institutions had nothing to do with the financial crisis.
https://t.co/gmVQnQjqoP",SenJohnKennedy,John Kennedy,Louisiana,Republican
4,Wed May 17 20:14:56 +0000 2017,8.64937E+17,19,3,"I spoke on the Senate floor about my new legislation, the Medical Reform and Personal Responsibility Act of 2017.
 https://t.co/cYMMkpisPO",SenJohnKennedy,John Kennedy,Louisiana,Republican
5,Wed May 17 18:24:00 +0000 2017,8.64909E+17,3,3,Praying for @maziehirono's safe and speedy recovery. https://t.co/bAuq5PFGJ8,SenJohnKennedy,John Kennedy,Louisiana,Republican
6,Wed May 17 15:59:40 +0000 2017,8.64873E+17,3,2,"Happy to meet w &amp; welcome ROTC Cadets from @lsu, @LaTechBulldogs, &amp; Southern University to my office in this mornin… https://t.co/dgU0wRQqKw",SenJohnKennedy,John Kennedy,Louisiana,Republican
7,Wed May 17 15:35:10 +0000 2017,8.64867E+17,6,1,"Speaking on the @SenateFloor now abt my bill, Medicaid Reform and Personal Responsibility Act of 2017. Tune into @cspan 2 to hear my remarks",SenJohnKennedy,John Kennedy,Louisiana,Republican
8,Wed May 17 14:07:11 +0000 2017,8.64845E+17,1,2,Praying for a speedy recovery for my friend and colleague @SenThomTillis https://t.co/nXPeNMHI0j,SenJohnKennedy,John Kennedy,Louisiana,Republican
9,Tue May 16 18:57:49 +0000 2017,8.64556E+17,10,2,"This morning I spoke w @Varneyco abt the importance 4 pre-existing condition coverage &amp; lower health insurance costs
https://t.co/s7YlX8ANVK",SenJohnKennedy,John Kennedy,Louisiana,Republican
10,Tue May 16 13:47:23 +0000 2017,8.64477E+17,19,3,Tune in now to @FoxBusiness to hear me talk about healthcare. https://t.co/ZdNq4LChLQ,SenJohnKennedy,John Kennedy,Louisiana,Republican
11,Tue May 16 00:24:44 +0000 2017,8.64275E+17,4,2,Congrats to Mandeville HS graduate Amin Izadpanah. Amin is a National Merit Scholar and plans to attend @TulaneNews https://t.co/f6g2zL7sy3,SenJohnKennedy,John Kennedy,Louisiana,Republican
12,Sun May 14 00:03:22 +0000 2017,8.63545E+17,8,8,This trade agreement will provide a significant boost to our liquified natural gas industry in Louisiana. #LNG https://t.co/tRNZieSiB6,SenJohnKennedy,John Kennedy,Louisiana,Republican
13,Wed May 10 21:35:00 +0000 2017,8.62421E+17,23,5,"Check out my interview with @afterthebell about FBI Director James Comey. 

https://t.co/cHQzUUCBgm",SenJohnKennedy,John Kennedy,Louisiana,Republican
14,Wed May 10 20:04:13 +0000 2017,8.62398E+17,10,4,"Tune in to @AftertheBell now, to hear me discuss FBI Director Comey.",SenJohnKennedy,John Kennedy,Louisiana,Republican
15,Wed May 10 17:36:25 +0000 2017,8.62361E+17,17,4,Happy National #shrimpday. I only buy and eat #Louisiana shrimp. https://t.co/b9wHvQjlxV,SenJohnKennedy,John Kennedy,Louisiana,Republican
16,Tue May 09 14:32:08 +0000 2017,8.61952E+17,110,19,ICMYI: Yesterday in @senjudiciary I questioned Sally Yates. Watch the video below from @FoxNews to see a highlight https://t.co/ucE4TPm1Dr,SenJohnKennedy,John Kennedy,Louisiana,Republican
17,Mon May 08 20:38:20 +0000 2017,8.61682E+17,749,13,Questioning Sally Yates now in @senjudiciary,SenJohnKennedy,John Kennedy,Louisiana,Republican
18,Mon May 08 20:04:47 +0000 2017,8.61673E+17,75,9,"Check out my interview with @FoxNews about today's @senjudiciary hearing with Sally Yates. 

https://t.co/ZuVOw53ikZ",SenJohnKennedy,John Kennedy,Louisiana,Republican
19,Mon May 08 18:03:31 +0000 2017,8.61643E+17,39,3,On @FoxNews now talking about @senjudiciary's hearing today with Sally Yates and healthcare.,SenJohnKennedy,John Kennedy,Louisiana,Republican
20,Sat May 06 16:01:30 +0000 2017,8.60887E+17,8,6,Grateful we have #LemonadeDay in Louisiana. It helps today’s youth become interested in business &amp; entrepreneurship https://t.co/GkqW168CSr,SenJohnKennedy,John Kennedy,Louisiana,Republican
21,Fri May 05 15:16:51 +0000 2017,8.60514E+17,19,7,Made a new friend in Washington this week. https://t.co/uP0uCEvXth,SenJohnKennedy,John Kennedy,Louisiana,Republican
22,Thu May 04 12:45:14 +0000 2017,8.60113E+17,12,10,Went on @CNN's @NewDay this morning to talk about my new bill. If you buy flood insurance and your house floods you… https://t.co/aNVht0QsHy,SenJohnKennedy,John Kennedy,Louisiana,Republican
23,Wed May 03 15:52:50 +0000 2017,8.59798E+17,10,1,"My prayers go out to those impacted by the floods in Missouri. @RoyBlunt &amp; @clairecmc, LA has been there &amp; I'm here… https://t.co/Xqn14WmBLz",SenJohnKennedy,John Kennedy,Louisiana,Republican
24,Tue May 02 17:40:16 +0000 2017,8.59463E+17,8,2,Spoke about my bill the National Flood Insurance Program Consultant Accountability Act. Watch below to learn more https://t.co/2mdJKaFyJj,SenJohnKennedy,John Kennedy,Louisiana,Republican
