,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 18:46:24 +0000 2017,8.64915E+17,91,41,Appreciate Senate Cmte passing my bill to reauthorize grant prgms for America's brave firefighters &amp; 1st responders… https://t.co/uWyZ0TflqE,SenJohnMcCain,John McCain,Arizona,Republican
1,Wed May 17 17:44:06 +0000 2017,8.64899E+17,209,75,Happy anniversary @cindymccain - time flies when you're having fun! https://t.co/RB1TwEtBMk,SenJohnMcCain,John McCain,Arizona,Republican
2,Wed May 17 15:19:36 +0000 2017,8.64863E+17,1386,3079,This is the United States of America. We do not do this here. There is no excuse for this kind of thuggish behavior. https://t.co/WsIln8gOX5,SenJohnMcCain,John McCain,Arizona,Republican
3,Wed May 17 14:30:39 +0000 2017,8.64851E+17,121,12,Homeland Security Cmte holding hearing on my bills to reauthorize fire grant prgm &amp; enhance border security - watch: https://t.co/sqFsiCj74x,SenJohnMcCain,John McCain,Arizona,Republican
4,Wed May 17 13:55:19 +0000 2017,8.64842E+17,43,35,Glad to see @SenThomTillis is doing better - wishing my friend &amp; colleague a speedy &amp; full recovery! https://t.co/imXjIc8KV7,SenJohnMcCain,John McCain,Arizona,Republican
5,Tue May 16 19:25:59 +0000 2017,8.64563E+17,216,54,"This #NationalPoliceWeek, we honor the bravery &amp; selfless service of officers in #AZ &amp; around the US who risk their… https://t.co/LByXE8w4el",SenJohnMcCain,John McCain,Arizona,Republican
6,Tue May 16 18:54:33 +0000 2017,8.64555E+17,212,107,Intro'd bill w/ @SenatorBaldwin to bring much-needed transparency to prescription drug price increases - more info: https://t.co/fEC3ADmovM,SenJohnMcCain,John McCain,Arizona,Republican
7,Tue May 16 18:20:35 +0000 2017,8.64546E+17,138,78,Great meeting w/ #Canada FM @cafreeland &amp; showing her around the Capitol today - #Canada is our valued friend &amp; nei… https://t.co/NPpxFev8Rz,SenJohnMcCain,John McCain,Arizona,Republican
8,Tue May 16 18:05:38 +0000 2017,8.64542E+17,46,44,"Imp't @WSJ read: ""The ‘WannaCry’ #Cyber Warning"" https://t.co/w3S7YjRVtm",SenJohnMcCain,John McCain,Arizona,Republican
9,Tue May 16 18:01:18 +0000 2017,8.64541E+17,176,23,"Must-read @azcentral: ""A growing bison herd is a real threat to the Grand Canyon"" https://t.co/wJKmqaCGmA",SenJohnMcCain,John McCain,Arizona,Republican
10,Tue May 16 14:44:26 +0000 2017,8.64492E+17,1793,943,"Time Pres spent sharing sensitive info w Russians=time not spent on Ukraine, Assad atrocities&amp; election interference https://t.co/GrH8mbRq78",SenJohnMcCain,John McCain,Arizona,Republican
11,Tue May 16 13:11:01 +0000 2017,8.64468E+17,258,157,"Check out today's episode of @Snapchat's ""Good Luck America"" where I discuss #Putin's #Russia - swipe right to the… https://t.co/SETuvsI5jp",SenJohnMcCain,John McCain,Arizona,Republican
12,Mon May 15 22:47:18 +0000 2017,8.64251E+17,4832,2245,"If true, deeply disturbing... https://t.co/gHc10i1pWv",SenJohnMcCain,John McCain,Arizona,Republican
13,Mon May 15 20:54:32 +0000 2017,8.64222E+17,156,96,"Imp't read: ""US accuses #Syria of mass executions and burning the bodies"" https://t.co/CeY5ePjDTY",SenJohnMcCain,John McCain,Arizona,Republican
14,Mon May 15 20:52:48 +0000 2017,8.64222E+17,480,135,"Can't make it up... ""Obama: Not bombing #Syria 'required the most political courage'"" https://t.co/4IgD1b8J8l",SenJohnMcCain,John McCain,Arizona,Republican
15,Mon May 15 16:19:31 +0000 2017,8.64153E+17,55,47,"Must-read @espn @OTLonESPN: ""The Dictator's Team: Assad govt in #Syria has woven soccer into campaign of oppression"" https://t.co/xEb2k8dnnR",SenJohnMcCain,John McCain,Arizona,Republican
