,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 15:23:06 +0000 2017,8.66E+17,10,4,If only...sorry today's bad weather cancelled  @EmBeSiouxFalls @GOTRI 5K. See you next year. Keep running girls. 👍 https://t.co/SIC269dFyV,SenJohnThune,John Thune,South Dakota,Republican
1,Fri May 19 19:20:04 +0000 2017,8.66E+17,5,5,Joined @SecretarySonny for a discussion with regional ag leaders about the upcoming Farm Bill and issues impacting… https://t.co/cA7X54iVc6,SenJohnThune,John Thune,South Dakota,Republican
2,Fri May 19 16:32:36 +0000 2017,8.66E+17,7,19,"Having a great time showing @SecretarySonny around the Black Hills. This is his first national forest tour (yes, th… https://t.co/pvvJSY3063",SenJohnThune,John Thune,South Dakota,Republican
3,Thu May 18 20:26:56 +0000 2017,8.65E+17,24,6,"The Senate is focused on the agenda of the American people – reforming health care, creating jobs, and growing the… https://t.co/439sJw4rx8",SenJohnThune,John Thune,South Dakota,Republican
4,Thu May 18 15:20:58 +0000 2017,8.65E+17,4,4,My #INVESTact focuses on cost recovery for small and medium-sized businesses – the engines of economic growth and j… https://t.co/smi8SvTiAU,SenJohnThune,John Thune,South Dakota,Republican
5,Wed May 17 22:10:46 +0000 2017,8.65E+17,24,11,"My priority is to enact policies that create greater economic growth, which leads to higher wages for American work… https://t.co/6CY4D0phx5",SenJohnThune,John Thune,South Dakota,Republican
6,Wed May 17 18:38:33 +0000 2017,8.65E+17,18,9,My INVEST Act speeds up cost recovery to achieve higher growth for small &amp; medium-sized businesses so we can get th… https://t.co/AuABhEZeP7,SenJohnThune,John Thune,South Dakota,Republican
7,Wed May 17 14:58:03 +0000 2017,8.65E+17,18,10,"Small and medium-sized businesses, including farms &amp; ranches, would benefit from my new pro-growth tax reform bill.… https://t.co/5aljzrvMq0",SenJohnThune,John Thune,South Dakota,Republican
8,Tue May 16 21:40:00 +0000 2017,8.65E+17,16,6,Grateful this week and every week for the men &amp; women in law enforcement who keep the peace in South Dakota &amp; aroun… https://t.co/VLpRBHNEXB,SenJohnThune,John Thune,South Dakota,Republican
9,Tue May 16 21:13:00 +0000 2017,8.65E+17,4,4,"Check out Sioux Falls student Caleb's @CSPAN project on the national debt. Great work, Caleb! https://t.co/WL8YcvIOJH",SenJohnThune,John Thune,South Dakota,Republican
10,Sun May 14 13:55:00 +0000 2017,8.64E+17,17,5,Mother’s Day takes on a new meaning for me and my family this year. Hope all the moms across S.D. have a great day.… https://t.co/0elsPRNUUD,SenJohnThune,John Thune,South Dakota,Republican
11,Sat May 13 17:32:14 +0000 2017,8.63E+17,17,3,"Honored to help out at annual Avera Race Against Breast Cancer. Perfect day, great crowd,… https://t.co/mzHPoTRCvk",SenJohnThune,John Thune,South Dakota,Republican
12,Fri May 12 21:34:25 +0000 2017,8.63E+17,4,2,Toured Yankton's new @BGCBrookings facility. James convinced me to play carpetball before the students arrived to t… https://t.co/KLlZKDEaY2,SenJohnThune,John Thune,South Dakota,Republican
13,Fri May 12 19:19:53 +0000 2017,8.63E+17,9,6,Made my annual visit to the Yankton High School government and history classes this afternoon. Great discussion as… https://t.co/GAbinUSXbM,SenJohnThune,John Thune,South Dakota,Republican
14,Fri May 12 18:15:14 +0000 2017,8.63E+17,3,3,"Wishing @HeatherAnWilson best of luck at @usairforce. Just remember – once a South Dakotan, always a South Dakotan. https://t.co/LV0KnC9ZnU",SenJohnThune,John Thune,South Dakota,Republican
15,Thu May 11 16:29:27 +0000 2017,8.63E+17,62,7,"Our health care system has to be fixed, and we're intent on fixing it. https://t.co/OIdLW6w6kp",SenJohnThune,John Thune,South Dakota,Republican
16,Wed May 10 21:43:38 +0000 2017,8.62E+17,24,4,"We're working hard in @SenateCommerce to make 5G mobile broadband a reality, and my MOBILE NOW Act would help move… https://t.co/bMVvvaCfuT",SenJohnThune,John Thune,South Dakota,Republican
17,Wed May 10 20:00:40 +0000 2017,8.62E+17,12,14,Honored to receive the Railroad Achievement Award from @AAR_FreightRail and @GoRail earlier today. https://t.co/k9HXKppisy,SenJohnThune,John Thune,South Dakota,Republican
18,Tue May 09 21:44:05 +0000 2017,8.62E+17,86,13,We are working to put a health care bill on the president's desk that rescues Americans from the collapsing failed… https://t.co/9SkHEdoGsL,SenJohnThune,John Thune,South Dakota,Republican
19,Tue May 09 15:56:27 +0000 2017,8.62E+17,3,3,"Congrats to Anneliese and Donnie, South Dakota students who received the @PruSpirit award for outstanding volunteer… https://t.co/obgiB7hBy9",SenJohnThune,John Thune,South Dakota,Republican
20,Mon May 08 22:02:46 +0000 2017,8.62E+17,8,17,Congratulations to @sdsmt President @HeatherAnWilson on her confirmation as the next secretary of @usairforce. https://t.co/Kmld9lAv64,SenJohnThune,John Thune,South Dakota,Republican
