,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 13:17:42 +0000 2017,8.65195E+17,11,4,"Our committee considered important bills yesterday to reform appeals, improve accountability at @DeptVetAffairs: https://t.co/dxNzM76J2r",SenatorIsakson,Johnny Isakson,Georgia,Republican
1,Wed May 17 19:18:34 +0000 2017,8.64923E+17,15,4,Honored to receive the “Excellence in Government Award” from @ASALifeline. Proud to stand with you on behalf of our… https://t.co/yfI8r3iaMr,SenatorIsakson,Johnny Isakson,Georgia,Republican
2,Wed May 17 13:47:32 +0000 2017,8.6484E+17,10,6,"Best wishes to @maziehirono on a speedy recovery. As @VAchair, I appreciate her service to our veterans. No one fig… https://t.co/jX8xlp7lFR",SenatorIsakson,Johnny Isakson,Georgia,Republican
3,Tue May 16 21:38:52 +0000 2017,8.64596E+17,23,4,"Tomorrow in @VAChair, I look forward to making progress on reviewing health &amp; benefits legislation for our veterans https://t.co/dS6S1h0M6I",SenatorIsakson,Johnny Isakson,Georgia,Republican
4,Tue May 16 19:26:54 +0000 2017,8.64563E+17,15,5,Grateful for the many law enforcement officers who have dedicated themselves to the betterment of their communities… https://t.co/v4eUqDmtYM,SenatorIsakson,Johnny Isakson,Georgia,Republican
5,Mon May 15 23:03:30 +0000 2017,8.64255E+17,22,3,"On #NationalPeaceOfficersMemorialDay, we remember those who have paid the ultimate sacrifice to keep us safe. https://t.co/HaeJj8SLef",SenatorIsakson,Johnny Isakson,Georgia,Republican
6,Mon May 15 19:25:23 +0000 2017,8.642E+17,6,1,"On Wednesday, @VAChair will consider health &amp; benefits bills including reforms to appeals, accountability: https://t.co/dS6S1h0M6I",SenatorIsakson,Johnny Isakson,Georgia,Republican
7,Mon May 15 18:31:34 +0000 2017,8.64187E+17,21,7,"Via @CalhounTimes: Senators Isakson, @sendavidperdue Co-sponsor Bipartisan Childhood Cancer Research Expansion: https://t.co/INH1wXSkmt",SenatorIsakson,Johnny Isakson,Georgia,Republican
8,Mon May 15 16:54:13 +0000 2017,8.64162E+17,8,4,"VA Accountability &amp; Whistleblower Protection Act intro’d w/ @SenRubioPress, @SenatorTester has earned broad support: https://t.co/VOEraFg5Xc",SenatorIsakson,Johnny Isakson,Georgia,Republican
9,Mon May 15 15:47:15 +0000 2017,8.64145E+17,22,2,"Before the Senate convenes today, a look back at last week: https://t.co/gakr590f5a",SenatorIsakson,Johnny Isakson,Georgia,Republican
