,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 23:31:31 +0000 2017,8.66074E+17,4,16,The @IndianCommittee unanimously passed my bill to recruit &amp; retain more good teachers across Indian Country.… https://t.co/9p8e5j5kCw,SenatorTester,Jon Tester,Montana,Democratic
1,Sat May 20 19:00:24 +0000 2017,8.66006E+17,0,10,"On #ArmedForcesDay we salute all the folks in uniform who sacrifice their safety to protect our families, our freed… https://t.co/PUJD1BmoZS",SenatorTester,Jon Tester,Montana,Democratic
2,Sat May 20 01:12:01 +0000 2017,8.65737E+17,1,20,"The proposed budget wouldn't just cut funding for @SeniorCorps, it would eliminate the program all together.… https://t.co/uYAw9h8u6I",SenatorTester,Jon Tester,Montana,Democratic
3,Sat May 20 00:17:04 +0000 2017,8.65723E+17,2,8,Dave's a Missoula-based Navy vet who has continued to serve through @SeniorCorps. He's proof that #SeniorCorpsWorks… https://t.co/T7OVdrKPKZ,SenatorTester,Jon Tester,Montana,Democratic
4,Fri May 19 23:11:24 +0000 2017,8.65706E+17,0,7,We’re wrapping up @SeniorCorps Week &amp; I want to thank the thousands of MT volunteers that make our state a better p… https://t.co/4G8DgiEKsN,SenatorTester,Jon Tester,Montana,Democratic
5,Fri May 19 16:19:29 +0000 2017,8.65603E+17,3,5,I'm urging the @WhiteHouse not to cut funding &amp; potentially cripple MT anti-drug task forces. #mtpol @Missoula_Indy… https://t.co/1nhU2dnn8q,SenatorTester,Jon Tester,Montana,Democratic
6,Fri May 19 02:42:55 +0000 2017,8.65397E+17,2,5,"From the @Missoulian to @NBCMontana, check out what I’ve been watching, reading &amp; talking about recently:… https://t.co/VcUsOccKQM",SenatorTester,Jon Tester,Montana,Democratic
7,Wed May 17 23:25:03 +0000 2017,8.64985E+17,8,74,Bill to reduce @BetsyDeVos' personal budget by $500k/week until DoE reconsiders @umontana's Upward Bound app #mtpol… https://t.co/Xn3OP3RhV1,SenatorTester,Jon Tester,Montana,Democratic
8,Wed May 17 01:38:52 +0000 2017,8.64656E+17,2,4,"From securing new security equipment @FlyGTF to talking health care w/ @TeamCavuto, check out what I’ve been up to… https://t.co/VGy2IFHGiD",SenatorTester,Jon Tester,Montana,Democratic
9,Tue May 16 20:19:20 +0000 2017,8.64576E+17,5,6,It's with heavy hearts that Sharla &amp; I mourn the loss of Dep. Moore. MT is forever grateful for his service &amp; will… https://t.co/ZjStucsmvF,SenatorTester,Jon Tester,Montana,Democratic
10,Tue May 16 02:46:56 +0000 2017,8.64311E+17,3,6,I’ve introduced a bipartisan bill to give first responders the recognition they deserve. #NationalPoliceWeek #mtpol… https://t.co/KHiswFr82h,SenatorTester,Jon Tester,Montana,Democratic
11,Mon May 15 23:05:31 +0000 2017,8.64255E+17,6,5,MT #veterans often love the doctors &amp; nurses at the VA. But there are a few folks who give the VA a bad name.… https://t.co/5xOUbtFqjs,SenatorTester,Jon Tester,Montana,Democratic
