,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 14 12:15:00 +0000 2017,8.63729E+17,16,7,Happy #MothersDay. The best job I've ever had is being a mom! https://t.co/afoneaEBa2,joniernst,Joni Ernst,Iowa,Republican
1,Sat May 13 01:44:01 +0000 2017,8.63208E+17,19,5,"""Ernst posted a tweet Thursday morning announcing VP Mike Pence will be among the speakers at the event in June."" https://t.co/TeiSCDmgai",joniernst,Joni Ernst,Iowa,Republican
2,Fri May 12 21:45:01 +0000 2017,8.63148E+17,16,4,"VP Pence, Sen. Tim Scott, &amp; other special guests will be joining us June 3 for #RoastAndRide! Join us:… https://t.co/YggwIKQjzO",joniernst,Joni Ernst,Iowa,Republican
3,Fri May 12 18:02:42 +0000 2017,8.63092E+17,10,5,Will you join VP Pence and me on June 3 for #RoastAndRide? Get your tickets! https://t.co/pKp5J9PCUk https://t.co/2Hkayz1CR6,joniernst,Joni Ernst,Iowa,Republican
4,Fri May 12 15:17:54 +0000 2017,8.63051E+17,16,4,"""Vice President Mike Pence coming to Iowa next month for Joni Ernst's #RoastAndRide event"" https://t.co/bvrOCRvkBs",joniernst,Joni Ernst,Iowa,Republican
5,Thu May 11 23:47:08 +0000 2017,8.62816E+17,14,9,"""Vice President Mike Pence will headline U.S. Senator Joni Ernst’s annual #RoastAndRide"" https://t.co/1J9m4fBJ0M",joniernst,Joni Ernst,Iowa,Republican
6,Thu May 11 19:02:53 +0000 2017,8.62745E+17,7,5,"You don’t want to miss this…VP Pence, Sen. Tim Scott, &amp; other special guests will be joining us for #RoastAndRide!… https://t.co/o8ueKbBpzu",joniernst,Joni Ernst,Iowa,Republican
7,Thu May 11 16:12:51 +0000 2017,8.62702E+17,16,6,"""Pence coming to Iowa for Ernst's #RoastAndRide event"" https://t.co/3EjNdxNIwx",joniernst,Joni Ernst,Iowa,Republican
8,Thu May 11 13:21:52 +0000 2017,8.62659E+17,8,5,"""VP Mike Pence to headline Ernst's #RoastAndRide"" https://t.co/pScaRRBeNd",joniernst,Joni Ernst,Iowa,Republican
9,Thu May 11 11:04:01 +0000 2017,8.62624E+17,10,14,"Come join the fun with VP Pence, Sen. Tim Scott, and other special guests! Get your #RoastAndRide tickets:… https://t.co/lokiBMUEJr",joniernst,Joni Ernst,Iowa,Republican
10,Sun Apr 23 22:13:11 +0000 2017,8.5627E+17,12,3,This year's #RoastAndRide will once again kick off at Big Barn @harleydavidson. Proceeds from the ride will go to… https://t.co/7D0ongLJoJ,joniernst,Joni Ernst,Iowa,Republican
11,Sun Apr 23 20:02:30 +0000 2017,8.56237E+17,7,3,Tickets for the 3rd annual #RoastAndRide are now on sale! https://t.co/8VGzT7CeoW,joniernst,Joni Ernst,Iowa,Republican
12,Sun Apr 23 17:49:56 +0000 2017,8.56204E+17,6,6,Tickets to the June 3 #RoastAndRide are available at https://t.co/QT0XYcvzUm https://t.co/FmcuaSWYsx,joniernst,Joni Ernst,Iowa,Republican
13,Sun Apr 23 15:06:00 +0000 2017,8.56162E+17,12,3,"""Sen. Ernst will host her third annual #RoastAndRide"" https://t.co/gLkIEnO1jY",joniernst,Joni Ernst,Iowa,Republican
14,Fri Apr 21 22:41:38 +0000 2017,8.55552E+17,4,5,"""Joni Ernst Releases #RoastAndRide Event Details"" https://t.co/Ii3yTEfydI",joniernst,Joni Ernst,Iowa,Republican
15,Fri Apr 21 20:00:00 +0000 2017,8.55511E+17,4,1,Mark your calendars for June 3’s #RoastAndRide! Tickets are now available! https://t.co/pKp5J9y1vK https://t.co/mwpJH01TJ8,joniernst,Joni Ernst,Iowa,Republican
16,Fri Apr 21 16:16:40 +0000 2017,8.55455E+17,4,4,Tickets are now available for #RoastAndRide - get yours before they run out! https://t.co/pKp5J9PCUk https://t.co/GmQVyChJjt,joniernst,Joni Ernst,Iowa,Republican
17,Fri Apr 21 11:13:00 +0000 2017,8.55379E+17,40,8,"HEADS UP, IOWA! #RoastAndRide tickets are now on sale. Get yours! https://t.co/pKp5J9PCUk https://t.co/XyufQiaYxW",joniernst,Joni Ernst,Iowa,Republican
18,Sun Apr 16 12:02:00 +0000 2017,8.53579E+17,31,18,He is risen! Happy Easter! https://t.co/4bvN8HyoYV,joniernst,Joni Ernst,Iowa,Republican
19,Fri Apr 14 13:33:19 +0000 2017,8.52877E+17,86,54,Thank the @POTUS for signing my legislation that... https://t.co/bWiha77PS3,joniernst,Joni Ernst,Iowa,Republican
20,Thu Apr 13 21:14:48 +0000 2017,8.52631E+17,76,45,Thank the @POTUS for signing my legislation that... https://t.co/8NL7LEWLT5,joniernst,Joni Ernst,Iowa,Republican
21,Tue Apr 11 00:42:17 +0000 2017,8.51596E+17,3,10,Happy Passover to those celebrating in the United States and around the world.,joniernst,Joni Ernst,Iowa,Republican
22,Mon Apr 10 16:50:00 +0000 2017,8.51477E+17,51,6,My legislation... https://t.co/Gmy0uu2zJG,joniernst,Joni Ernst,Iowa,Republican
23,Fri Apr 07 16:46:59 +0000 2017,8.50389E+17,33,4,My legislation... https://t.co/GlewRl7XbY,joniernst,Joni Ernst,Iowa,Republican
24,Thu Apr 06 16:55:26 +0000 2017,8.50029E+17,45,21,My legislation... https://t.co/Df9XebTfq4,joniernst,Joni Ernst,Iowa,Republican
25,Thu Apr 06 14:07:13 +0000 2017,8.49987E+17,53,13,My legislation… https://t.co/r2VChe0So8,joniernst,Joni Ernst,Iowa,Republican
26,Wed Apr 05 18:59:27 +0000 2017,8.49698E+17,92,15,"States shouldn’t be forced to send taxpayer money to abortion providers. 
https://t.co/rvjSukW03s",joniernst,Joni Ernst,Iowa,Republican
27,Fri Mar 03 18:33:46 +0000 2017,8.37733E+17,18,9,ICYMI: #RoastAndRide returns to Boone (via @newsrepublican) https://t.co/BvV86T5AkF,joniernst,Joni Ernst,Iowa,Republican
28,Wed Mar 01 21:16:33 +0000 2017,8.37049E+17,67,31,"Even though it's #RoastAndRide season, I don't need a special day to #CutThePork in DC! https://t.co/ruLDzZevXG",joniernst,Joni Ernst,Iowa,Republican
29,Mon Feb 20 21:42:14 +0000 2017,8.33794E+17,94,23,RSVP for #RoastAndRide! https://t.co/i4USwdzVZV https://t.co/O5ynV8OdbU,joniernst,Joni Ernst,Iowa,Republican
30,Mon Feb 20 16:49:13 +0000 2017,8.3372E+17,54,16,#RoastAndRide is one of my favorite summer traditions. I hope you’ll join us in Boone on June 3!… https://t.co/VKjrQ788iv,joniernst,Joni Ernst,Iowa,Republican
31,Mon Feb 20 15:16:34 +0000 2017,8.33697E+17,53,28,#PresidentsDay https://t.co/FQGEt8GZOP,joniernst,Joni Ernst,Iowa,Republican
32,Mon Feb 20 13:43:30 +0000 2017,8.33673E+17,29,21,The 3rd annual #RoastAndRide is set for June 3 in Boone! RSVP today &amp; be the first to know when tickets go on sale!… https://t.co/bQnqvCL4jx,joniernst,Joni Ernst,Iowa,Republican
33,Wed Feb 15 01:08:48 +0000 2017,8.31672E+17,23,11,"Happy #ValentinesDay to my husband, Gail. There's no one I'd rather have by my side on the road &amp; in life. https://t.co/ZcqHRS6YwS",joniernst,Joni Ernst,Iowa,Republican
34,Wed Feb 08 19:54:25 +0000 2017,8.29418E+17,108,46,Retweet to thank the Iowa state Senators who stood up for life  https://t.co/R1IjNH7Ik6 #ProLife,joniernst,Joni Ernst,Iowa,Republican
35,Wed Feb 01 20:27:01 +0000 2017,8.2689E+17,251,55,Judge Gorsuch is a qualified candidate for the #SCOTUS. Tell Democrats it’s time to fill the Supreme Court vacancy. https://t.co/5Phddr1Oid,joniernst,Joni Ernst,Iowa,Republican
36,Fri Jan 27 14:55:02 +0000 2017,8.24994E+17,129,274,Today we march for our most vulnerable. #MarchForLife #WhyWeMarch https://t.co/J9yxmCfOlZ,joniernst,Joni Ernst,Iowa,Republican
37,Thu Jan 26 20:02:40 +0000 2017,8.24709E+17,17,19,"#TBT: ""Why Joni Marches"" 

#WhyWeMarch https://t.co/ERoKuXenqz https://t.co/tGklyPdS7w",joniernst,Joni Ernst,Iowa,Republican
38,Sat Jan 21 02:35:15 +0000 2017,8.22634E+17,294,7,We now have Republican leaders in the White House &amp; majorities in Congress. What should our first priority be?… https://t.co/s10eG14syd,joniernst,Joni Ernst,Iowa,Republican
39,Fri Jan 20 18:51:44 +0000 2017,8.22517E+17,23,29,Congratulations to President Trump and Vice President Pence! https://t.co/qPBtM888xD,joniernst,Joni Ernst,Iowa,Republican
40,Mon Jan 16 19:32:52 +0000 2017,8.21078E+17,16,11,"""Out of the mountain of despair, a stone of hope"" #MLKDAY https://t.co/iJrVKo7aZK",joniernst,Joni Ernst,Iowa,Republican
41,Thu Jan 12 14:56:33 +0000 2017,8.19559E+17,12,15,Check out my column in @TheDC_Opinion: The U.S. Cannot Waiver In Our Commitment to Israel https://t.co/QeKjA0OW93,joniernst,Joni Ernst,Iowa,Republican
42,Mon Jan 09 21:01:14 +0000 2017,8.18563E+17,12,23,"Thank you to all who keep Iowa safe, not just today but every day. #LawEnforcementAppreciationDay https://t.co/gqEt3543ej",joniernst,Joni Ernst,Iowa,Republican
43,Sun Dec 25 14:00:04 +0000 2016,8.13021E+17,12,12,"From our family to yours, may the season be filled with goodness, kindness, and happiness. https://t.co/2WR7uqbzvV",joniernst,Joni Ernst,Iowa,Republican
44,Fri Nov 11 16:19:26 +0000 2016,7.97112E+17,10,23,Today is a day to honor those who gave so much for our country. #VeteransDay https://t.co/rQSXDguk0C,joniernst,Joni Ernst,Iowa,Republican
45,Wed Nov 09 14:21:55 +0000 2016,7.96357E+17,11,24,"Iowans were heard loud and clear!

https://t.co/rGk0HiO8W6",joniernst,Joni Ernst,Iowa,Republican
46,Wed Nov 09 05:18:45 +0000 2016,7.9622E+17,6,45,"A big congrats to my colleagues from Iowa - Congressmen King, Blum and Young and Senator Grassley!",joniernst,Joni Ernst,Iowa,Republican
47,Wed Nov 09 04:59:15 +0000 2016,7.96216E+17,5,59,Congratulation to Bill Dix and our Republican Majority in the Iowa State Senate!,joniernst,Joni Ernst,Iowa,Republican
48,Tue Nov 08 23:20:34 +0000 2016,7.9613E+17,4,10,This election is too important to sit out! #iapolitics https://t.co/LXrbS1xuYV https://t.co/LHErSxxwGv,joniernst,Joni Ernst,Iowa,Republican
49,Tue Nov 08 20:02:33 +0000 2016,7.9608E+17,3,7,"Have you committed to vote today? #iapolitics 
https://t.co/LXrbS1xuYV https://t.co/dFyxlqbzz4",joniernst,Joni Ernst,Iowa,Republican
50,Tue Nov 08 14:22:47 +0000 2016,7.95995E+17,3,8,Today is Election Day. Commit to vote HERE: https://t.co/LXrbS1xuYV #iapolitics https://t.co/eu83XNLD6j,joniernst,Joni Ernst,Iowa,Republican
51,Tue Nov 08 03:11:03 +0000 2016,7.95826E+17,7,18,This election is too important to sit out. Commit to vote! #iapolitics https://t.co/LXrbS1xuYV https://t.co/NyFwO0cebI,joniernst,Joni Ernst,Iowa,Republican
52,Mon Nov 07 23:06:21 +0000 2016,7.95764E+17,10,42,"Chuck Grassley, Rod Blum and I are getting out the vote today in northeast Iowa! https://t.co/YQjuZ5uSdN",joniernst,Joni Ernst,Iowa,Republican
53,Mon Nov 07 21:12:55 +0000 2016,7.95736E+17,1,7,Tomorrow is Election Day. Commit to vote HERE: https://t.co/LXrbS1xuYV #iapolitics https://t.co/LQsjqwpRJl,joniernst,Joni Ernst,Iowa,Republican
54,Thu Nov 03 18:55:26 +0000 2016,7.94252E+17,2,15,"Mowrer and Judge's silence on Sarah's Law is deafening.

https://t.co/BCXfgOpWxG",joniernst,Joni Ernst,Iowa,Republican
55,Fri Oct 28 19:44:17 +0000 2016,7.9209E+17,13,53,Hillary Clinton is not suited to be sitting in the most powerful office in the world. (3/3),joniernst,Joni Ernst,Iowa,Republican
56,Fri Oct 28 19:43:53 +0000 2016,7.9209E+17,6,50,"She jeopardized our safety by deciding laws don’t apply to her, setting up her private e-mail server, and lying about how it was used. (2/3)",joniernst,Joni Ernst,Iowa,Republican
57,Fri Oct 28 19:42:17 +0000 2016,7.92089E+17,12,70,News that the FBI is once again investigating emails linked to Hillary Clinton is the latest example as to why she cannot be trusted. (1/3),joniernst,Joni Ernst,Iowa,Republican
58,Wed Oct 12 01:26:22 +0000 2016,7.86015E+17,13,9,Thank you @screpublicans for another great Reagan Dinner! https://t.co/L9SHXXmSM9,joniernst,Joni Ernst,Iowa,Republican
59,Sat Oct 08 14:00:51 +0000 2016,7.84755E+17,682,303,"The comments DJT made are lewd &amp; insulting. There is no excuse, and no room for such reprehensible and objectifying talk about anyone, ever.",joniernst,Joni Ernst,Iowa,Republican
60,Fri Sep 16 22:22:05 +0000 2016,7.76909E+17,3,12,"Happy birthday, @GrassleyWorks! https://t.co/2IsvD5qFeb",joniernst,Joni Ernst,Iowa,Republican
61,Fri Sep 16 19:05:47 +0000 2016,7.7686E+17,12,34,You are not forgotten. #POWMIARecognitionDay https://t.co/trVU25qDoY,joniernst,Joni Ernst,Iowa,Republican
62,Sun Sep 11 12:45:06 +0000 2016,7.74952E+17,2,65,We will never forget. https://t.co/S9XYkzM7Rj,joniernst,Joni Ernst,Iowa,Republican
63,Tue Sep 06 14:44:57 +0000 2016,7.7317E+17,3,4,"she leaves behind a powerful legacy of determination, courage and charisma that will be remembered for generations to come. (2/2)",joniernst,Joni Ernst,Iowa,Republican
64,Tue Sep 06 14:44:40 +0000 2016,7.7317E+17,0,5,"Phyllis Schlafly was a trailblazer for the conservative movement. While I am deeply saddened by her passing, (1/2)",joniernst,Joni Ernst,Iowa,Republican
65,Tue Aug 30 16:40:14 +0000 2016,7.70662E+17,5,7,Thank you! #RoastAndRide https://t.co/jjVSE4GdJW,joniernst,Joni Ernst,Iowa,Republican
66,Sat Aug 27 22:04:27 +0000 2016,7.69657E+17,41,69,Thanks for a great day! #RoastAndRide https://t.co/6jdtDuPRiR,joniernst,Joni Ernst,Iowa,Republican
67,Sat Aug 27 20:57:08 +0000 2016,7.6964E+17,11,15,"As always, a great performance by @thenadas! #RoastAndRide https://t.co/RloVSrUIJB",joniernst,Joni Ernst,Iowa,Republican
68,Sat Aug 27 19:05:50 +0000 2016,7.69612E+17,15,32,"Thank you to Chris Meek, Billy Woods, Matt Ross &amp; all the folks at @soldierstrong for being a part of #RoastAndRide. https://t.co/xB67imrXYv",joniernst,Joni Ernst,Iowa,Republican
69,Sat Aug 27 18:55:58 +0000 2016,7.69609E+17,8,10,Thank you @kaufmannGOP for the great intro and for MCing today's event! #RoastAndRide,joniernst,Joni Ernst,Iowa,Republican
70,Sat Aug 27 18:28:47 +0000 2016,7.69603E+17,26,147,Filling up fast! #RoastAndRide https://t.co/4Azzd2iONT,joniernst,Joni Ernst,Iowa,Republican
71,Sat Aug 27 18:14:37 +0000 2016,7.69599E+17,2,20,Made it to the Fairgrounds! #RoastAndRide https://t.co/ihbreH7MDq,joniernst,Joni Ernst,Iowa,Republican
72,Sat Aug 27 16:46:11 +0000 2016,7.69577E+17,7,39,Ready to ride! #RoastAndRide https://t.co/Be3PYp6hGH,joniernst,Joni Ernst,Iowa,Republican
73,Sat Aug 27 16:01:47 +0000 2016,7.69566E+17,15,114,Ready to kick things off! #RoastAndRide https://t.co/nua2NGm6ER,joniernst,Joni Ernst,Iowa,Republican
74,Sat Aug 27 15:45:06 +0000 2016,7.69561E+17,10,128,The riders are lining up! #RoastAndRide https://t.co/0u6DUH8sDN,joniernst,Joni Ernst,Iowa,Republican
75,Sat Aug 27 14:27:11 +0000 2016,7.69542E+17,2,9,There’s still time to join us for this year’s Roast and Ride! https://t.co/wsfe11BpyD #RoastAndRide https://t.co/0U2Mw3VtO9,joniernst,Joni Ernst,Iowa,Republican
76,Sat Aug 27 13:44:03 +0000 2016,7.69531E+17,2,10,Today’s the day! Be sure to follow along on @snapchat all day for updates from Roast and Ride! https://t.co/4m5c4KuKVg,joniernst,Joni Ernst,Iowa,Republican
77,Sat Aug 27 02:50:15 +0000 2016,7.69366E+17,2,13,"Putting on the finishing touches. See you tomorrow, Iowa! #RoastAndRide https://t.co/clPMgykRGq",joniernst,Joni Ernst,Iowa,Republican
78,Sat Aug 27 01:39:06 +0000 2016,7.69348E+17,2,16,There’s still time to join us for this year’s Roast and Ride. Get your tickets! https://t.co/wsfe11BpyD https://t.co/gF8VZWViv0,joniernst,Joni Ernst,Iowa,Republican
79,Fri Aug 26 23:18:16 +0000 2016,7.69313E+17,1,10,It’s time for the Roast and Ride! https://t.co/wsfe11BpyD https://t.co/AOUMdF5ZqZ,joniernst,Joni Ernst,Iowa,Republican
