,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 22:18:55 +0000 2017,8.64969E+17,8,49,Good. We must continue to speak up &amp; hold this Administration accountable. https://t.co/6IT644i5V2,SenKamalaHarris,Kamala Harris,California,Republican
1,Wed May 17 21:31:40 +0000 2017,8.64957E+17,7,66,On #IDAHOT we must again shine a light on the horrors in Chechnya &amp; demand swift action. https://t.co/i6AStIbj4K,SenKamalaHarris,Kamala Harris,California,Republican
2,Wed May 17 20:22:25 +0000 2017,8.64939E+17,178,1705,Sheriff David Clarke’s unconscionable record makes him unfit to serve. This appointment is a disgrace. https://t.co/ltvyhDbqxp,SenKamalaHarris,Kamala Harris,California,Republican
3,Wed May 17 18:38:41 +0000 2017,8.64913E+17,15,57,"The lawyers in Brown v. Board - Thurgood Marshall, Charles Hamilton Houston &amp; Constance Baker Motley - inspired me… https://t.co/gEGDk8pbhT",SenKamalaHarris,Kamala Harris,California,Republican
4,Wed May 17 17:30:03 +0000 2017,8.64896E+17,10,211,#NetNeutrality is under attack &amp; we must defend it. https://t.co/Feq9FeDpAk,SenKamalaHarris,Kamala Harris,California,Republican
5,Wed May 17 17:06:25 +0000 2017,8.6489E+17,4,46,"I proposed amendments today to the Boots on the Border Act to protect national security &amp; CBP workforce integrity, &amp; increase transparency.",SenKamalaHarris,Kamala Harris,California,Republican
6,Wed May 17 17:05:26 +0000 2017,8.6489E+17,4,62,"After the last hiring surge at Customs &amp; Border Protection, Congress mandated polygraph testing for new applicants because of corruption.",SenKamalaHarris,Kamala Harris,California,Republican
7,Wed May 17 17:04:49 +0000 2017,8.64889E+17,13,96,Now is not the time to loosen CBP hiring standards so that the President &amp; Secretary Kelly can rush to build their deportation force.,SenKamalaHarris,Kamala Harris,California,Republican
8,Wed May 17 15:15:01 +0000 2017,8.64862E+17,45,409,"""To sin by silence, when we should protest, makes cowards out of men."" #wednesdaywisdom",SenKamalaHarris,Kamala Harris,California,Republican
9,Wed May 17 14:00:02 +0000 2017,8.64843E+17,10,281,"On May 17, 1954, the Supreme Court handed down the decision in Brown v. Board of Education &amp; declared that separate… https://t.co/C6MJVjE9KK",SenKamalaHarris,Kamala Harris,California,Republican
10,Tue May 16 23:45:06 +0000 2017,8.64628E+17,9,24,My friend @MayorOfLA testified before the Senate today. Californians know the need for federal investments in trans… https://t.co/bjtRxI0jYs,SenKamalaHarris,Kamala Harris,California,Republican
11,Tue May 16 22:42:15 +0000 2017,8.64612E+17,56,403,Tonight’s news is exactly why I asked this question of Acting FBI Director McCabe last week: https://t.co/0Ci2WCkCq2,SenKamalaHarris,Kamala Harris,California,Republican
12,Tue May 16 21:53:13 +0000 2017,8.646E+17,119,1309,"If there was ever a moment to put country over party, this is that moment. Republicans must join us to hold this White House accountable.",SenKamalaHarris,Kamala Harris,California,Republican
13,Tue May 16 20:34:46 +0000 2017,8.6458E+17,10,59,Supporting women’s health is not a partisan issue.,SenKamalaHarris,Kamala Harris,California,Republican
14,Tue May 16 20:34:26 +0000 2017,8.6458E+17,6,44,"Under the health care bill House Republicans passed, states effectively could choose whether insurers are required to cover maternity care.",SenKamalaHarris,Kamala Harris,California,Republican
15,Tue May 16 20:33:14 +0000 2017,8.6458E+17,7,35,"Before the ACA, insurers could charge women more just for being women &amp; they didn’t all have to cover birth control or maternity care.",SenKamalaHarris,Kamala Harris,California,Republican
16,Tue May 16 20:31:51 +0000 2017,8.64579E+17,2,49,"But seriously, let’s talk about what women have gained under the Affordable Care Act and what’s at stake in this health care debate.",SenKamalaHarris,Kamala Harris,California,Republican
17,Tue May 16 20:27:56 +0000 2017,8.64578E+17,69,853,Wishing the Republican Party’s women’s health care experts a happy Women's Health Week. https://t.co/GpeS9vec06,SenKamalaHarris,Kamala Harris,California,Republican
18,Tue May 16 19:20:36 +0000 2017,8.64561E+17,6,176,This decision makes women around the world less safe. https://t.co/qeyzTsU8lP,SenKamalaHarris,Kamala Harris,California,Republican
19,Tue May 16 18:15:00 +0000 2017,8.64545E+17,8,164,This “review process” could mean the elimination of some of our National Monuments. Please weigh in &amp; share widely. https://t.co/kYtRhfhXoy,SenKamalaHarris,Kamala Harris,California,Republican
20,Tue May 16 17:49:01 +0000 2017,8.64538E+17,2,12,Congratulations to @LBCityLibrary &amp; Peralta Hacienda Historical Park for earning @US_IMLS National Medals!,SenKamalaHarris,Kamala Harris,California,Republican
21,Tue May 16 16:19:54 +0000 2017,8.64516E+17,14,65,"This is the time to fight not a ""War on Drugs"" but a war on drug addiction.",SenKamalaHarris,Kamala Harris,California,Republican
22,Tue May 16 16:18:49 +0000 2017,8.64515E+17,21,95,"While I don’t believe in legalizing all drugs, we need to do the smart thing, the right thing, and finally decriminalize marijuana.",SenKamalaHarris,Kamala Harris,California,Republican
23,Tue May 16 16:18:21 +0000 2017,8.64515E+17,5,14,...they’ve also got to care about drug-addicted young man in Chicago or East LA.,SenKamalaHarris,Kamala Harris,California,Republican
24,Tue May 16 16:18:01 +0000 2017,8.64515E+17,3,17,"We need to make this administration understand that if they care about the opioid crisis in rural America, as they say they do...",SenKamalaHarris,Kamala Harris,California,Republican
25,Tue May 16 16:17:38 +0000 2017,8.64515E+17,2,13,"We need to fund, not defund, the Office of National Drug Control Policy.",SenKamalaHarris,Kamala Harris,California,Republican
26,Tue May 16 16:17:09 +0000 2017,8.64515E+17,1,24,"We need to build on reforms, instead of reviving mandatory minimums and boosting bottom lines for private prisons.",SenKamalaHarris,Kamala Harris,California,Republican
27,Tue May 16 16:16:55 +0000 2017,8.64515E+17,4,32,"We need a national drug policy that finally treats substance abuse not as a crime to be punished, but as a disease to be treated.",SenKamalaHarris,Kamala Harris,California,Republican
