,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 16:01:23 +0000 2017,8.66E+17,52,497,"When it comes to our health care, it’s personal. So pick up the phones, go to town halls, march. Tell your stories.",SenGillibrand,Kirsten Gillibrand,New York,Democratic
1,Sat May 20 22:24:09 +0000 2017,8.66E+17,90,685,"This is shameful. As elected leaders, we should be trying to help people. This only harms Americans. https://t.co/u5C9ODG2vF",SenGillibrand,Kirsten Gillibrand,New York,Democratic
2,Sat May 20 16:01:25 +0000 2017,8.66E+17,81,163,"Making calls? 
At town halls?
Marching? 
Running?

Tell me: How are you getting #offthesidelines? https://t.co/yjvnWH7Vkd",SenGillibrand,Kirsten Gillibrand,New York,Democratic
3,Sat May 20 14:38:43 +0000 2017,8.66E+17,134,755,Disgraceful. https://t.co/nirk2Ury1Y,SenGillibrand,Kirsten Gillibrand,New York,Democratic
4,Fri May 19 22:13:03 +0000 2017,8.66E+17,30,190,Running for office can be tough. My advice? Think of someone who fought long and hard for something that mattered t… https://t.co/vEkfPaDMKO,SenGillibrand,Kirsten Gillibrand,New York,Democratic
5,Fri May 19 18:50:30 +0000 2017,8.66E+17,34,233,I just published “No more excuses: America needs a real national paid family and medical leave plan now!” https://t.co/3ZWaPTkCmP,SenGillibrand,Kirsten Gillibrand,New York,Democratic
6,Thu May 18 22:45:47 +0000 2017,8.65E+17,42,120,"Enjoyed talking softball with my new girlfriend, Chelsea Handler. Check out her show this Friday. https://t.co/hBEUK2WkkH",SenGillibrand,Kirsten Gillibrand,New York,Democratic
7,Wed May 17 22:53:57 +0000 2017,8.65E+17,60,502,This only happened because regular people raised their voices. Advocacy matters.,SenGillibrand,Kirsten Gillibrand,New York,Democratic
8,Wed May 17 22:53:36 +0000 2017,8.65E+17,30,255,Important step in the right direction. We need to get to the bottom of this mess. https://t.co/T3tVFlhIhd,SenGillibrand,Kirsten Gillibrand,New York,Democratic
9,Wed May 17 21:17:41 +0000 2017,8.65E+17,7,36,"It's an honor to be fighting the fight against hunger with you, @newyorkhunger.",SenGillibrand,Kirsten Gillibrand,New York,Democratic
10,Tue May 16 22:40:53 +0000 2017,8.65E+17,120,729,Huge concerns. We need an independent special prosecutor NOW. https://t.co/QL4zu7SVQq,SenGillibrand,Kirsten Gillibrand,New York,Democratic
11,Tue May 16 22:10:02 +0000 2017,8.65E+17,34,99,Starting a campaign? You’ll need people in your corner. Don’t be afraid to ask for help. https://t.co/xioWbf0Sy6,SenGillibrand,Kirsten Gillibrand,New York,Democratic
12,Tue May 16 18:17:50 +0000 2017,8.65E+17,30,267,"My commonsense bill, the FAMILY Act, is a REAL paid leave program. So let’s pass it. The time for excuses is over. https://t.co/iuBSKYMY3A",SenGillibrand,Kirsten Gillibrand,New York,Democratic
13,Tue May 16 16:07:35 +0000 2017,8.65E+17,49,272,We must not stop until we have full transparency &amp; accountability. That means not voting on FBI Director until Special Prosecutor is named.,SenGillibrand,Kirsten Gillibrand,New York,Democratic
14,Tue May 16 15:59:20 +0000 2017,8.65E+17,89,479,This President is creating chaos that doesn’t create a single job or make us safer.,SenGillibrand,Kirsten Gillibrand,New York,Democratic
15,Tue May 16 15:58:18 +0000 2017,8.65E+17,75,528,Last night’s report has taken us to a whole new level of abnormal. This is not business as usual.,SenGillibrand,Kirsten Gillibrand,New York,Democratic
16,Tue May 16 14:30:43 +0000 2017,8.64E+17,67,396,"Income inequality is a drag on the economy. That’s why we need:

—Paid leave
—A $15 minimum wage
—Equal pay",SenGillibrand,Kirsten Gillibrand,New York,Democratic
17,Mon May 15 20:01:15 +0000 2017,8.64E+17,63,1133,"Let me be clear: Affordable, preventive care for women is non-negotiable.",SenGillibrand,Kirsten Gillibrand,New York,Democratic
18,Mon May 15 15:01:21 +0000 2017,8.64E+17,185,1359,Know who would suffer the most under the House Republicans’ disastrous health bill? Women. Older Americans. Low income Americans.,SenGillibrand,Kirsten Gillibrand,New York,Democratic
19,Sun May 14 20:00:40 +0000 2017,8.64E+17,15,140,"When we can support our working moms, we can lift up every family. A great reminder on this Mother’s Day. 
https://t.co/Bi3DgiULRw",SenGillibrand,Kirsten Gillibrand,New York,Democratic
20,Sun May 14 15:01:32 +0000 2017,8.64E+17,19,68,"To my mother, who has always been in my corner, and to every mom out there who gives it her all every single day: H… https://t.co/0jnPsSFenA",SenGillibrand,Kirsten Gillibrand,New York,Democratic
21,Sat May 13 19:30:31 +0000 2017,8.63E+17,179,1009,"The Senate GOP’s health care bill is being written by 13 men! That’s shocking, even for Washington.",SenGillibrand,Kirsten Gillibrand,New York,Democratic
22,Sat May 13 14:01:08 +0000 2017,8.63E+17,84,1182,Here’s how you can demand support for an independent investigation into the Trump campaign and Russia. https://t.co/yRzUujr5Ev,SenGillibrand,Kirsten Gillibrand,New York,Democratic
