,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 21:31:01 +0000 2017,8.65319E+17,11,7,Great to welcome students from Jasper Middle School (Jasper) &amp; T.A. Dugger Jr High School (Elizabethton) to Washing… https://t.co/W8Rq7XtzPW,SenAlexander,Lamar Alexander,Tennessee,Republican
1,Thu May 18 16:07:22 +0000 2017,8.65237E+17,11,9,"Alexander introduced Nashvillian Bill Hagerty, nominee for Ambassador to Japan, at his hearing before Senate Foreig… https://t.co/WgnOs2Uasa",SenAlexander,Lamar Alexander,Tennessee,Republican
2,Tue May 16 18:58:47 +0000 2017,8.64556E+17,46,3,"The sooner we pass this legislation, the better—to give patients, doctors, FDA reviewers, and companies certainty.",SenAlexander,Lamar Alexander,Tennessee,Republican
3,Tue May 16 18:57:57 +0000 2017,8.64556E+17,1,1,A delay in reauthorizing these agreements would delay the reviews of drugs and devices submitted after April 1,SenAlexander,Lamar Alexander,Tennessee,Republican
4,Tue May 16 18:54:07 +0000 2017,8.64555E+17,10,4,"If we do not move to pass these agreements in late July, the FDA will be forced to send layoff notices to more than 5,000 FDA employees",SenAlexander,Lamar Alexander,Tennessee,Republican
5,Tue May 16 18:52:54 +0000 2017,8.64554E+17,1,3,"The FDA Reauthorization Act, sponsored by me &amp; Senator Murray, reauthorizes the four user fee agreements that expire at the end of September",SenAlexander,Lamar Alexander,Tennessee,Republican
6,Tue May 16 18:51:55 +0000 2017,8.64554E+17,3,2,The FDA is the agency responsible for making sure the promise of the 21st Century Cures Act actually reaches America’s patients,SenAlexander,Lamar Alexander,Tennessee,Republican
7,Tue May 16 18:51:39 +0000 2017,8.64554E+17,4,4,Now the next step ... is to fund the Food and Drug Administration.,SenAlexander,Lamar Alexander,Tennessee,Republican
8,Tue May 16 18:51:00 +0000 2017,8.64554E+17,2,3,"21st Century Cures became law last year and provided $4.8 billion for medical research, on top of the support Congress already provides",SenAlexander,Lamar Alexander,Tennessee,Republican
9,Tue May 16 18:49:39 +0000 2017,8.64553E+17,4,1,"This was legislation to spur research and development of cures, devices and treatments for some of the most deadly illnesses and diseases",SenAlexander,Lamar Alexander,Tennessee,Republican
10,Tue May 16 18:49:24 +0000 2017,8.64553E+17,0,1,"Just five months back , 94 members of this body voted for a bill called the 21st Century Cures Act.",SenAlexander,Lamar Alexander,Tennessee,Republican
11,Tue May 16 18:49:15 +0000 2017,8.64553E+17,3,2,Happening now. Watch here: https://t.co/ABXP4SxvMz https://t.co/I2lhqamIn9,SenAlexander,Lamar Alexander,Tennessee,Republican
12,Tue May 16 18:46:22 +0000 2017,8.64553E+17,3,3,WATCH: Around 3:00 p.m. ET Senator Alexander will speak on the floor about the bipartisan FDA user fee agreements https://t.co/ABXP4SxvMz,SenAlexander,Lamar Alexander,Tennessee,Republican
