,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 00:52:48 +0000 2017,8.65732E+17,334,107,My statement on news former FBI Director Comey will not testify before the @senjudiciary Committee. https://t.co/35zTW5OMKg,LindseyGrahamSC,Lindsey Graham,South Carolina,Republican
1,Fri May 19 16:40:14 +0000 2017,8.65608E+17,62,24,"Lunch today at the famous and tasty -- Grits and Groceries -- in Belton.  

The live up to their motto -- ""Real foo… https://t.co/pMAhMhFQm9",LindseyGrahamSC,Lindsey Graham,South Carolina,Republican
2,Fri May 19 16:30:57 +0000 2017,8.65606E+17,115,27,I can’t think of one major witness Congress would want to talk to -- that Mueller wouldn’t also want to talk to. (2),LindseyGrahamSC,Lindsey Graham,South Carolina,Republican
3,Fri May 19 16:29:58 +0000 2017,8.65605E+17,107,21,To those who wonder if the appointment of a Special Counsel will restrict Congress ability to move forward in its investigation….(1),LindseyGrahamSC,Lindsey Graham,South Carolina,Republican
4,Thu May 18 18:22:54 +0000 2017,8.65271E+17,92,38,My thoughts on the Syria air strikes. https://t.co/0vb9ibPCx5,LindseyGrahamSC,Lindsey Graham,South Carolina,Republican
5,Thu May 18 17:58:52 +0000 2017,8.65265E+17,131,15,Will be speaking with Fox News in just a few minutes. Tune in.,LindseyGrahamSC,Lindsey Graham,South Carolina,Republican
6,Thu May 18 17:44:38 +0000 2017,8.65262E+17,74,31,I will be speaking with @FoxNews about the Syrian airstrike and Mueller appointment at 2 PM.  Hope you tune in. https://t.co/M1gUuiUNMj,LindseyGrahamSC,Lindsey Graham,South Carolina,Republican
7,Thu May 18 17:00:04 +0000 2017,8.65251E+17,111,20,Will be speaking with @FoxNews at 2 pm today about the appointment of Robert Mueller as special counsel and other issues.,LindseyGrahamSC,Lindsey Graham,South Carolina,Republican
8,Wed May 17 13:29:50 +0000 2017,8.64835E+17,54,36,"Just heard the news.  

Thom and his wonderful family are very much in my prayers.  

He’s one fine man. https://t.co/IBa0rz6Evu",LindseyGrahamSC,Lindsey Graham,South Carolina,Republican
9,Mon May 15 16:47:53 +0000 2017,8.6416E+17,366,56,"President Obama’s ‘courageous’ approach to Syria has come back to haunt the people of Syria, the Middle East, and the world at large.",LindseyGrahamSC,Lindsey Graham,South Carolina,Republican
