,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 16:53:37 +0000 2017,8.64887E+17,448,954,"Like many Alaskans, I’m concerned about the continuous and often conflicting reports about President Trump, the FBI… https://t.co/E8O6Prfo7I",lisamurkowski,Lisa Murkowski,Alaska,Republican
1,Tue May 16 21:45:17 +0000 2017,8.64598E+17,7,12,Sending @maziehirono and her family strength as she battles this terrible disease. https://t.co/eEBHsZ8mnV,lisamurkowski,Lisa Murkowski,Alaska,Republican
2,Tue May 16 20:27:35 +0000 2017,8.64578E+17,5,8,Headed to Senate floor to talk about #NationalPoliceWeek &amp; honor life of fallen Fbks office Sgt. Brandt. Watch live: https://t.co/UxNdvdct3X,lisamurkowski,Lisa Murkowski,Alaska,Republican
3,Mon May 15 20:25:09 +0000 2017,8.64215E+17,17,8,"This weekend kicked off #NationalPoliceWeek, as we reflect on the service &amp; sacrifice made by our law enforcement o… https://t.co/wP62BlhhF7",lisamurkowski,Lisa Murkowski,Alaska,Republican
4,Mon May 15 16:53:46 +0000 2017,8.64162E+17,9,6,I had a lovely #MothersDay picking fiddlehead ferns with my son Nic in Girdwood! https://t.co/jlo9iJSjAO,lisamurkowski,Lisa Murkowski,Alaska,Republican
5,Fri May 12 18:25:02 +0000 2017,8.63098E+17,31,5,Love this photo. Alaska is truly the heart of America’s Arctic. https://t.co/oQN0A5gPxP,lisamurkowski,Lisa Murkowski,Alaska,Republican
6,Fri May 12 17:58:32 +0000 2017,8.63091E+17,21,7,"Great talk w/ mayors from 8 Arctic nations, highlighting the role of local government in addressing challenges/oppo… https://t.co/tyGodOWObL",lisamurkowski,Lisa Murkowski,Alaska,Republican
7,Thu May 11 22:43:51 +0000 2017,8.628E+17,17,7,"At the opening ceremony at Arctic Council Ministerial with minister Timo Soini of Finland, the new chair of the Arc… https://t.co/hEkuFIN2Gz",lisamurkowski,Lisa Murkowski,Alaska,Republican
8,Wed May 10 15:01:48 +0000 2017,8.62322E+17,223,118,My statement on President Trump's announcement that he fired FBI Director James Comey: https://t.co/lU6R1GBEsb,lisamurkowski,Lisa Murkowski,Alaska,Republican
9,Tue May 09 20:36:02 +0000 2017,8.62044E+17,20,8,Happy #NationalTeacherDay! Thank you to the teachers who have dedicated themselves to enriching and bettering the l… https://t.co/p5aPCDz6kF,lisamurkowski,Lisa Murkowski,Alaska,Republican
10,Tue May 09 15:20:47 +0000 2017,8.61964E+17,3,4,".@SenDanSullivan Many communities in Tongass &amp; Chugach rely on SRS to fund vital services like public schooling, em… https://t.co/kJ6iMSU7Db",lisamurkowski,Lisa Murkowski,Alaska,Republican
11,Tue May 09 15:20:06 +0000 2017,8.61964E+17,4,3,.@SenDanSullivan SRS helps resource-dependent communities with tax-exempt federal lands to provide essential public services.,lisamurkowski,Lisa Murkowski,Alaska,Republican
12,Tue May 09 15:19:29 +0000 2017,8.61964E+17,7,9,I appreciate @SenateMajLrd commitment to work w/ @SenDanSullivan &amp; me to reauthorize Secure Rural Schools program. https://t.co/BGytr9PhrO,lisamurkowski,Lisa Murkowski,Alaska,Republican
13,Mon May 08 19:55:59 +0000 2017,8.61671E+17,10,13,"Arctic Week starts today, w/ more than 1,000 ppl from around the world meeting in #Fairbanks for the @ArcticCouncil… https://t.co/QIE4OkrrV0",lisamurkowski,Lisa Murkowski,Alaska,Republican
14,Mon May 08 16:16:54 +0000 2017,8.61616E+17,3,1,Great showing at the Alaska Aviation Gathering in Anchorage this past weekend! https://t.co/C9ioqSypx1,lisamurkowski,Lisa Murkowski,Alaska,Republican
15,Sat May 06 00:27:52 +0000 2017,8.60652E+17,2,12,"Today Anchorage honored the men &amp; women of law enforcement for Alaska Police Memorial Day, to remember the lives lo… https://t.co/mffPYoIzb8",lisamurkowski,Lisa Murkowski,Alaska,Republican
16,Fri May 05 19:39:54 +0000 2017,8.6058E+17,7,3,I thank John Lee for his years of service as the CEO of Mat-Su Regional Medical Center. Best of luck with your futu… https://t.co/Z2FauyDma4,lisamurkowski,Lisa Murkowski,Alaska,Republican
17,Thu May 04 18:57:39 +0000 2017,8.60207E+17,16,8,"Senate passed omnibus funding bill today, which provides critical stability, protections, &amp; opportunities for AK:… https://t.co/d2Q950yyTu",lisamurkowski,Lisa Murkowski,Alaska,Republican
18,Thu May 04 16:40:17 +0000 2017,8.60172E+17,7,3,Headed to the @SenateFloor to discuss the Omnibus Bill &amp; how it impacts Alaskans. Watch live floor here: https://t.co/JMtOTcYT6C,lisamurkowski,Lisa Murkowski,Alaska,Republican
19,Wed May 03 21:20:31 +0000 2017,8.5988E+17,17,5,I'm holding a Facebook Live discussion tomorrow on funding the government &amp; Alaska's priorities. I can't wait to he… https://t.co/VLCA703lGv,lisamurkowski,Lisa Murkowski,Alaska,Republican
20,Tue May 02 21:35:04 +0000 2017,8.59522E+17,2,4,Congrats to the winners of the 2017 50th Annual Masonic Outstanding Student Awards - a truly impressive group of yo… https://t.co/8OIPbee0uY,lisamurkowski,Lisa Murkowski,Alaska,Republican
21,Mon May 01 14:56:31 +0000 2017,8.59059E+17,5,8,Sounds like Alaskans in Southeast experienced quite an earthquake this morning – hope everyone is safe! https://t.co/45HzKz4m6x,lisamurkowski,Lisa Murkowski,Alaska,Republican
22,Sun Apr 30 18:05:02 +0000 2017,8.58744E+17,3,3,It was an honor to receive an award from the Close-Up Foundation with the teachers and parents who help us bring yo… https://t.co/LNpQa54ZXW,lisamurkowski,Lisa Murkowski,Alaska,Republican
23,Sat Apr 29 20:00:04 +0000 2017,8.58411E+17,7,9,Met w/ AK Assoc. of Secondary School Principals to discuss important education issues like teacher shortages &amp; grea… https://t.co/rg0qTSWNKi,lisamurkowski,Lisa Murkowski,Alaska,Republican
24,Sat Apr 29 00:04:03 +0000 2017,8.5811E+17,1,8,Good luck to the young athletes celebrating Alaska’s rich cultural heritage by partaking in The 47th Native Youth O… https://t.co/NsqfVUmRnF,lisamurkowski,Lisa Murkowski,Alaska,Republican
25,Fri Apr 28 19:56:59 +0000 2017,8.58047E+17,47,33,Alaskans support offshore Arctic development. I applaud @POTUS's commitment to explore development opportunities:… https://t.co/UUgvFLqDhZ,lisamurkowski,Lisa Murkowski,Alaska,Republican
26,Thu Apr 27 17:05:50 +0000 2017,8.57642E+17,2,6,"Had the pleasure of meeting Bob Williams, an exceptional educator &amp; the first Alaskan to be inducted into the Natio… https://t.co/Cm84QDBHV0",lisamurkowski,Lisa Murkowski,Alaska,Republican
27,Thu Apr 27 03:24:17 +0000 2017,8.57435E+17,19,12,2nd EO signed by @POTUS returns control of education decisions to those closest to students &amp; reduces gov. control. https://t.co/Rm8UYd5eg1,lisamurkowski,Lisa Murkowski,Alaska,Republican
28,Thu Apr 27 00:21:09 +0000 2017,8.57389E+17,0,4,"Thanks to the crews for your heroism, bravery &amp; determination during this mission &amp; cont'd. efforts to keep us safe. https://t.co/aMYW6YFebh",lisamurkowski,Lisa Murkowski,Alaska,Republican
29,Thu Apr 27 00:08:01 +0000 2017,8.57386E+17,3,4,"Congrats to the crews of Air Force Rescue 466/471/2108, the Guardian Angel team Bruin 01, &amp; members of the Alaska R… https://t.co/tcZMVjOOCb",lisamurkowski,Lisa Murkowski,Alaska,Republican
30,Wed Apr 26 23:13:06 +0000 2017,8.57372E+17,21,27,Thanks @POTUS. I’ll hold you to it! https://t.co/cKAt7mAgDz,lisamurkowski,Lisa Murkowski,Alaska,Republican
31,Tue Apr 25 21:58:59 +0000 2017,8.56991E+17,8,4,Met with the staff of the Fairbanks Cancer Care Physicians to discuss cancer care in Interior Alaska. Our state is… https://t.co/jWmkA2T4sC,lisamurkowski,Lisa Murkowski,Alaska,Republican
32,Mon Apr 24 22:13:30 +0000 2017,8.56632E+17,4,5,Congrats to Gov. Sonny Perdue on his successful confirmation to be our next @USDA Secretary:… https://t.co/65a6jO9FBm,lisamurkowski,Lisa Murkowski,Alaska,Republican
33,Mon Apr 24 21:49:34 +0000 2017,8.56626E+17,9,11,"On #HolocaustRemembranceDay, we remember the millions of innocent people who lost their lives. They will not be forgotten. #NeverAgain",lisamurkowski,Lisa Murkowski,Alaska,Republican
34,Mon Apr 24 16:30:37 +0000 2017,8.56546E+17,20,7,"Headed back to Washington, DC today. Beautiful views flying out of Anchorage. https://t.co/GlzpZ9X4AR",lisamurkowski,Lisa Murkowski,Alaska,Republican
35,Fri Apr 21 23:53:48 +0000 2017,8.5557E+17,5,6,Spoke to @AKAlliance members in Kenai today on the need to access and responsibly develop our resources. https://t.co/QhdUBchA1D,lisamurkowski,Lisa Murkowski,Alaska,Republican
36,Fri Apr 21 20:14:04 +0000 2017,8.55515E+17,1,3,Beacon Fire Training Facility facility provides valuable service training crews for aircraft rescue &amp; fire fighting. https://t.co/S0ZcEOOGyM,lisamurkowski,Lisa Murkowski,Alaska,Republican
37,Fri Apr 21 20:06:45 +0000 2017,8.55513E+17,1,4,"Went to @ Beacon Fire Training Facility in Kenai, the sole FAA-certified regional fire training center in AK. https://t.co/kUVuVu8RQJ",lisamurkowski,Lisa Murkowski,Alaska,Republican
38,Thu Apr 20 23:00:44 +0000 2017,8.55195E+17,3,7,Met w/members of the Nat'l Restaurant Assoc. today to discuss tax reform and other issues impacting AK's small busi… https://t.co/l8Bd7eYDFQ,lisamurkowski,Lisa Murkowski,Alaska,Republican
39,Wed Apr 19 21:24:16 +0000 2017,8.54808E+17,7,11,"Great visit to Mat-Su Career/Technical High School, touring the new building, &amp; seeing the world-class training the… https://t.co/xVwmZ40xHO",lisamurkowski,Lisa Murkowski,Alaska,Republican
40,Wed Apr 19 00:43:39 +0000 2017,8.54496E+17,6,6,Such a warm welcome at Meade River School in Atqasuk. https://t.co/f5Umbh1RlD,lisamurkowski,Lisa Murkowski,Alaska,Republican
41,Tue Apr 18 23:01:24 +0000 2017,8.5447E+17,3,3,Fantastic visit to Meade River School in Atqasuk! https://t.co/ZB1l7UvHQC,lisamurkowski,Lisa Murkowski,Alaska,Republican
42,Tue Apr 18 17:38:06 +0000 2017,8.54389E+17,6,8,#Quintillion Fiber Optic System will deliver high-speed broadband &amp; bring more opportunities to rural communities. https://t.co/oLQ3eVUZ7t,lisamurkowski,Lisa Murkowski,Alaska,Republican
43,Tue Apr 18 17:32:37 +0000 2017,8.54387E+17,5,7,Proud to join @SenDanSullivan &amp; @repdonyoung in Deadhorse @ launch of the #Quintillion fiber system. https://t.co/YRXUSAZ3Rv,lisamurkowski,Lisa Murkowski,Alaska,Republican
44,Mon Apr 17 18:35:39 +0000 2017,8.54041E+17,20,5,Flying over the Brooks Range headed to Prudhoe Bay. #Alaska https://t.co/7u4PvgwuwG,lisamurkowski,Lisa Murkowski,Alaska,Republican
45,Sun Apr 16 22:23:30 +0000 2017,8.53736E+17,7,7,One of my favorite family traditions this time of yr - our annual egg decorating contest. Happy Easter everyone! https://t.co/8ngPMRKG38,lisamurkowski,Lisa Murkowski,Alaska,Republican
