,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 19:30:42 +0000 2017,8.64926E+17,0,1,Pleasure being on @NRATV today. I will always continue fighting to defend and advance our #2A rights! https://t.co/2QML3vmYnw,lutherstrange,Luther Strange,Alabama,Republican
1,Wed May 17 15:45:27 +0000 2017,8.64869E+17,10,2,"As an Alabama conservative with experience in fighting corruption, I will work to clean up the mess in Washington… https://t.co/fezhHDh7Xy",lutherstrange,Luther Strange,Alabama,Republican
2,Tue May 16 18:56:44 +0000 2017,8.64555E+17,12,1,Watch how I plan to end sanctuary cities so we can keep Americans safe. https://t.co/hf0pKrnGGA,lutherstrange,Luther Strange,Alabama,Republican
3,Tue May 16 18:36:46 +0000 2017,8.6455E+17,10,1,"With sanctuary cities refusing to enforce the law, I have a plan to keep Americans safe.
1. Block federal grants to sanctuary cities
#ALSEN",lutherstrange,Luther Strange,Alabama,Republican
4,Tue May 16 14:30:08 +0000 2017,8.64488E+17,22,5,It's time to put an end to sanctuary cities. #LetLiberalsPayForTheWall #FollowTheLawOrFundTheWall #ALSEN https://t.co/VWYrxvhZVw,lutherstrange,Luther Strange,Alabama,Republican
5,Tue May 16 01:40:03 +0000 2017,8.64294E+17,30,12,Retweet if you are tired of liberals ignoring the law! #FollowTheLawOrPayForTheWall https://t.co/oQLnwiVK7V,lutherstrange,Luther Strange,Alabama,Republican
6,Tue May 16 00:57:33 +0000 2017,8.64284E+17,14,3,Proud to introduce the Securing the Border and Protecting Our Communities Act. #LetLiberalsPayForTheWall https://t.co/x5s0lkdvum,lutherstrange,Luther Strange,Alabama,Republican
7,Mon May 15 14:39:19 +0000 2017,8.64128E+17,3,1,We pay tribute to those who sacrificed themselves to keep us safe. Thank you for your service.… https://t.co/M6jytEpBuR,lutherstrange,Luther Strange,Alabama,Republican
8,Sat May 13 17:19:31 +0000 2017,8.63444E+17,16,5,"As an avid sportsman, I'm proud to co-sponsor this fix so that silencing devices are accessible to gun enthusiasts.
https://t.co/69Q86RX0mw",lutherstrange,Luther Strange,Alabama,Republican
9,Sat May 13 13:36:11 +0000 2017,8.63387E+17,36,2,I stand by @realDonaldTrump and Attorney General Jeff Sessions' decision to fire James Comey. Do you? #ComeyFiring https://t.co/glP5iBJrWm,lutherstrange,Luther Strange,Alabama,Republican
10,Fri May 12 02:25:09 +0000 2017,8.62856E+17,19,5,"I fought and won against corrupt politicians in Montgomery. Now, I'm ready to do the same as your U.S. Senator.… https://t.co/SRLiUa7NAS",lutherstrange,Luther Strange,Alabama,Republican
11,Thu May 11 20:38:15 +0000 2017,8.62769E+17,16,2,I proved as AG an outsider can clean up Montgomery. I will help @realDonaldTrump do the same in DC. Join us.… https://t.co/EPQRrcQ54P,lutherstrange,Luther Strange,Alabama,Republican
12,Wed May 10 22:53:43 +0000 2017,8.62441E+17,11,2,I have the utmost confidence in AG Jeff Sessions and am focusing on how we move the FBI forward. #ALSEN #ComeyFiring https://t.co/tPNslE2xhk,lutherstrange,Luther Strange,Alabama,Republican
13,Tue May 09 22:36:46 +0000 2017,8.62074E+17,49,3,As AG I went to Montgomery to fight corrupt insiders and special interests. I'm ready to do the same in DC as senat… https://t.co/r3K8mlWVGd,lutherstrange,Luther Strange,Alabama,Republican
14,Tue May 09 18:07:09 +0000 2017,8.62006E+17,5,1,"Obamacare failed to provide care people need so I will work to get a #RepealAndReplace plan that puts patients first
https://t.co/KuCsbgX6bz",lutherstrange,Luther Strange,Alabama,Republican
15,Sun May 07 17:00:08 +0000 2017,8.61264E+17,13,3,Alabamians want America's military might restored and the border wall built. These are the priorities I'll keep fig… https://t.co/UkqtlnK7Mo,lutherstrange,Luther Strange,Alabama,Republican
16,Sat May 06 18:55:03 +0000 2017,8.60931E+17,16,4,"Funding for #PlannedParenthood and #sanctuarycities, but nothing for the wall? No way. DC must do better. I'll figh… https://t.co/WAYNH7suKJ",lutherstrange,Luther Strange,Alabama,Republican
17,Fri May 05 17:47:45 +0000 2017,8.60552E+17,8,3,"Under @realDonaldTrump, we've created a pro-growth economic environment that's beating expectations! #ALpolitics… https://t.co/RoO3nXUwfy",lutherstrange,Luther Strange,Alabama,Republican
