,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 21:07:42 +0000 2017,8.66038E+17,0,6,Congratulations @UNHLaw and River Valley Community College Classes of 2017 - I can't wait to see what you accomplis… https://t.co/G860nRtrXe,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
1,Sat May 20 19:00:16 +0000 2017,8.66006E+17,0,13,"Thank you to all the brave Granite Staters and Americans who serve to keep us safe, secure &amp; free #ArmedForcesDay",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
2,Fri May 19 20:59:15 +0000 2017,8.65673E+17,3,11,I was honored to attend the NH Law Enforcement Officers Memorial Ceremony - a reminder of how much we owe those who… https://t.co/YD8IYoO2km,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
3,Fri May 19 19:48:30 +0000 2017,8.65655E+17,0,5,"Thank you, American Legion Department of NH Convention, for having me today to discuss how we must do more for vete… https://t.co/v7jZCvcsnD",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
4,Fri May 19 18:06:06 +0000 2017,8.6563E+17,9,14,.@SenatorShaheen &amp; I cosponsored legislation to prevent credit discrimination against LGBTQ Americans. Read more: https://t.co/MI12Wuh8Fo,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
5,Fri May 19 16:42:35 +0000 2017,8.65609E+17,0,5,"Great to be at the NH Forum on the Future, talking with business leaders &amp; educators about what we need to do to su… https://t.co/75yzplEXO5",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
6,Fri May 19 15:57:13 +0000 2017,8.65597E+17,3,17,"Trump's budget proposal would be devastating to Friendship House, the only residential drug treatment center in NH'… https://t.co/GoxK5l79fm",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
7,Fri May 19 15:39:39 +0000 2017,8.65593E+17,1,4,Important story on NH substance misuse advocates who are troubled by the Trump Administration’s actions so far… https://t.co/VOzYXaydVA,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
8,Thu May 18 19:17:24 +0000 2017,8.65285E+17,1,25,Check out my latest @Medium post about why it’s so critical that we protect Net Neutrality rules: https://t.co/ssWqVaInuM,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
9,Thu May 18 18:38:14 +0000 2017,8.65275E+17,3,23,"#Trumpcare cuts NH’s Medicaid funding for children by nearly 20 percent, according to this new study. I’ll fight to… https://t.co/IXHEF5O5qy",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
10,Thu May 18 17:52:16 +0000 2017,8.65264E+17,4,8,"This #InfrastructureWeek, let’s recommit to investing in our roads, bridges &amp; so much more for the good of our economy &amp; safety #TimetoBuild",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
11,Thu May 18 14:46:49 +0000 2017,8.65217E+17,4,8,I will fight this dangerous proposal &amp; continue working to improve our public education system so that all students have equal opportunity.,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
12,Thu May 18 14:46:23 +0000 2017,8.65217E+17,5,19,"This is the misguided Trump-DeVos agenda of diverting taxpayer dollars to private, religious, &amp; for-profit schools without accountability.",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
13,Thu May 18 14:45:59 +0000 2017,8.65217E+17,8,70,This proposal from President Trump &amp; Secretary DeVos would be nothing short of a disaster for our public education… https://t.co/tEa0OjwaWq,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
14,Thu May 18 00:32:37 +0000 2017,8.65002E+17,0,2,The Eastern Conference Finals begin tonight! Let's go @Celtics! #ItsNotLuck #BeatCleveland,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
15,Wed May 17 22:53:30 +0000 2017,8.64977E+17,7,23,My statement on former FBI Director Robert Mueller's appointment as special counsel: https://t.co/nY4mCdMJrP https://t.co/1cL79EOYD7,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
16,Wed May 17 21:35:44 +0000 2017,8.64958E+17,1,7,"Today, I discussed a bill I’m cosponsoring w/ @SenatorShaheen to help prevent opioid misuse among student athletes: https://t.co/sCyU5EMB4V",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
17,Wed May 17 21:18:48 +0000 2017,8.64953E+17,5,16,.@SenatorShaheen &amp; I are cosponsoring @SenWarren bill to make it easier to refinance student loan debt. Learn more: https://t.co/dDYUqHCcKT,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
18,Wed May 17 21:01:15 +0000 2017,8.64949E+17,1,9,I was proud to cosponsor the resolution designating this week National Senior Corps Week #SeniorCorpsWorks https://t.co/Qk2Pm51gjS,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
19,Wed May 17 19:53:51 +0000 2017,8.64932E+17,5,22,I strongly oppose changes that would undermine #NetNeutrality. Here’s what I said on the Senate floor today: https://t.co/mOxLGcrOB4,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
20,Wed May 17 19:40:49 +0000 2017,8.64929E+17,4,14,I’m talking on the Senate floor shortly about why #NetNeutrality rules are so important. Tune in: https://t.co/mOxLGcrOB4,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
21,Wed May 17 18:31:44 +0000 2017,8.64911E+17,10,47,"I will stand strong with the people of New Hampshire, my colleagues, &amp; educators in fighting against this dangerous #Trumpcare bill",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
22,Wed May 17 18:31:25 +0000 2017,8.64911E+17,3,12,We cannot afford to go back to the days when we marginalize or don’t assist some of our most vulnerable students,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
23,Wed May 17 18:31:11 +0000 2017,8.64911E+17,4,14,"Without the support from Medicaid, school districts would be faced with cutting services like school nurses &amp; behavioral health services",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
24,Wed May 17 18:30:49 +0000 2017,8.64911E+17,1,10,"#Trumpcare actually makes things even worse than they were before the ACA, with drastic changes and cuts to traditional Medicaid",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
25,Wed May 17 18:30:31 +0000 2017,8.64911E+17,11,103,"Children like my son are able to go to school &amp; participate in their communities because of Medicaid, now under threat by #TrumpCare",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
26,Wed May 17 18:30:07 +0000 2017,8.64911E+17,3,12,"@SenBobCasey I approach issues of education and health care as a Senator, a former Governor, and the mom of a son w… https://t.co/tO40k1T4Gj",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
27,Wed May 17 18:29:50 +0000 2017,8.64911E+17,16,110,I joined @SenBobCasey &amp; advocates to discuss how devastating #Trumpcare would be for students with disabilities: https://t.co/x5npEokG2t,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
28,Wed May 17 17:35:05 +0000 2017,8.64897E+17,0,3,Encouraging everyone to check out these great student projects highlighting the danger of substance misuse… https://t.co/Lj2iqBQPvx,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
29,Wed May 17 17:18:52 +0000 2017,8.64893E+17,2,17,"63 years after Brown v. Board of Education, we must continue to push for full equality of opportunity in our nation… https://t.co/uoCE8UAzDm",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
30,Wed May 17 13:56:23 +0000 2017,8.64842E+17,0,3,"Glad to see you’re ok, @SenThomTillis! https://t.co/k36qmDqV9p",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
31,Tue May 16 21:39:21 +0000 2017,8.64596E+17,2,4,@SenatorShaheen .@SenatorShaheen &amp; I are fighting reckless proposals to eliminate the WH office that coordinates th… https://t.co/H1uoss95sC,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
32,Tue May 16 21:17:15 +0000 2017,8.64591E+17,2,6,"You’re a fighter and an inspiration to us all, Mazie. Sending thoughts and love your way. https://t.co/6cQGFwCDza",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
33,Tue May 16 18:48:14 +0000 2017,8.64553E+17,2,7,Advocates &amp; those on the front lines agree: #Trumpcare would undermine our efforts to combat the opioid epidemic https://t.co/60rTBdBSu4,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
34,Tue May 16 17:26:47 +0000 2017,8.64533E+17,0,2,"Always fun to welcome New Hampshire students to Washington – thanks for stopping by, Shaker Road School! https://t.co/zpDTU4mX2a",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
35,Tue May 16 16:12:00 +0000 2017,8.64514E+17,0,3,"I'll continue working to defeat #Trumpcare, &amp; I stand ready to work with both parties to support those on the front lines &amp; help save lives.",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
36,Tue May 16 16:11:38 +0000 2017,8.64514E+17,1,5,So @SenatorShaheen and I are introducing a bill to reauthorize and expand the Office of National Drug Control Policy,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
37,Tue May 16 16:11:19 +0000 2017,8.64514E+17,1,4,.@POTUS has proposed effectively eliminating the office responsible for coordinating the federal response to this crisis,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
38,Tue May 16 16:10:53 +0000 2017,8.64513E+17,1,6,"We need to be strengthening prevention, treatment, &amp; recovery efforts, not pulling the rug out from under those in the throes of addiction",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
39,Tue May 16 16:10:31 +0000 2017,8.64513E+17,1,3,#Trumpcare also undermines the requirement that insurance companies must cover mental health and substance use disorder services,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
40,Tue May 16 16:09:58 +0000 2017,8.64513E+17,2,5,"#Trumpcare ends Medicaid expansion, which experts have said is the number one tool we have to fight the substance misuse crisis",SenatorHassan,Maggie Hassan,New Hampshire,Democratic
41,Tue May 16 16:09:36 +0000 2017,8.64513E+17,1,4,#Trumpcare would hurt hard-working people across NH &amp; America – particularly harming efforts to combat the substance misuse crisis,SenatorHassan,Maggie Hassan,New Hampshire,Democratic
