,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 10:51:02 +0000 2017,8.65E+17,326,453,"""He who answers before listening-that is his folly and his shame"" Proverbs 18:13",marcorubio,Marco Rubio,Florida,Republican
1,Thu May 18 00:09:45 +0000 2017,8.65E+17,224,239,My statement on appointment of special counsel: https://t.co/q0DEXOaOtB,marcorubio,Marco Rubio,Florida,Republican
2,Wed May 17 23:51:06 +0000 2017,8.65E+17,320,425,Mr. Mueller is widely respected for independence &amp; professionalism. I have full confidence he will conduct a fair &amp; thorough investigation,marcorubio,Marco Rubio,Florida,Republican
3,Wed May 17 17:37:48 +0000 2017,8.65E+17,112,105,Keep America’s bonds with Colombia strong.   My piece in the @MiamiHerald and @elnuevoherald  https://t.co/wJKoqSQsFI,marcorubio,Marco Rubio,Florida,Republican
4,Wed May 17 14:52:34 +0000 2017,8.65E+17,245,200,This morning I was on @FoxNews discussing my @DeptVetAffairs Accountability legislation.  Proud to support our vete… https://t.co/fdXGpylPKy,marcorubio,Marco Rubio,Florida,Republican
5,Wed May 17 12:43:14 +0000 2017,8.65E+17,187,640,Please pray for my Senate colleague @ThomTillis https://t.co/fLBMJ11l5m,marcorubio,Marco Rubio,Florida,Republican
6,Wed May 17 11:25:13 +0000 2017,8.65E+17,273,88,Will be on @FoxNews @foxandfriends at 8:20am Eastern time #sayfie,marcorubio,Marco Rubio,Florida,Republican
7,Wed May 17 11:21:12 +0000 2017,8.65E+17,39,56,Federal Govt. approves $7M oil spill project list https://t.co/FbTkbNW24A,marcorubio,Marco Rubio,Florida,Republican
8,Wed May 17 11:17:33 +0000 2017,8.65E+17,62,73,Before he was acting director of @FBI Andrew McCabe was cross country star @BollesSchool in Jacksonville https://t.co/QwZQWisz1I #sayfie,marcorubio,Marco Rubio,Florida,Republican
9,Wed May 17 11:12:47 +0000 2017,8.65E+17,99,72,"Boynton Beach paramedics went through nearly $1,000 of Narcan last weekend https://t.co/5TgHwYmqFs",marcorubio,Marco Rubio,Florida,Republican
10,Wed May 17 11:09:32 +0000 2017,8.65E+17,29,40,Santa Rosa County gets federal grant for drainage improvements https://t.co/nm8UotclOr via @,marcorubio,Marco Rubio,Florida,Republican
11,Wed May 17 11:00:27 +0000 2017,8.65E+17,69,309,Gracias a @nikkihaley Consejo de Seguridad de la ONU analizará el miércoles la situación en #Venezuela https://t.co/HiLsqt8ldW,marcorubio,Marco Rubio,Florida,Republican
12,Wed May 17 10:55:36 +0000 2017,8.65E+17,56,60,UM researchers find new way to measure hurricanes: ‘gravity waves’ https://t.co/wjuJTDnwoy,marcorubio,Marco Rubio,Florida,Republican
13,Wed May 17 10:36:22 +0000 2017,8.65E+17,565,945,"""I am the vine, you are the branches. Whoever remains in me &amp; I in him will bear much fruit,because without me you can do nothing.""John 15:5",marcorubio,Marco Rubio,Florida,Republican
14,Wed May 17 10:31:51 +0000 2017,8.65E+17,327,404,"""The crucible for silver and the furnace for gold, but the Lord tests the heart."" Proverbs 17:3",marcorubio,Marco Rubio,Florida,Republican
15,Tue May 16 22:51:06 +0000 2017,8.65E+17,752,531,Really? I triggered a @Twitter freakout by quoting the #Bible http: https://t.co/0t0kOi8Yqd,marcorubio,Marco Rubio,Florida,Republican
16,Tue May 16 13:30:12 +0000 2017,8.64E+17,348,110,Yesterday I spent some time  supporting my friend @timhugo in his re-election to the Virginia House of Delegates.… https://t.co/9BpdVUnKYk,marcorubio,Marco Rubio,Florida,Republican
