,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 19:39:00 +0000 2017,8.66015E+17,8,166,The FCC is threatening your internet access. But we’ve won on this before &amp; we can win again. Learn what you can do! https://t.co/Vr07LJfQqb,SenatorCantwell,Maria Cantwell,Washington,Democratic
1,Fri May 19 23:38:00 +0000 2017,8.65713E+17,0,1,"@FCC #NetNeutraility roll back will impact how you watch movies, listen to music, do homework &amp; business, talk to family &amp; consult a doctor",SenatorCantwell,Maria Cantwell,Washington,Democratic
2,Fri May 19 18:18:45 +0000 2017,8.65633E+17,18,15,Ahead of expected busiest year ever - TODAY I'm @SeaTacAirport talking about our need for increased canine units &amp;… https://t.co/KUb7dlFLzE,SenatorCantwell,Maria Cantwell,Washington,Democratic
3,Fri May 19 00:02:30 +0000 2017,8.65357E+17,0,2,"@FCC #NetNeutraility roll back will impact how you watch movies, listen to music, do homework &amp; business, talk to family &amp; consult a doctor",SenatorCantwell,Maria Cantwell,Washington,Democratic
4,Thu May 18 19:16:28 +0000 2017,8.65285E+17,4,30,See what the internet could look like w/o #NetNeutraility rules to protect #OpenInternet &amp; how to #SaveOpenInternet… https://t.co/Jd4tk5YEZW,SenatorCantwell,Maria Cantwell,Washington,Democratic
5,Thu May 18 19:14:22 +0000 2017,8.65284E+17,9,113,Today’s @FCC vote to roll back #NetNeutrality is bad news for every American who depends on #OpenInternet &amp; the 3 million+ jobs it provides,SenatorCantwell,Maria Cantwell,Washington,Democratic
6,Thu May 18 18:36:29 +0000 2017,8.65275E+17,9,33,Here’s what could happen if the FCC rolls back #netneutrality. Visit -&gt; https://t.co/Ok4Nafz8fP https://t.co/6Q5YK3qqRL,SenatorCantwell,Maria Cantwell,Washington,Democratic
7,Thu May 18 14:59:01 +0000 2017,8.6522E+17,4,51,"The jobs of almost 3 million Americans rely on #OpenInternet &amp; a robust Internet economy – 878,400 of those jobs are in Washington state",SenatorCantwell,Maria Cantwell,Washington,Democratic
8,Thu May 18 13:45:01 +0000 2017,8.65202E+17,4,70,Today Trump's @FCC stands ready to go against the demands of 4 million American consumers and reverse existing #NetNeutrality rules,SenatorCantwell,Maria Cantwell,Washington,Democratic
9,Thu May 18 00:14:46 +0000 2017,8.64998E+17,44,55,Congress needs to get to the bottom of what happened with Russian interference into our 2016 election &amp; possible ties to the Trump Admin,SenatorCantwell,Maria Cantwell,Washington,Democratic
