,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 18:53:49 +0000 2017,8.66E+17,1,15,.@Alan_Krueger &amp; it was an honor to introduce you at @TheAAPSS Moynihan Lecture on the future of independent worker… https://t.co/AGuKsq9GXf,MarkWarner,Mark Warner,Virginia,Democratic
1,Fri May 19 22:56:26 +0000 2017,8.66E+17,75,374,Joint statement with @SenatorBurr: Former FBI Director Comey Agrees to Testify in Open Session at Senate Intel Comm… https://t.co/W0I1eeEVCb,MarkWarner,Mark Warner,Virginia,Democratic
2,Fri May 19 15:14:19 +0000 2017,8.66E+17,20,33,"400 good jobs in Staunton, VA are worth celebrating! https://t.co/neJ23ATsS6",MarkWarner,Mark Warner,Virginia,Democratic
3,Thu May 18 21:26:20 +0000 2017,8.65E+17,43,188,.@timkaine &amp; I have contacted ICE &amp; will continue to push to #FreeLiliana. The U.S. shouldn't be in the business of… https://t.co/sibzoPrPeq,MarkWarner,Mark Warner,Virginia,Democratic
4,Thu May 18 16:02:02 +0000 2017,8.65E+17,2,18,@SenateFinance @clairecmc @brianschatz @GOPSenFinance Thank you @SenBrianSchatz &amp; @SenatorWicker for working to inc… https://t.co/E9VEPXw38a,MarkWarner,Mark Warner,Virginia,Democratic
5,Thu May 18 16:00:52 +0000 2017,8.65E+17,8,27,I’m glad @SenateFinance Cmte. is working on a bipartisan basis to pass our CHRONIC Care Act. This is something we c… https://t.co/o47KsXCphn,MarkWarner,Mark Warner,Virginia,Democratic
6,Thu May 18 15:55:37 +0000 2017,8.65E+17,52,181,Nobody is above the rule of law https://t.co/F7gwL1w7Gf,MarkWarner,Mark Warner,Virginia,Democratic
7,Thu May 18 14:04:33 +0000 2017,8.65E+17,2,9,Great chatting with the @WTWCavalry senior class from Fairfax. They even overcame senioritis &amp; listened in on our… https://t.co/nQkjpeQXd6,MarkWarner,Mark Warner,Virginia,Democratic
8,Thu May 18 00:08:10 +0000 2017,8.65E+17,23,52,@SenatorBurr It is critical that Congress continue to investigate Russia’s interference in our election and follow… https://t.co/VGNfXnrUJN,MarkWarner,Mark Warner,Virginia,Democratic
9,Thu May 18 00:07:29 +0000 2017,8.65E+17,10,64,@SenatorBurr Special Counsel Mueller must be allowed to fully conduct an independent investigation free of political influence.,MarkWarner,Mark Warner,Virginia,Democratic
10,Thu May 18 00:06:57 +0000 2017,8.65E+17,8,32,"@SenatorBurr Appointing a Special Counsel is a necessary step to ensure the FBI can carry out a thorough, independe… https://t.co/tTWVLhjwxc",MarkWarner,Mark Warner,Virginia,Democratic
11,Thu May 18 00:06:42 +0000 2017,8.65E+17,24,143,Joint statement with @SenatorBurr on the appointment of Special Counsel Robert Mueller: https://t.co/OwpFoCNaZj,MarkWarner,Mark Warner,Virginia,Democratic
12,Wed May 17 21:01:50 +0000 2017,8.65E+17,11,69,Long past time to recognize these Va tribes. House &amp; @IndianCommittee have passed our bill. We'll keep pushing unti… https://t.co/0OhoGd3yc0,MarkWarner,Mark Warner,Virginia,Democratic
13,Wed May 17 16:24:03 +0000 2017,8.65E+17,80,763,Joint statement with @SenatorBurr: the Senate Intelligence Committee has invited James Comey to testify in open &amp; c… https://t.co/fHXMGt8z4W,MarkWarner,Mark Warner,Virginia,Democratic
14,Wed May 17 13:33:59 +0000 2017,8.65E+17,86,248,Just in case anyone thinks Putin is done trying to undermine our democracy... https://t.co/rI3pJjDwBv,MarkWarner,Mark Warner,Virginia,Democratic
15,Tue May 16 18:44:02 +0000 2017,8.65E+17,91,178,Day 2 and we are still left with more questions than answers. Conflicting tweets and statements from the administra… https://t.co/MiGCI5aLiq,MarkWarner,Mark Warner,Virginia,Democratic
16,Tue May 16 01:00:04 +0000 2017,8.64E+17,15,45,Remembering those officers killed in the line of duty. My thoughts are with their families &amp; fellow officers. #PeaceOfficersMemorialDay,MarkWarner,Mark Warner,Virginia,Democratic
17,Mon May 15 21:58:38 +0000 2017,8.64E+17,1474,5752,"If true, this is a slap in the face to the intel community. Risking sources &amp; methods is inexcusable, particularly… https://t.co/pheWzFNv4a",MarkWarner,Mark Warner,Virginia,Democratic
18,Mon May 15 17:36:58 +0000 2017,8.64E+17,23,36,"Back on with the @crookedmedia guys for @PodSaveAmerica. @TVietor08, when can people download? #friendofthepod https://t.co/lAx8jltZfr",MarkWarner,Mark Warner,Virginia,Democratic
19,Mon May 15 14:46:27 +0000 2017,8.64E+17,105,693,"For the record: Russia is not our friend, and hate has no place in Virginia. 
https://t.co/asfkctHdpS",MarkWarner,Mark Warner,Virginia,Democratic
20,Sun May 14 17:54:02 +0000 2017,8.64E+17,83,28,"Glad to be back on @FoxNewsSunday this AM. Thanks for having me on, Chris. https://t.co/glEGgW8Blr",MarkWarner,Mark Warner,Virginia,Democratic
21,Sun May 14 16:48:41 +0000 2017,8.64E+17,18,22,"Thanks for having me on today, @GStephanopoulos. https://t.co/ZQ0MRIbgoX",MarkWarner,Mark Warner,Virginia,Democratic
22,Fri May 12 20:16:17 +0000 2017,8.63E+17,185,523,"If there are ""tapes,"" the White House should preserve them and the appropriate committee should take a look at them. https://t.co/L8j79gwnBI",MarkWarner,Mark Warner,Virginia,Democratic
23,Fri May 12 18:34:03 +0000 2017,8.63E+17,14,53,Ready to fight alongside @MineWorkers @Sen_JoeManchin &amp; our bipartisan coalition to pass the Miners Pension Protect… https://t.co/CI8nTm7Zpi,MarkWarner,Mark Warner,Virginia,Democratic
24,Fri May 12 18:25:41 +0000 2017,8.63E+17,2,12,@TVietor08 @emptywheel I hear it’s a good one! #stillafriendofthepod,MarkWarner,Mark Warner,Virginia,Democratic
25,Thu May 11 21:19:34 +0000 2017,8.63E+17,484,2632,"@realDonaldTrump Mr. President, that’s not how the directors of the FBI, CIA, NSA, DIA, NGA, and the ODNI see it. https://t.co/DuaP6sjAvT",MarkWarner,Mark Warner,Virginia,Democratic
26,Thu May 11 14:09:22 +0000 2017,8.63E+17,159,101,Watch live - Senate Intelligence Committee open hearing: https://t.co/qfU6iegsFH,MarkWarner,Mark Warner,Virginia,Democratic
27,Thu May 11 13:48:32 +0000 2017,8.63E+17,32,80,Starting at 10:00am: Senate Intelligence Committee open hearing on worldwide threats. Watch on Facebook Live: https://t.co/YAihp2OaFl,MarkWarner,Mark Warner,Virginia,Democratic
28,Wed May 10 22:26:04 +0000 2017,8.62E+17,105,783,Joint statement w/@SenatorBurr: Senate Intel Committee Subpoenas Former National Security Advisor Flynn for Documen… https://t.co/h6EnUW2fLF,MarkWarner,Mark Warner,Virginia,Democratic
29,Wed May 10 16:41:53 +0000 2017,8.62E+17,226,2191,"If there's ever a time for an issue to be nonpartisan, it's right now. https://t.co/M9P0fkjc1L",MarkWarner,Mark Warner,Virginia,Democratic
30,Wed May 10 00:55:15 +0000 2017,8.62E+17,260,1668,.@POTUS firing #FBIDirector Comey in the middle of his investigation into the Trump campaign demands the appointment of a Special Counsel.,MarkWarner,Mark Warner,Virginia,Democratic
31,Wed May 10 00:01:00 +0000 2017,8.62E+17,129,674,I share the Chairman's concern. https://t.co/evw8G5o2DD,MarkWarner,Mark Warner,Virginia,Democratic
32,Tue May 09 23:03:18 +0000 2017,8.62E+17,229,966,My statement on the firing of FBI Director James Comey: https://t.co/pztxO8mtWd,MarkWarner,Mark Warner,Virginia,Democratic
33,Tue May 09 21:21:02 +0000 2017,8.62E+17,12,22,Good read in @Daily_Press: Virginia is stepping up to meet our nation's #CyberSecurity threats. https://t.co/btctyOjQ1B,MarkWarner,Mark Warner,Virginia,Democratic
34,Tue May 09 18:52:00 +0000 2017,8.62E+17,57,258,"No way I’m voting for a partisan #Trumpcare bill that cuts tax credits for veterans, esp in rural communities. That's no way to #CareForVets",MarkWarner,Mark Warner,Virginia,Democratic
35,Tue May 09 18:21:23 +0000 2017,8.62E+17,10,56,A public service that should be provided by the White House…again. https://t.co/dkX4L9Z5wR,MarkWarner,Mark Warner,Virginia,Democratic
36,Tue May 09 14:41:34 +0000 2017,8.62E+17,1,32,Proud to see our bipartisan #DATAact mark its 1st reporting deadline. We'll keep working to ensure transparency for… https://t.co/TndPAkptPx,MarkWarner,Mark Warner,Virginia,Democratic
37,Tue May 09 12:55:01 +0000 2017,8.62E+17,5,18,Stories like Anita’s highlight the urgent need to rethink the social safety net for those working in the #GigEconomy https://t.co/nFTtChYASp,MarkWarner,Mark Warner,Virginia,Democratic
38,Mon May 08 22:04:26 +0000 2017,8.62E+17,7,22,"If we don’t fix the $12b maintenance backlog, future generations aren’t going to see this park &amp; cemetery in the wa… https://t.co/lSSSWE9wyW",MarkWarner,Mark Warner,Virginia,Democratic
39,Mon May 08 17:00:47 +0000 2017,8.62E+17,8,49,My heart goes out to Navy SEAL Kyle Milliken's family &amp; friends. His sacrifice is a reminder of dangers faced every… https://t.co/x6umZ6ckW2,MarkWarner,Mark Warner,Virginia,Democratic
40,Sat May 06 13:13:00 +0000 2017,8.61E+17,4,26,"Wishing a happy #SmallBusinessWeek to Virginia's 500,000+ small business owners and the 1.5 million Virginians they… https://t.co/HPIPm2Q0Q1",MarkWarner,Mark Warner,Virginia,Democratic
41,Fri May 05 18:08:47 +0000 2017,8.61E+17,44,200,My statement with Chairman @SenatorBurr on Carter Page's cooperation with the SSCI investigation https://t.co/PNNaIfRgec,MarkWarner,Mark Warner,Virginia,Democratic
42,Fri May 05 17:14:00 +0000 2017,8.61E+17,15,46,"With students facing 1.4T in student debt, we should be making employer student loan repayment easier. https://t.co/mZA9rCc3Yj",MarkWarner,Mark Warner,Virginia,Democratic
43,Fri May 05 12:50:01 +0000 2017,8.60E+17,10,193,"This #SpaceDay I want to honor Dr. Katherine Johnson, the pride of Va's @NASA_Langley, subject of @HiddenFigures &amp;… https://t.co/3hwSe18SAF",MarkWarner,Mark Warner,Virginia,Democratic
44,Thu May 04 22:38:15 +0000 2017,8.60E+17,14,20,".@SenateBanking Committee can’t control the weather, but we can work to keep flood insurance affordable for communi… https://t.co/MXt6TB6P6c",MarkWarner,Mark Warner,Virginia,Democratic
45,Thu May 04 16:55:57 +0000 2017,8.60E+17,97,215,I will fight tooth and nail to keep #TrumpCare from passing the Senate. #VoteNoAHCA,MarkWarner,Mark Warner,Virginia,Democratic
46,Thu May 04 16:55:25 +0000 2017,8.60E+17,14,59,*It's a worse bill now.,MarkWarner,Mark Warner,Virginia,Democratic
