,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 16:38:02 +0000 2017,8.6597E+17,2,22,Get outside and take advantage of our treasured #publiclands &amp; the #KidsToParks events in NM today: https://t.co/WqBgHAd5HN,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
1,Sat May 20 16:36:22 +0000 2017,8.65969E+17,0,14,"It’s #KidsToParks Day! Our national park &amp; #publiclands offer endless opportunities for kids to explore, learn, &amp; p… https://t.co/f0a0flLMIQ",MartinHeinrich,Martin Heinrich,New Mexico,Democratic
2,Fri May 19 20:40:00 +0000 2017,8.65668E+17,5,48,NM has one of the highest rates of opioid deaths in the U.S. #Trumpcare’s cuts to Medicaid put even more at risk.… https://t.co/4hTRltr6BH,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
3,Fri May 19 19:43:22 +0000 2017,8.65654E+17,23,59,"What’s worse: President admitting Comey was fired over Russia, or Spicer justifying it? https://t.co/iJDbyzoZFc",MartinHeinrich,Martin Heinrich,New Mexico,Democratic
4,Fri May 19 19:40:00 +0000 2017,8.65653E+17,9,52,"Pres Trump promised to increase access to opioid treatment - #Trumcare does opposite, will intensify #opioid crisis https://t.co/9ZOZ0uWh3N",MartinHeinrich,Martin Heinrich,New Mexico,Democratic
5,Fri May 19 18:40:01 +0000 2017,8.65638E+17,3,15,Tomorrow is #KidsToParks Day! Check out my online resource guide &amp; explore NM's #publiclands! #FindYourPark… https://t.co/IVXY8LsLCY,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
6,Fri May 19 18:07:53 +0000 2017,8.6563E+17,1,10,"SOON: I'll be live on 91.7 KGLP Gallup to talk about healthcare, #publiclands &amp; more. Listen here: http://64.106.24.51:88/broadwave.mp3",MartinHeinrich,Martin Heinrich,New Mexico,Democratic
7,Fri May 19 17:30:18 +0000 2017,8.65621E+17,17,74,"President Trump’s budget cuts would wreak havoc on our education system, especially in rural New Mexico. https://t.co/25zxKu86mN",MartinHeinrich,Martin Heinrich,New Mexico,Democratic
8,Fri May 19 15:12:34 +0000 2017,8.65586E+17,1,15,For my answers on how I'm working to grow the NM economy &amp; stop #Trumpcare read: @weeklyalibi https://t.co/zb0Q9asL1a,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
9,Thu May 18 22:45:01 +0000 2017,8.65337E+17,2,83,Tell Trump: protect our monuments. May 26th is the deadline to submit comments to protect #BearsEars!… https://t.co/cQK78VYLp3,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
10,Thu May 18 21:59:16 +0000 2017,8.65326E+17,1,40,"ACTION: Make your voice heard, submit comments to Interior Dept to protect #OMDP4NM #RGDN from Pres Trump… https://t.co/lJHVbaNLkl",MartinHeinrich,Martin Heinrich,New Mexico,Democratic
11,Thu May 18 21:49:01 +0000 2017,8.65323E+17,4,47,My letter with @SenatorCarper &amp; @SenGaryPeters demanding answers on the impact of Pres Trump giving highly classifi… https://t.co/1YOcjTimYE,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
12,Thu May 18 21:05:03 +0000 2017,8.65312E+17,2,27,Under #TrumpCare 300K NMs w/ pre-existing conditions would be forced to pay more for less @NMVoices @HealthActionNM https://t.co/N1MVcWpfDi,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
13,Thu May 18 16:10:25 +0000 2017,8.65238E+17,17,19,A very happy birthday to my friend @SenatorTomUdall! I couldn’t ask for a better partner in the Senate. https://t.co/djWPAJCB45,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
14,Thu May 18 15:17:28 +0000 2017,8.65225E+17,2,16,I met with @TempestWilliams and @NRDC to talk about how we can defend our nation's conservation legacy and public l… https://t.co/PtMlqZoC54,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
15,Wed May 17 22:56:02 +0000 2017,8.64978E+17,5,27,"I’ve been calling for a special counsel for months, because it ensures a level of independence, and any outcome must be seen as credible.",MartinHeinrich,Martin Heinrich,New Mexico,Democratic
16,Wed May 17 22:17:03 +0000 2017,8.64968E+17,32,214,Our Democracy depends on getting to bottom of #TrumpRussia ties. Special counsel overseeing investigation is a step in right direction.,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
17,Wed May 17 21:35:24 +0000 2017,8.64958E+17,8,36,I'll continue to hold Trump Admin accountable for its promises to rural America. So far they’ve failed miserably. https://t.co/l0dYgeRJvi,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
18,Wed May 17 21:32:18 +0000 2017,8.64957E+17,1,21,#Trumpcare makes it harder for schools to cover special education. #SchoolsNeedMedicaid https://t.co/lhU2Z3FLHn,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
19,Wed May 17 21:31:51 +0000 2017,8.64957E+17,6,48,"Kids who are covered by #Medicaid miss fewer days of school, are more likely to go to college, &amp; earn more $ as adults. #SchoolsNeedMedicaid",MartinHeinrich,Martin Heinrich,New Mexico,Democratic
20,Wed May 17 20:33:44 +0000 2017,8.64942E+17,4,16,By protecting our treasured #publiclands we can grow our economy in New Mexico. #KeepItPublic https://t.co/s5deiMxo0S,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
21,Wed May 17 20:24:32 +0000 2017,8.6494E+17,2,18,#Trumpcare strips protections for people with pre-existing conditions replaces with underfunded high-risk pools where you pay more get less.,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
22,Wed May 17 20:22:58 +0000 2017,8.64939E+17,6,30,"Are you one of the 6million people with a pre-exisiting condition asthma, depression, diabetes, are pregnant?… https://t.co/ny5UJ6rVCZ",MartinHeinrich,Martin Heinrich,New Mexico,Democratic
23,Wed May 17 18:00:00 +0000 2017,8.64903E+17,1,46,My #NetNeutrality op-ed w @SenBrianSchatz &amp; others: An Open Letter to Everyone Who Uses the Internet via @TechCrunch https://t.co/1SeF2BcEph,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
24,Wed May 17 16:30:44 +0000 2017,8.64881E+17,3,48,"If you oppose FCC's plans to gut #NetNeutrality protections like I do, make your voice heard! https://t.co/zTuVDyLGh8",MartinHeinrich,Martin Heinrich,New Mexico,Democratic
25,Wed May 17 15:41:44 +0000 2017,8.64869E+17,0,4,It was a pleasure to meet Nicolle Gonzalez a Nurse Midwife from NM to talk about how to improve prenatal and matern… https://t.co/0xZVHssfF8,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
26,Wed May 17 15:27:29 +0000 2017,8.64865E+17,1,22,"#OMDP4NM turns 3 yrs old on Sunday! Pres Trump listed it as a monument under ""review."" We're fighting to… https://t.co/I0MLuvGxCP",MartinHeinrich,Martin Heinrich,New Mexico,Democratic
27,Wed May 17 14:30:04 +0000 2017,8.64851E+17,7,38,Q we want answered: Did Sessions’ rec to fire FBI Director Comey violated his recusal from Russia investigation? https://t.co/i4tvHboAx5,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
28,Wed May 17 14:29:14 +0000 2017,8.6485E+17,49,976,My letter with @SenWarren demanding investigation into Attorney General Sessions’ involvement in firing FBI Directo… https://t.co/o4SGTgH4wz,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
29,Tue May 16 21:55:58 +0000 2017,8.646E+17,3,7,Esta noche ve en @Univision mi entrevista con @FPizarro_DC sobre la negligencia del Pdte. Trump al revelar informac… https://t.co/BEDUg2yfws,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
30,Tue May 16 21:39:25 +0000 2017,8.64596E+17,9,61,President Trump's recklessness with highly classified intel is putting our national security &amp; relationships with t… https://t.co/3NUt5w0Gcp,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
31,Tue May 16 21:12:13 +0000 2017,8.64589E+17,11,39,President Trump's recklessness is putting our natl security &amp; relationships with allies at risk. @WashingtonPost https://t.co/hUY4IyV1Z8,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
32,Tue May 16 20:42:35 +0000 2017,8.64582E+17,0,10,Read @JECDems' new report to understand the economic challenges in rural America: https://t.co/NFa0UmRyu5,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
33,Tue May 16 20:41:44 +0000 2017,8.64582E+17,11,26,America will never reach our full potential if rural Americans aren’t able to reach their full potential.,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
34,Tue May 16 20:41:28 +0000 2017,8.64582E+17,3,32,Drastic cuts to critical rural programs in President’s budget will intensify economic challenges in NM communities. https://t.co/A7E8imjz8n,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
35,Tue May 16 20:40:59 +0000 2017,8.64581E+17,1,9,"Federal funds fuel economic growth in rural places like Dixon, New Mexico. https://t.co/uYdidsJz7p",MartinHeinrich,Martin Heinrich,New Mexico,Democratic
36,Tue May 16 17:02:39 +0000 2017,8.64527E+17,4,40,This cannot be the new normal. https://t.co/3aJas9lFG4,MartinHeinrich,Martin Heinrich,New Mexico,Democratic
