,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 20:04:25 +0000 2017,8.64935E+17,40,66,"Just in from Senator Hirono- ""Got out of surgery and doing okay! Thank you everyone for the well wishes!"" 
-Staff",maziehirono,Mazie Hirono,Hawaii,Democratic
1,Wed May 17 20:02:27 +0000 2017,8.64934E+17,4,21,"Taking over this space while @maziehirono is in the hospital. For those in DC, stop by Hart 730 to write a note to… https://t.co/b9laDIa8kU",maziehirono,Mazie Hirono,Hawaii,Democratic
2,Tue May 16 22:20:52 +0000 2017,8.64607E+17,12,60,The word outrageous has become a cliché with this administration. What next? Need independent investigation/special prosecutor NOW.,maziehirono,Mazie Hirono,Hawaii,Democratic
3,Tue May 16 21:42:04 +0000 2017,8.64597E+17,18,77,On my way to vote no on another dangerous Trump appointee. Mahalo for the overwhelming outpouring of support. https://t.co/kDfKzmPQnF,maziehirono,Mazie Hirono,Hawaii,Democratic
4,Tue May 16 20:06:06 +0000 2017,8.64573E+17,681,629,"I face this fight with the same determination I’ve fought for the people of Hawaii. And I never quit, especially wh… https://t.co/4mEBx0g2Nr",maziehirono,Mazie Hirono,Hawaii,Democratic
5,Tue May 16 13:13:42 +0000 2017,8.64469E+17,7,51,🤔 https://t.co/T6AfrkleHb,maziehirono,Mazie Hirono,Hawaii,Democratic
6,Thu May 11 19:06:21 +0000 2017,8.62746E+17,24,60,#Trumpcare would threaten the well-being of Hawaii moms &amp; families. Hear more live: https://t.co/2Tbo9JzTNh,maziehirono,Mazie Hirono,Hawaii,Democratic
7,Wed May 10 21:41:35 +0000 2017,8.62422E+17,32,126,These are unprecedented times &amp; we can't act like it's business as usual. @SenateDems are coming together to demand… https://t.co/BwyTLAFfB9,maziehirono,Mazie Hirono,Hawaii,Democratic
8,Wed May 10 18:57:21 +0000 2017,8.62381E+17,15,45,I'm live with @SenateDems hearing from American families who would be hurt by #Trumpcare https://t.co/THdA3BIQ6L,maziehirono,Mazie Hirono,Hawaii,Democratic
9,Wed May 10 00:03:51 +0000 2017,8.62096E+17,49,574,.@realDonaldTrump What do you have to hide? #Comey https://t.co/FYbGQrRRFb,maziehirono,Mazie Hirono,Hawaii,Democratic
10,Tue May 09 16:11:01 +0000 2017,8.61977E+17,2,18,I joined @SenatorHassan @SenatorCantwell in writing to @FCC to highlight the importance of #netneutrality to women https://t.co/TwYepggkzM,maziehirono,Mazie Hirono,Hawaii,Democratic
11,Mon May 08 23:32:13 +0000 2017,8.61725E+17,18,55,Dir. Clapper and former Acting AG Yates said that Gen. Flynn's activities exposed him to Russian blackmail- posing… https://t.co/hH2lRn6APX,maziehirono,Mazie Hirono,Hawaii,Democratic
12,Sun May 07 06:08:18 +0000 2017,8.611E+17,22,35,.@angel_ponders Mahalo for attending today! I'll continue to do my utmost to oppose the Trump administration's disc… https://t.co/H1n597Jj9T,maziehirono,Mazie Hirono,Hawaii,Democratic
13,Sat May 06 22:55:45 +0000 2017,8.60992E+17,2,1,"@angel_ponders Sorry I couldn't get to your question! I'll get back to you in writing, or if you feel comfortable t… https://t.co/6pFoaf7ETh",maziehirono,Mazie Hirono,Hawaii,Democratic
14,Sat May 06 20:24:36 +0000 2017,8.60953E+17,9,12,LIVE NOW: Watch my Oahu town hall at https://t.co/Wt5teUJcsa,maziehirono,Mazie Hirono,Hawaii,Democratic
15,Fri May 05 19:16:03 +0000 2017,8.60574E+17,12,104,"Wow, what a diverse group who will prioritize making sure American women &amp; families get the care they need...said n… https://t.co/aHhsPE7Sbq",maziehirono,Mazie Hirono,Hawaii,Democratic
16,Fri May 05 18:23:31 +0000 2017,8.60561E+17,1,18,"TOMORROW: I hope to hear from you at my town halls 
Oahu sign up- https://t.co/RakgacTqGx
Kauai sign up- https://t.co/J558ftleyW",maziehirono,Mazie Hirono,Hawaii,Democratic
17,Thu May 04 17:13:55 +0000 2017,8.60181E+17,13,176,This is disgraceful. Literally celebrating cutting off lifesaving care from millions #Trumpcare https://t.co/kz8bhH9Zyz,maziehirono,Mazie Hirono,Hawaii,Democratic
18,Wed May 03 16:56:08 +0000 2017,8.59814E+17,63,44,ICYMI: @JudiciaryDems are pressing @FBI Director Comey on Trump admin ties to foreign govs. https://t.co/8CzJSkKqWz,maziehirono,Mazie Hirono,Hawaii,Democratic
19,Tue May 02 18:47:21 +0000 2017,8.59479E+17,16,49,Does this mean that you &amp; your administration will stop demonizing the #AAPI community? https://t.co/7pCU5iAOJm,maziehirono,Mazie Hirono,Hawaii,Democratic
20,Tue May 02 17:06:37 +0000 2017,8.59454E+17,15,76,Rise in hate crimes is no accident- we have a @POTUS whose language targets Muslims &amp; an admin that demonizes immig… https://t.co/h5AjgjNMxo,maziehirono,Mazie Hirono,Hawaii,Democratic
21,Mon May 01 23:07:01 +0000 2017,8.59182E+17,2,8,#PellYes- bipartisan budget deal includes my provisions to restore #SummerPell https://t.co/eAEwEjRBNI,maziehirono,Mazie Hirono,Hawaii,Democratic
