,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 21:42:57 +0000 2017,8.64959E+17,3,33,ANNOUNCEMENT: Holding Town Hall in Denver on Friday 5/19. Find out more details here → https://t.co/IskVtuuEH7,SenBennetCO,Michael Bennet,Colorado,Democratic
1,Wed May 17 21:33:45 +0000 2017,8.64957E+17,7,29,ANNOUNCEMENT: Holding Town Hall in Boulder on Friday 5/19. Find out more details here → https://t.co/eYsBmwvrcm,SenBennetCO,Michael Bennet,Colorado,Democratic
2,Wed May 17 21:18:50 +0000 2017,8.64953E+17,9,15,ANNOUNCEMENT: Holding Town Hall in Fort Collins on Friday 5/19. Find out more details here → https://t.co/fAudlesEYy,SenBennetCO,Michael Bennet,Colorado,Democratic
3,Wed May 17 16:16:37 +0000 2017,8.64877E+17,7,31,I'm fighting for kids like Evelyn who depend on Medicaid to receive life-saving treatment. #VoteNoAHCA #VoicesOfCO https://t.co/XXHPzlhDnT,SenBennetCO,Michael Bennet,Colorado,Democratic
4,Wed May 17 14:19:48 +0000 2017,8.64848E+17,15,46,"To other congressional leaders, this is what basic oversight looks like. At a minimum, we should have access to “ta… https://t.co/K9Sew9Xbo5",SenBennetCO,Michael Bennet,Colorado,Democratic
5,Wed May 17 12:57:26 +0000 2017,8.64827E+17,21,53,"Congress needs more information, including access to memos from Comey &amp; any tapes / transcripts from @WhiteHouse. C… https://t.co/oPIx72sNC3",SenBennetCO,Michael Bennet,Colorado,Democratic
6,Tue May 16 22:03:18 +0000 2017,8.64602E+17,1,30,"Families should never feel like a “pile of pre-existing conditions."" The AHCA is an affront to families like Sarah’… https://t.co/HwyJpf5m0u",SenBennetCO,Michael Bennet,Colorado,Democratic
7,Tue May 16 20:58:24 +0000 2017,8.64586E+17,4,19,Health care has the power to prolong time people have with their loved ones. Coloradans like Peggy know we can’t ta… https://t.co/yqf7nuGIEN,SenBennetCO,Michael Bennet,Colorado,Democratic
8,Tue May 16 20:21:25 +0000 2017,8.64577E+17,5,29,Being “high-risk” should not determine whether you can obtain health care. Kids like Gracie depend on ACA &amp; Medicai… https://t.co/vH4ztIe6HL,SenBennetCO,Michael Bennet,Colorado,Democratic
9,Tue May 16 19:36:19 +0000 2017,8.64565E+17,2,6,Spoke to @USCRossier graduating class about the urgency of transforming how we educate all of America's children:… https://t.co/EQyoGhEcOI,SenBennetCO,Michael Bennet,Colorado,Democratic
10,Mon May 15 23:23:59 +0000 2017,8.6426E+17,111,142,"If the @washingtonpost report is true, the President should explain why he divulged classified information to the P… https://t.co/OViVVwmB4N",SenBennetCO,Michael Bennet,Colorado,Democratic
11,Mon May 15 22:16:31 +0000 2017,8.64243E+17,14,45,Health care costs shouldn’t prevent people from starting a business. Let’s protect parts of ACA that work &amp; fix par… https://t.co/UmJAEFg25R,SenBennetCO,Michael Bennet,Colorado,Democratic
12,Mon May 15 20:48:15 +0000 2017,8.64221E+17,4,36,Max has overcome many challenges. Being denied health care due to a pre-existing condition should not have to be on… https://t.co/o0fgvcWocU,SenBennetCO,Michael Bennet,Colorado,Democratic
13,Mon May 15 18:06:45 +0000 2017,8.6418E+17,9,50,"Adam shouldn't have to worry that his medical treatment could bankrupt his family. We must fix, not repeal, the ACA… https://t.co/QC5ecmcf30",SenBennetCO,Michael Bennet,Colorado,Democratic
14,Mon May 15 17:48:20 +0000 2017,8.64176E+17,10,36,Thousands of Coloradans sent us stories after @housegop voted to repeal ACA. Keep sharing your stories #VoicesOfCO… https://t.co/JJ1gbAeXEt,SenBennetCO,Michael Bennet,Colorado,Democratic
15,Sun May 14 19:24:21 +0000 2017,8.63837E+17,12,38,Thanks to these CO moms for standing up for our climate on #MothersDay. I’m standing with you &amp; committing to… https://t.co/Fx2rQSfKsn,SenBennetCO,Michael Bennet,Colorado,Democratic
16,Sun May 14 13:00:00 +0000 2017,8.63741E+17,6,6,Wishing a #HappyMothersDay to my wife Susan—mother of our three wonderful daughters. Grateful you are in my life to… https://t.co/Th5Kj78Cxj,SenBennetCO,Michael Bennet,Colorado,Democratic
17,Fri May 12 23:07:34 +0000 2017,8.63169E+17,6,7,Looking forward to delivering commencement address @USCRossier to our country's future educators. Watch LIVE now: https://t.co/lzxEltpmFC,SenBennetCO,Michael Bennet,Colorado,Democratic
18,Fri May 12 13:45:18 +0000 2017,8.63027E+17,15,12,We must continue fighting to keep families like Jeanette &amp; Arturo's together.,SenBennetCO,Michael Bennet,Colorado,Democratic
19,Fri May 12 13:44:59 +0000 2017,8.63027E+17,6,12,They've lived in Colorado for years &amp; contributed to economy. Their stories are another example of Admin's misguided immigration policies.,SenBennetCO,Michael Bennet,Colorado,Democratic
20,Fri May 12 13:44:40 +0000 2017,8.63027E+17,21,48,"Good news last night, after months of uncertainty. Jeanette &amp; Arturo should not have been targets for deportation i… https://t.co/pU0l21dDj0",SenBennetCO,Michael Bennet,Colorado,Democratic
21,Thu May 11 21:26:33 +0000 2017,8.62781E+17,38,131,Elections are at heart of our democracy. Administration should focus on supporting &amp; encouraging policies to improv… https://t.co/7ru4dXsViA,SenBennetCO,Michael Bennet,Colorado,Democratic
22,Thu May 11 16:25:54 +0000 2017,8.62705E+17,1,12,"Just wowing climber @tommycaldwell1 w/ stories of my own summer camp climbing glory days...

Thank you for your adv… https://t.co/s8hXkru6Lk",SenBennetCO,Michael Bennet,Colorado,Democratic
23,Wed May 10 23:02:27 +0000 2017,8.62443E+17,10,37,.@uscensusbureau must have strong leadership &amp; resources to conduct census w/ precision &amp; be inclusive of all. → https://t.co/yEvC2ahUVR,SenBennetCO,Michael Bennet,Colorado,Democratic
24,Wed May 10 21:37:09 +0000 2017,8.62421E+17,48,74,WATCH LIVE NOW Speaking on Senate floor about FBI Director Comey's firing &amp; need for independent special prosecutor: https://t.co/BmfvV2UA6y,SenBennetCO,Michael Bennet,Colorado,Democratic
25,Wed May 10 19:56:45 +0000 2017,8.62396E+17,2,10,Thank you Noyes Elementary &amp; @DCPSChancellor for letting me tag along this morning &amp; learn more about your school. https://t.co/KguyPAJMOr,SenBennetCO,Michael Bennet,Colorado,Democratic
26,Wed May 10 18:39:05 +0000 2017,8.62376E+17,12,22,LIVE NOW: Speaking on the Senate floor about today's victory protecting the BLM #methane rule → https://t.co/oCrg90dGAW,SenBennetCO,Michael Bennet,Colorado,Democratic
27,Wed May 10 15:24:30 +0000 2017,8.62327E+17,138,600,Honored that I could cast the 51st vote instead of the @VP. Next time call ahead...could have saved you the trip.… https://t.co/SmL3BytrvC,SenBennetCO,Michael Bennet,Colorado,Democratic
28,Wed May 10 14:38:55 +0000 2017,8.62316E+17,154,296,Just cast the deciding vote to block BLM methane CRA &amp; continue protecting Colorado communities from harmful methan… https://t.co/xdb7AtPGfw,SenBennetCO,Michael Bennet,Colorado,Democratic
29,Wed May 10 14:09:57 +0000 2017,8.62309E+17,32,85,.@POTUS .@DAGRosenstein must appoint an independent special prosecutor immediately. The integrity of our institutions is at stake.,SenBennetCO,Michael Bennet,Colorado,Democratic
30,Wed May 10 14:07:22 +0000 2017,8.62308E+17,25,78,.@POTUS The Senate must stand firm: We will only confirm an FBI Director who pledges a vigorous investigation of Ru… https://t.co/lx3yBRA6zD,SenBennetCO,Michael Bennet,Colorado,Democratic
31,Wed May 10 14:06:41 +0000 2017,8.62308E+17,21,46,.@POTUS It’s unbelievable that @POTUS woke up one morning &amp; fired Comey for actions from 10 months ago. The America… https://t.co/naj5CgjfRX,SenBennetCO,Michael Bennet,Colorado,Democratic
32,Wed May 10 14:06:04 +0000 2017,8.62308E+17,49,203,It's clear @POTUS cannot withstand the scrutiny. #ComeyFiring is extremely unsettling and the explanation is not believable.,SenBennetCO,Michael Bennet,Colorado,Democratic
33,Wed May 10 13:57:32 +0000 2017,8.62306E+17,11,28,"Amid the #BreakingNews, the Senate is now voting on the important BLM #cutmethane CRA. Here's why I'm voting no: https://t.co/qy0Agr2PQb",SenBennetCO,Michael Bennet,Colorado,Democratic
34,Tue May 09 22:45:04 +0000 2017,8.62076E+17,173,659,Comey's firing raises many questions. One thing is clear: an independent special prosecutor is necessary to investigate Russian connections.,SenBennetCO,Michael Bennet,Colorado,Democratic
35,Tue May 09 20:36:26 +0000 2017,8.62044E+17,6,31,Thank you to all of the Colorado teachers for working hard each day to provide our children with a better future. #NationalTeachersDay,SenBennetCO,Michael Bennet,Colorado,Democratic
36,Tue May 09 20:09:04 +0000 2017,8.62037E+17,3,22,Kids with cancer—like Evie's sister Sadie—deserve life-saving drugs. That's what the bill we wrote with… https://t.co/9FMP07ICkr,SenBennetCO,Michael Bennet,Colorado,Democratic
37,Mon May 08 22:57:57 +0000 2017,8.61717E+17,42,30,.@SenCoryGardner &amp; I have tried to ignore DC's dysfunction for the good of our state. Coloradans expect no less. https://t.co/mBRzdXrX6T,SenBennetCO,Michael Bennet,Colorado,Democratic
38,Mon May 08 17:57:12 +0000 2017,8.61641E+17,6,68,More evidence for why we must protect our natl monuments: @DinosaurNPS generated $20M+ in economic benefits in 2016 https://t.co/Iwp7uHUyMX,SenBennetCO,Michael Bennet,Colorado,Democratic
39,Sat May 06 02:09:23 +0000 2017,8.60678E+17,8,31,"Dinner at Maria Empanada w/ owner Lorena, Colorado's #SmallBusiness Person of the Year. Celebrating… https://t.co/z0onHzA4Py",SenBennetCO,Michael Bennet,Colorado,Democratic
40,Fri May 05 21:04:22 +0000 2017,8.60601E+17,14,39,"On #CincodeMayo, we recognize the large &amp; proud Mexican-American community that has played an integral role in Colorado's history.",SenBennetCO,Michael Bennet,Colorado,Democratic
41,Fri May 05 19:50:01 +0000 2017,8.60582E+17,8,22,Supporting innovative strategies to increase college completion for low-income &amp; first gen students w/@senorrinhatch https://t.co/42ZGt257BR,SenBennetCO,Michael Bennet,Colorado,Democratic
42,Fri May 05 12:00:02 +0000 2017,8.60464E+17,6,25,Helping @AmeriCorps public servants afford college w/ tax relief for Segal Education Award. @SenatorIsakson → https://t.co/XRJapKEeO8,SenBennetCO,Michael Bennet,Colorado,Democratic
43,Thu May 04 20:25:02 +0000 2017,8.60229E+17,32,41,"Keep sharing your stories &amp; tell us why we need to fight to fix, not repeal, the Affordable Care Act. #VoicesOfCO https://t.co/h02tQIDlxo",SenBennetCO,Michael Bennet,Colorado,Democratic
44,Thu May 04 20:17:36 +0000 2017,8.60227E+17,9,61,"Kelley, thank you for sharing your story. We are fighting for Coloradans like you &amp; will do everything to block thi… https://t.co/fwOggisGB8",SenBennetCO,Michael Bennet,Colorado,Democratic
45,Thu May 04 20:01:20 +0000 2017,8.60223E+17,78,122,My statement on House passage of GOP health care bill. #VoteNoACHA https://t.co/wFo0ldL5t7,SenBennetCO,Michael Bennet,Colorado,Democratic
46,Thu May 04 00:01:35 +0000 2017,8.59921E+17,26,66,It's not clear what we've won since @POTUS's inauguration. But it's clear what we lost. The next #100Days must be b… https://t.co/sWwzs1d3L0,SenBennetCO,Michael Bennet,Colorado,Democratic
47,Wed May 03 22:23:52 +0000 2017,8.59896E+17,113,627,The bill in the House is not a real health care fix. It's a tax cut for the wealthy that would throw 24 million peo… https://t.co/dAAOU2y3Yh,SenBennetCO,Michael Bennet,Colorado,Democratic
48,Wed May 03 21:52:38 +0000 2017,8.59888E+17,1,6,Great meeting Will! You have a bright future ahead. Thanks for visiting us in Washington. https://t.co/0tthHF9or1,SenBennetCO,Michael Bennet,Colorado,Democratic
49,Wed May 03 20:29:10 +0000 2017,8.59867E+17,18,107,The vote is at 5 PM. We can’t let Congress make it harder for Americans to save. Spread the word. #SaveRetirement https://t.co/DHR9kyQfhi,SenBennetCO,Michael Bennet,Colorado,Democratic
50,Wed May 03 20:00:38 +0000 2017,8.5986E+17,17,70,.@POTUS should focus on what Americans need instead of attacking free press &amp; blaming “fake news” to obscure reality #WorldPressFreedomDay,SenBennetCO,Michael Bennet,Colorado,Democratic
51,Wed May 03 17:00:38 +0000 2017,8.59815E+17,7,8,"Celebrating #CharterSchoolsWeek w/resolution recognizing students, teachers, leaders who make these schools possible https://t.co/HVo68BJI7t",SenBennetCO,Michael Bennet,Colorado,Democratic
52,Wed May 03 12:59:58 +0000 2017,8.59754E+17,29,311,"Today, the Senate may vote to make it harder to save for retirement. We can’t let that happen. Share this video &amp; s… https://t.co/b20AcgkOpx",SenBennetCO,Michael Bennet,Colorado,Democratic
53,Tue May 02 16:30:28 +0000 2017,8.59445E+17,8,5,"In @DailySentinelGJ op-ed this weekend, shared my thoughts on expanding opportunity in rural Colorado. →… https://t.co/coT7kDR4Rq",SenBennetCO,Michael Bennet,Colorado,Democratic
54,Tue May 02 15:02:19 +0000 2017,8.59423E+17,9,10,"Spoke w/ celebrity chef @tomcolicchio last week about the Farm Bill, school lunches, &amp; ending hunger in our country… https://t.co/rdRTEfkXnP",SenBennetCO,Michael Bennet,Colorado,Democratic
55,Tue May 02 13:15:02 +0000 2017,8.59396E+17,78,323,"During 2013 shutdown in CO, 53,000 workers sent home w/o pay. 30 labs closed. $24 billion lost. There’s no such thi… https://t.co/St4sAjv4iC",SenBennetCO,Michael Bennet,Colorado,Democratic
56,Mon May 01 23:14:16 +0000 2017,8.59184E+17,21,41,Worked w/@SenAlexander to secure year-round Pell Grants. Excited it's included in budget deal &amp; will help 1 million students afford college.,SenBennetCO,Michael Bennet,Colorado,Democratic
