,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 14:10:22 +0000 2017,8.65208E+17,3,2,"Happy birthday, @SenatorTomUdall!",MikeCrapo,Mike Crapo,Idaho,Republican
1,Wed May 17 18:27:31 +0000 2017,8.6491E+17,4,1,"Praying for your speedy recovery, @maziehirono https://t.co/NvDp8c3OtP",MikeCrapo,Mike Crapo,Idaho,Republican
2,Wed May 17 17:09:42 +0000 2017,8.64891E+17,3,2,ID Attorney General @lawrencewasden will present Idaho Medal of Honor to three recipients at 2PM today in Boise.… https://t.co/1i9YZi5b1X,MikeCrapo,Mike Crapo,Idaho,Republican
3,Wed May 17 13:50:39 +0000 2017,8.64841E+17,4,6,"I am glad to hear you're doing well, @SenThomTillis. I offer my prayers for a full recovery! https://t.co/taRjXhRRVc",MikeCrapo,Mike Crapo,Idaho,Republican
4,Mon May 15 22:42:48 +0000 2017,8.6425E+17,32,2,"Today I joined @ChuckGrassley, @SenFeinstein, &amp; 61 other colleagues to support a Senate Resolution to commemorate #NationalPoliceWeek2017",MikeCrapo,Mike Crapo,Idaho,Republican
5,Mon May 15 19:21:02 +0000 2017,8.64199E+17,10,10,Thank you to the courageous men &amp; women in law enforcement who put their lives on the line every day to keep us saf… https://t.co/JxvWhOiAvF,MikeCrapo,Mike Crapo,Idaho,Republican
6,Sat May 13 15:15:17 +0000 2017,8.63412E+17,10,2,"Happy birthday, @SenTomCotton!",MikeCrapo,Mike Crapo,Idaho,Republican
7,Sat May 13 13:01:18 +0000 2017,8.63379E+17,8,2,"Congratulations, grads! https://t.co/bnybk3QxHF",MikeCrapo,Mike Crapo,Idaho,Republican
8,Fri May 12 13:20:19 +0000 2017,8.63021E+17,11,3,"Congratulations, graduates! https://t.co/ksMXrAa2m6",MikeCrapo,Mike Crapo,Idaho,Republican
9,Wed May 10 14:05:22 +0000 2017,8.62308E+17,21,2,"Wishing you a happy birthday, @SenDeanHeller!",MikeCrapo,Mike Crapo,Idaho,Republican
10,Tue May 09 20:39:53 +0000 2017,8.62044E+17,10,1,"Congratulations, @AlbertsonsCos! https://t.co/2PQgfeycH2",MikeCrapo,Mike Crapo,Idaho,Republican
11,Tue May 09 18:34:58 +0000 2017,8.62013E+17,6,1,Joined @SenStabenow to reintroduce bipartisan legislation to address veterinarian shortage in rural communities https://t.co/lCr8mtS4yL,MikeCrapo,Mike Crapo,Idaho,Republican
12,Tue May 09 16:35:05 +0000 2017,8.61983E+17,9,3,ICYMI: My #WeeklyColumn on addressing the need for more veterinarians. (via @uvsj) https://t.co/FWVeQKpq5X https://t.co/P9WhIcCDWt,MikeCrapo,Mike Crapo,Idaho,Republican
13,Tue May 09 13:15:23 +0000 2017,8.61933E+17,2,2,"Congratulations, graduates! https://t.co/cODhrG24ZC",MikeCrapo,Mike Crapo,Idaho,Republican
14,Mon May 08 23:42:39 +0000 2017,8.61728E+17,17,12,.@SenatorRisch and I welcome the nomination by @POTUS of Judge Nye to serve as U.S. District Judge for #Idaho. Cc.… https://t.co/qc3DPu3jpJ,MikeCrapo,Mike Crapo,Idaho,Republican
15,Mon May 08 16:51:54 +0000 2017,8.61625E+17,3,10,!ALERT! for veterans: @DeptVetAffairs has identified a fraudulent VCP phone number. See attached photo for more inf… https://t.co/n4rfCJlora,MikeCrapo,Mike Crapo,Idaho,Republican
16,Sat May 06 15:15:16 +0000 2017,8.60876E+17,12,3,"Happy Birthday, @SenShelby!",MikeCrapo,Mike Crapo,Idaho,Republican
