,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 21:57:14 +0000 2017,8.65325E+17,13,5,"I salute @wyomingtourism for answering the question ""Why visit Wyoming?"" https://t.co/Y4RdPyvdJw",SenatorEnzi,Mike Enzi,Wyoming,Republican
1,Thu May 18 21:12:38 +0000 2017,8.65314E+17,6,2,My congrats to @wyomingtourism for being a finalist in the OBIE awards for their ads. https://t.co/1nchLNhzGQ,SenatorEnzi,Mike Enzi,Wyoming,Republican
2,Wed May 17 22:29:04 +0000 2017,8.64971E+17,20,4,Congress should ensure we are using taxpayer dollars wisely to operate the government. More info here:… https://t.co/5TUlhsjzCc,SenatorEnzi,Mike Enzi,Wyoming,Republican
3,Wed May 17 21:48:58 +0000 2017,8.64961E+17,11,2,Held a committee hearing today on the importance of making the fed gov't more effective and efficient for taxpayers… https://t.co/cRgXCSAvtp,SenatorEnzi,Mike Enzi,Wyoming,Republican
4,Wed May 17 18:45:01 +0000 2017,8.64915E+17,3,2,I voted in committee today to advance bills that will bring better accountability to the regulatory process.… https://t.co/JDZ5U164cD,SenatorEnzi,Mike Enzi,Wyoming,Republican
5,Wed May 17 17:55:00 +0000 2017,8.64902E+17,3,1,REINS Act &amp; Midnight Rules Relief Act move out of Senate committee. Would allow Congress to review key fed regs.… https://t.co/ebDlPywL4z,SenatorEnzi,Mike Enzi,Wyoming,Republican
6,Wed May 17 17:10:46 +0000 2017,8.64891E+17,8,4,Bills to control government regulations move forward in the Senate. https://t.co/6gnTWtipXl https://t.co/RsgNr3P4hP,SenatorEnzi,Mike Enzi,Wyoming,Republican
7,Tue May 16 13:42:48 +0000 2017,8.64476E+17,11,2,Years ago I helped get the official designation for the National Museum of Wildlife Art in Wyoming. https://t.co/LcCwZ0qEIC,SenatorEnzi,Mike Enzi,Wyoming,Republican
8,Tue May 16 13:41:49 +0000 2017,8.64476E+17,0,1,Today the National Museum of Wildlife Art in Wyoming is celebrating its 30th anniversary. https://t.co/LcCwZ0qEIC,SenatorEnzi,Mike Enzi,Wyoming,Republican
9,Thu May 11 21:55:00 +0000 2017,8.62788E+17,11,3,The George Washington University President’s Medal for my friend Skip Gnehm represents a lifetime of achievements. https://t.co/ReALTBViYx,SenatorEnzi,Mike Enzi,Wyoming,Republican
10,Thu May 11 21:09:59 +0000 2017,8.62777E+17,10,2,It was an honor to receive the Champion of Play award for dedication to education. Our children deserve the best ed… https://t.co/V61bm03PhP,SenatorEnzi,Mike Enzi,Wyoming,Republican
11,Thu May 11 20:39:58 +0000 2017,8.62769E+17,4,1,Congrats to my longtime friend Skip Gnehm on receiving the GW University President’s Medal. Couldn’t be more proud. https://t.co/ReALTCcUn7,SenatorEnzi,Mike Enzi,Wyoming,Republican
12,Thu May 11 00:02:01 +0000 2017,8.62458E+17,34,4,“I think we need to be bold in getting the economy going” – Former Senator Phil Gramm at @BudgetGOP hearing today. https://t.co/y9Kvgah7cv,SenatorEnzi,Mike Enzi,Wyoming,Republican
13,Wed May 10 23:12:05 +0000 2017,8.62445E+17,5,4,Former Senator Gramm knows that behind the government’s budget numbers is a vision for America’s future. https://t.co/P5kj75ehOn,SenatorEnzi,Mike Enzi,Wyoming,Republican
14,Wed May 10 23:02:00 +0000 2017,8.62443E+17,10,3,Bipartisan bill would provide common-sense protection for responsible knife owners. https://t.co/1lm2gNq6B4,SenatorEnzi,Mike Enzi,Wyoming,Republican
15,Wed May 10 22:32:01 +0000 2017,8.62435E+17,2,2,Former Senator Phil Gramm spoke to the @BudgetGOP Committee about balancing the budget &amp; growing America’s economy. https://t.co/PHjxrfrB13,SenatorEnzi,Mike Enzi,Wyoming,Republican
16,Wed May 10 22:18:08 +0000 2017,8.62432E+17,11,1,It is time for congress to focus on policies boosting America’s economic growth. https://t.co/t0tUEjvXOi,SenatorEnzi,Mike Enzi,Wyoming,Republican
17,Wed May 10 22:05:00 +0000 2017,8.62428E+17,7,1,It is difficult for responsible knife owners to know if they are violating law. Intro’d bill to provide protections. https://t.co/1lm2gNq6B4,SenatorEnzi,Mike Enzi,Wyoming,Republican
18,Wed May 10 21:33:08 +0000 2017,8.6242E+17,14,1,Introduced bipartisan bill with @RonWyden to protect law-abiding knife owners. https://t.co/1lm2gN8vJw,SenatorEnzi,Mike Enzi,Wyoming,Republican
19,Tue May 09 14:33:34 +0000 2017,8.61952E+17,11,3,"There are more than 7,000 teachers in Wyoming. If you see one today, remember to thank them for everything they do. https://t.co/8Q5oPZRZSH",SenatorEnzi,Mike Enzi,Wyoming,Republican
20,Fri May 05 16:29:27 +0000 2017,8.60532E+17,6,3,"I’m told this couple is famous, but I think they were lucky to get a shot of the ladies in the background (my wife… https://t.co/2VAbLo50zI",SenatorEnzi,Mike Enzi,Wyoming,Republican
21,Thu May 04 21:29:01 +0000 2017,8.60245E+17,8,2,Government funding bill supports programs that communities and families throughout Wyoming rely on. https://t.co/zgRZB5AkD6,SenatorEnzi,Mike Enzi,Wyoming,Republican
22,Thu May 04 20:02:00 +0000 2017,8.60223E+17,5,3,"Hard to craft legislation that makes everyone happy, but gov funding bill does a good job at threading the needle. https://t.co/zgRZB5iJew",SenatorEnzi,Mike Enzi,Wyoming,Republican
23,Thu May 04 19:14:12 +0000 2017,8.60211E+17,8,5,Congress passed a funding bill today that strengthens Wyoming &amp; American priorities. https://t.co/zgRZB5AkD6 https://t.co/pUyxtBbmkg,SenatorEnzi,Mike Enzi,Wyoming,Republican
24,Wed May 03 20:01:05 +0000 2017,8.5986E+17,9,4,Held a #budget committee hearing today on the importance of our government focusing on policies that support econom… https://t.co/3tHinJ2Qjp,SenatorEnzi,Mike Enzi,Wyoming,Republican
25,Wed May 03 19:10:23 +0000 2017,8.59848E+17,2,2,Congress should focus on boosting private sector growth in the economy. More info: https://t.co/51Mlw9bLQ0 https://t.co/wc6Et7nyUu,SenatorEnzi,Mike Enzi,Wyoming,Republican
26,Mon May 01 21:14:13 +0000 2017,8.59154E+17,15,2,My state staff is holding office hours in Laramie on May 2. Come on by. https://t.co/8JnVkp6K84,SenatorEnzi,Mike Enzi,Wyoming,Republican
27,Fri Apr 28 22:02:01 +0000 2017,8.58079E+17,37,3,Hopefully the decision to suspend the Clean Power Plan lawsuit will signal the end of this destructive regulation. https://t.co/eBNW9yxpz8,SenatorEnzi,Mike Enzi,Wyoming,Republican
