,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Fri May 19 19:37:33 +0000 2017,8.65653E+17,37,37,Thank you to Senate colleagues who have joined in support of president's national monument review: https://t.co/eyjDdyxb8k #BearsEars #utpol,SenMikeLee,Mike Lee,Utah,Republican
1,Fri May 19 16:27:07 +0000 2017,8.65605E+17,18,35,Umm... I did: https://t.co/Fb9A5tiaGX https://t.co/vtF2pj1tro,SenMikeLee,Mike Lee,Utah,Republican
2,Thu May 18 20:37:12 +0000 2017,8.65305E+17,37,54,I commend the #FCC for today’s action to begin the process of undoing the agency’s 2015 Open Internet Order: https://t.co/4hnBZICxxK,SenMikeLee,Mike Lee,Utah,Republican
3,Thu May 18 00:17:16 +0000 2017,8.64998E+17,44,30,3Q tonight was about stopping leaks in the government. https://t.co/gSpblBNuwY,SenMikeLee,Mike Lee,Utah,Republican
4,Wed May 17 23:52:39 +0000 2017,8.64992E+17,181,119,"2nd Q from tonght - ""If an investigation uncovers that President is guilty of Obstruction of Justice, will you supp… https://t.co/4NpEZVrk8q",SenMikeLee,Mike Lee,Utah,Republican
5,Wed May 17 23:36:19 +0000 2017,8.64988E+17,37,51,"1st Q from tonight: ""Will you fully support special prosecutor Robert Mueller and if so why has it taken so long?"" https://t.co/PwKZogVvN4",SenMikeLee,Mike Lee,Utah,Republican
6,Wed May 17 23:18:47 +0000 2017,8.64984E+17,34,14,My town hall meeting is starting now. You can join in here: https://t.co/eQ60fA10cz #utpol,SenMikeLee,Mike Lee,Utah,Republican
7,Wed May 17 13:33:35 +0000 2017,8.64836E+17,25,15,"On Wednesday night at 5:00 p.m. MT, I am holding a town hall. You can sign up here: https://t.co/pwnddrYyDm #utpol https://t.co/rn7HLyP6nN",SenMikeLee,Mike Lee,Utah,Republican
8,Tue May 16 19:14:02 +0000 2017,8.6456E+17,16,19,An interesting POV re: #BearsEars: https://t.co/JX0h8fDuJb You can add your voice to National Monument review here: https://t.co/Q5EwHt8ppy,SenMikeLee,Mike Lee,Utah,Republican
9,Tue May 16 19:12:22 +0000 2017,8.64559E+17,17,28,We are building less #SocialCapital. This needs to change: https://t.co/V29ITyZ4U0,SenMikeLee,Mike Lee,Utah,Republican
