,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Fri May 19 22:16:23 +0000 2017,8.65693E+17,7,2,Wrapping up a great day with @SecretarySonny in the Hills with a vets to ag listening session at Ellsworth. https://t.co/lNXkxHRh9b,SenatorRounds,Mike Rounds,South Dakota,Republican
1,Fri May 19 19:12:48 +0000 2017,8.65646E+17,4,3,Great hearing from so many South Dakotans at our coffee in Rapid City today. Thanks to all who attended! https://t.co/EO0zQVUEQR,SenatorRounds,Mike Rounds,South Dakota,Republican
2,Fri May 19 15:51:50 +0000 2017,8.65596E+17,1,3,"Kicking off my Rapid City coffee thanking Justice West, Sturgis student headed to Naval Academy. Proud to nominate… https://t.co/M0O2pzCH31",SenatorRounds,Mike Rounds,South Dakota,Republican
3,Fri May 19 14:59:19 +0000 2017,8.65583E+17,1,6,Great to have @SecretarySonny in SD today. At Oglala Lakota College meeting w/ tribal leaders to talk USDA relation… https://t.co/xFC3C9yeFM,SenatorRounds,Mike Rounds,South Dakota,Republican
4,Fri May 19 14:22:47 +0000 2017,8.65573E+17,13,5,We must lower tax rates if we want to continue to be competitive and grow our economy. https://t.co/vOCbqb6Thx,SenatorRounds,Mike Rounds,South Dakota,Republican
5,Wed May 17 20:41:02 +0000 2017,8.64944E+17,3,2,Had a good meeting with the South Dakota Association of REALTORS this afternoon! https://t.co/EwKUNzvzeu,SenatorRounds,Mike Rounds,South Dakota,Republican
6,Wed May 17 14:55:51 +0000 2017,8.64857E+17,7,2,My staff are holding office hours in Wall &amp; Philip today. Wall Library from 2-4pm &amp; Philip from 11am-1pm MT--stop by if you're in the area!,SenatorRounds,Mike Rounds,South Dakota,Republican
7,Mon May 15 21:03:44 +0000 2017,8.64225E+17,5,3,I hope you have a great conference! https://t.co/857Rgj6Mrg,SenatorRounds,Mike Rounds,South Dakota,Republican
8,Mon May 15 20:20:18 +0000 2017,8.64214E+17,3,3,Thank you to all the men and women in law enforcement who risk their lives every day to keep our communities safe.… https://t.co/6PSbEUGfax,SenatorRounds,Mike Rounds,South Dakota,Republican
9,Mon May 15 13:02:01 +0000 2017,8.64104E+17,3,5,I'll be live on the @belfrageshow this morning around 8:40 CT. Tune in on @keloradio https://t.co/stU1Q5QNRs,SenatorRounds,Mike Rounds,South Dakota,Republican
10,Sun May 14 20:03:00 +0000 2017,8.63847E+17,1,2,Wishing a wonderful #MothersDay2017 to all moms today! Hope your day is filled w/ love &amp; time spent with family. https://t.co/mPj1fESVsF,SenatorRounds,Mike Rounds,South Dakota,Republican
11,Sun May 14 13:32:01 +0000 2017,8.63749E+17,2,4,"Happy #MothersDay to all the moms out there today, especially to Jean, who is an incredible mother and grandma! https://t.co/GQGCthoRM3",SenatorRounds,Mike Rounds,South Dakota,Republican
