,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 19:40:53 +0000 2017,8.65291E+17,111,36,"I commend @AjitPaiFCC for taking this step to address the #netneutrality issue, and to keeping the Internet open for consumers — permanently",SenateMajLdr,Mitch McConnell,Kentucky,Republican
1,Thu May 18 18:44:39 +0000 2017,8.65277E+17,345,42,Are our #Senate Democratic friends really ok with #Obamacare’s continuing attacks on the Middle Class?,SenateMajLdr,Mitch McConnell,Kentucky,Republican
2,Thu May 18 18:44:26 +0000 2017,8.65277E+17,261,35,"Families have been left to shoulder the burden of #Obamacare, while things have only gotten worse over time.",SenateMajLdr,Mitch McConnell,Kentucky,Republican
3,Thu May 18 17:22:00 +0000 2017,8.65256E+17,340,39,"It’s simple, the consequences of #Obamacare are awful 
🔽
https://t.co/lAS4MZacQe",SenateMajLdr,Mitch McConnell,Kentucky,Republican
4,Thu May 18 16:18:05 +0000 2017,8.6524E+17,103,61,I had a great discussion with President @JuanManSantos of #Colombia today in the @uscapitol. #VisitaAWashington https://t.co/sQq8lVp9Sf,SenateMajLdr,Mitch McConnell,Kentucky,Republican
5,Thu May 18 14:48:18 +0000 2017,8.65217E+17,346,60,26 states have at least one county where residents have only a single insurance option under #Obamacare.,SenateMajLdr,Mitch McConnell,Kentucky,Republican
6,Thu May 18 14:33:33 +0000 2017,8.65214E+17,279,56,"This week people on #Obamacare exchanges in #VT, #VA, &amp; #OR, learned they could face double-digit premium increases as high as 20% next year",SenateMajLdr,Mitch McConnell,Kentucky,Republican
7,Thu May 18 14:07:29 +0000 2017,8.65207E+17,279,42,Half of the counties in #Kentucky only have ONE #Obamacare insurer this year. One choice is not really a choice at… https://t.co/rmbMAfC95e,SenateMajLdr,Mitch McConnell,Kentucky,Republican
8,Wed May 17 23:31:55 +0000 2017,8.64987E+17,482,110,My statement on DAG Rosenstein's decisions to appoint a special counsel https://t.co/s7i5LjPcg1,SenateMajLdr,Mitch McConnell,Kentucky,Republican
9,Wed May 17 20:06:40 +0000 2017,8.64935E+17,509,95,The American people deserve a #tax system that allows them to keep more of their hard-earned money &amp; empowers them to invest in their future,SenateMajLdr,Mitch McConnell,Kentucky,Republican
10,Wed May 17 20:06:00 +0000 2017,8.64935E+17,336,57,"I hope that after years of telling us #taxreform was necessary, #Senate Ds won’t suddenly change their minds on the need for it now.",SenateMajLdr,Mitch McConnell,Kentucky,Republican
11,Wed May 17 17:30:37 +0000 2017,8.64896E+17,401,74,After the slowest recovery since WWII we should take advantage of the once in a generation opportunity of #taxreform https://t.co/tQVvUZSMfT,SenateMajLdr,Mitch McConnell,Kentucky,Republican
12,Wed May 17 16:10:37 +0000 2017,8.64876E+17,374,56,"This Republican Congress has made #taxreform a priority from the start, and we are working together to find solutions",SenateMajLdr,Mitch McConnell,Kentucky,Republican
13,Wed May 17 16:10:30 +0000 2017,8.64876E+17,595,69,8 years of the #Obama Administration were a virtual clinic in how not to get an #economy moving again.,SenateMajLdr,Mitch McConnell,Kentucky,Republican
14,Wed May 17 13:54:38 +0000 2017,8.64842E+17,236,64,"Yesterday, the #Senate confirmed Jeffrey Rosen as Deputy Secretary of @USDOT. Today, we'll advance Rachel Brand as Associate AG",SenateMajLdr,Mitch McConnell,Kentucky,Republican
15,Tue May 16 21:46:31 +0000 2017,8.64598E+17,500,57,#ICYMI: #Obamacare premium increases in #Pennsylvania are more than 50% https://t.co/xofrYZMpXB,SenateMajLdr,Mitch McConnell,Kentucky,Republican
16,Tue May 16 20:10:26 +0000 2017,8.64574E+17,717,63,The status quo under #Obamacare is simply unsustainable &amp; unacceptable. Are #Senate Dems really ok w/ the continuing failures of Obamacare?,SenateMajLdr,Mitch McConnell,Kentucky,Republican
17,Tue May 16 19:33:48 +0000 2017,8.64565E+17,376,53,Senators: We simply cannot afford another warning sign on the failures of #Obamacare ↓ https://t.co/r7WDkrvAr6,SenateMajLdr,Mitch McConnell,Kentucky,Republican
